file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Accounting28533791;com.invoice.inventory.beans.IssueForProduction;IssueForProduction;class;1;14;1;0;77;14;7;58
Accounting28533791;com.invoice.accounting.service.SubGroupPDF;SubGroupPDF;class;14;1;3;0;0;1;0;180
Accounting28533791;com.invoice.login.service.RegisterService;RegisterService;interface;1;1;1;0;0;1;0;5
Accounting28533791;com.invoice.purchase.beans.PurchaseOrder;PurchaseOrder;class;3;50;1;0;1175;50;25;187
Accounting28533791;com.invoice.sales.service.PaymentServiceImpl;PaymentServiceImpl;class;6;6;1;0;1;6;2;38
Accounting28533791;com.invoice.payroll.service.SalaryService;SalaryService;interface;1;1;1;0;0;1;0;8
Accounting28533791;com.invoice.sales.service.DeliveryChallanService;DeliveryChallanService;interface;4;10;1;0;45;10;0;18
Accounting28533791;com.invoice.controller.EmployeeController;EmployeeController;class;32;296;1;0;0;59;10;1875
Accounting28533791;com.invoice.login.dao.RegisterDao;RegisterDao;interface;1;1;1;0;0;1;0;5
Accounting28533791;com.invoice.inventory.beans.RecordTransferredDetails;RecordTransferredDetails;class;0;14;1;0;77;14;7;52
Accounting28533791;com.invoice.inventory.service.InventoryPDF;InventoryPDF;class;15;8;3;0;0;1;0;262
Accounting28533791;com.invoice.login.dao.LoginUserDaoImpl;LoginUserDaoImpl;class;7;10;1;0;0;4;1;91
Accounting28533791;com.invoice.payroll.dao.PayheadDao;PayheadDao;interface;1;7;1;0;21;7;0;13
Accounting28533791;com.invoice.accounting.service.AbstractPdfView;AbstractPdfView;class;7;9;2;8;36;9;0;52
Accounting28533791;com.invoice.sales.dao.EstimateDao;EstimateDao;interface;6;22;1;0;231;22;0;32
Accounting28533791;com.invoice.inventory.beans.ComposeMail;ComposeMail;class;0;18;1;0;135;18;9;66
Accounting28533791;com.invoice.inventory.service.IssueForProductionService;IssueForProductionService;interface;4;12;1;0;66;12;0;20
Accounting28533791;com.invoice.accounting.beans.Auditor;Auditor;class;0;0;1;0;0;0;0;3
Accounting28533791;com.invoice.purchase.beans.PurchaseQuotation;PurchaseQuotation;class;3;64;1;0;1952;64;32;236
Accounting28533791;com.invoice.purchase.service.PurchaseOrderPDF;PurchaseOrderPDF;class;17;6;3;0;0;1;0;730
Accounting28533791;com.invoice.sales.beans.Details;Details;class;0;28;1;0;350;28;14;101
Accounting28533791;com.invoice.controller.LoginController;LoginController;class;14;7;1;0;2;5;4;71
Accounting28533791;com.invoice.purchase.dao.PurchaseEnquiryDaoImpl;PurchaseEnquiryDaoImpl;class;17;58;1;0;24;25;8;458
Accounting28533791;com.invoice.purchase.service.EnquiryServiceImpl;EnquiryServiceImpl;class;11;25;1;0;0;25;1;134
Accounting28533791;com.invoice.sales.service.ReceiptServiceImpl;ReceiptServiceImpl;class;9;14;1;0;0;14;1;74
Accounting28533791;com.invoice.accounting.dao.DebitNotesDao;DebitNotesDao;interface;5;9;1;0;36;9;0;18
Accounting28533791;com.invoice.inventory.service.RecordWastagePDF;RecordWastagePDF;class;15;2;3;0;0;1;0;196
Accounting28533791;com.invoice.accounting.service.AddTaxServiceImpl;AddTaxServiceImpl;class;8;10;1;0;0;8;1;53
Accounting28533791;com.invoice.inventory.service.IssuePDF;IssuePDF;class;15;2;3;0;0;1;0;199
Accounting28533791;com.invoice.login.beans.Login1;Login1;class;1;12;1;0;54;12;6;47
Accounting28533791;com.invoice.inventory.beans.Warehouse;Warehouse;class;1;10;1;0;35;10;5;43
Accounting28533791;com.invoice.banking.service.TransferPdf;TransferPdf;class;14;1;3;0;0;1;0;250
Accounting28533791;com.invoice.purchase.dao.VoucherDao;VoucherDao;interface;5;12;1;0;66;12;0;21
Accounting28533791;com.invoice.payroll.service.InitiateProcessService;InitiateProcessService;interface;4;5;1;0;10;5;0;13
Accounting28533791;com.invoice.purchase.beans.ComposeMail;ComposeMail;class;0;20;1;0;170;20;10;73
Accounting28533791;com.invoice.accounting.beans.NewCreditNote;NewCreditNote;class;0;22;1;0;209;22;11;80
Accounting28533791;com.invoice.purchase.beans.Vender;Vender;class;1;74;1;0;2627;74;37;268
Accounting28533791;com.invoice.purchase.service.PurchaseOrderServiceImpl;PurchaseOrderServiceImpl;class;13;22;1;0;0;22;1;121
Accounting28533791;com.invoice.sales.service.EnquiryService;EnquiryService;interface;6;22;1;0;231;22;0;32
Accounting28533791;com.invoice.inventory.dao.IssueForProductionDaoImplementation;IssueForProductionDaoImplementation;class;11;38;1;0;49;16;8;282
Accounting28533791;com.invoice.inventory.service.ReceiveAgainstProductService;ReceiveAgainstProductService;interface;5;10;1;0;45;10;0;19
Accounting28533791;com.invoice.inventory.service.ReceiveforSalesServiceImplementation;ReceiveforSalesServiceImplementation;class;11;18;1;0;0;16;2;92
Accounting28533791;com.invoice.sales.service.SalesReceiptsPDF;SalesReceiptsPDF;class;14;1;3;0;0;1;0;337
Accounting28533791;com.invoice.inventory.service.WarehousePDF;WarehousePDF;class;15;2;3;0;0;1;0;198
Accounting28533791;com.invoice.payroll.beans.Leave;Leave;class;0;8;1;0;20;8;4;32
Accounting28533791;com.invoice.accounting.service.AccountPDF;AccountPDF;class;14;1;3;0;0;1;0;180
Accounting28533791;com.invoice.sales.service.EnquiryPdf;EnquiryPdf;class;15;2;3;0;0;1;0;335
Accounting28533791;com.invoice.banking.service.DepositServiceImpl;DepositServiceImpl;class;7;11;1;0;0;9;1;58
Accounting28533791;com.invoice.controller.SalesController;SalesController;class;43;516;1;0;0;95;25;3253
Accounting28533791;com.invoice.login.dao.GetCount;GetCount;class;2;2;1;0;1;2;0;13
Accounting28533791;com.invoice.inventory.service.ProductionService;ProductionService;interface;5;19;1;0;171;19;0;29
Accounting28533791;com.invoice.inventory.dao.ReceiveforSalesDaoImplementation;ReceiveforSalesDaoImplementation;class;12;43;1;0;123;20;9;305
Accounting28533791;com.invoice.accounting.service.DebitNotesService;DebitNotesService;interface;5;9;1;0;36;9;0;18
Accounting28533791;com.invoice.controller.bankingController;bankingController;class;21;136;1;0;0;30;8;799
Accounting28533791;com.invoice.accounting.beans.Createnewexpense;Createnewexpense;class;1;16;1;0;100;16;8;65
Accounting28533791;com.invoice.payroll.service.SalaryServiceImpl;SalaryServiceImpl;class;6;5;1;0;8;5;2;36
Accounting28533791;com.invoice.sales.service.ReceiptService;ReceiptService;interface;4;12;1;0;66;12;0;20
Accounting28533791;com.invoice.reports.beans.ChartCustomerInvoices;ChartCustomerInvoices;class;0;8;1;0;20;8;4;31
Accounting28533791;com.invoice.payroll.beans.EmployeeBeans;EmployeeBeans;class;2;124;1;0;7502;124;62;445
Accounting28533791;com.invoice.payroll.dao.InitiateProcessDaoImpl;InitiateProcessDaoImpl;class;13;69;1;0;44;12;10;496
Accounting28533791;com.invoice.customer.service.CustomerServiceImpl;CustomerServiceImpl;class;7;14;1;0;0;12;3;73
Accounting28533791;com.invoice.sales.dao.EnquiryDaoImpl;EnquiryDaoImpl;class;21;58;1;0;46;25;11;440
Accounting28533791;com.invoice.accounting.dao.AuditorDao;AuditorDao;interface;4;9;1;0;36;9;0;18
Accounting28533791;com.invoice.inventory.dao.IssueForProductionDao;IssueForProductionDao;interface;4;12;1;0;66;12;0;20
Accounting28533791;com.invoice.reports.service.HeaderFooter;HeaderFooter;class;12;16;3;0;73;14;2;119
Accounting28533791;com.invoice.purchase.service.PurchaseService;PurchaseService;interface;6;15;1;0;105;15;0;26
Accounting28533791;com.invoice.payroll.beans.Payhead;Payhead;class;0;22;1;0;209;22;11;80
Accounting28533791;com.invoice.inventory.service.ReceiveforSalesService;ReceiveforSalesService;interface;5;12;1;0;66;12;0;21
Accounting28533791;com.invoice.banking.dao.TransferDao;TransferDao;interface;3;7;1;0;21;7;0;14
Accounting28533791;com.invoice.purchase.beans.PurchaseEnquiry;PurchaseEnquiry;class;1;22;1;0;209;22;11;86
Accounting28533791;com.invoice.purchase.service.QuotationService;QuotationService;interface;8;24;1;0;276;24;0;38
Accounting28533791;com.invoice.accounting.service.DebitNotesServiceImpl;DebitNotesServiceImpl;class;9;13;1;0;0;11;1;66
Accounting28533791;com.invoice.accounting.service.JournalEntryPDF;JournalEntryPDF;class;17;5;4;0;1;2;0;236
Accounting28533791;com.invoice.sales.service.InvoiceServiceImpl;InvoiceServiceImpl;class;14;21;1;0;0;21;2;106
Accounting28533791;com.invoice.purchase.service.PurchaseOrderService;PurchaseOrderService;interface;8;22;1;0;231;22;0;34
Accounting28533791;com.invoice.accounting.beans.Taxes;Taxes;class;0;24;1;0;252;24;12;87
Accounting28533791;com.invoice.banking.dao.WithdrawDao;WithdrawDao;interface;4;8;1;0;28;8;0;16
Accounting28533791;com.invoice.inventory.dao.WarehouseDao;WarehouseDao;interface;4;9;1;0;36;9;0;17
Accounting28533791;com.invoice.reports.beans.PaymentAdvice;PaymentAdvice;class;1;20;1;0;170;20;10;79
Accounting28533791;com.invoice.accounting.dao.AddNewAccountDaoImpl;AddNewAccountDaoImpl;class;19;31;1;0;92;16;9;292
Accounting28533791;com.invoice.sales.dao.InvoiceDao;InvoiceDao;interface;8;17;1;0;136;17;0;29
Accounting28533791;com.invoice.purchase.dao.venderDao;venderDao;interface;1;7;1;0;21;7;0;12
Accounting28533791;com.invoice.inventory.service.ReceiveForSalesPDF;ReceiveForSalesPDF;class;15;2;3;0;0;1;0;197
Accounting28533791;com.invoice.purchase.dao.PurchaseOrderDaoImpl;PurchaseOrderDaoImpl;class;16;93;1;0;149;27;11;664
Accounting28533791;com.invoice.sales.service.SalesInvoicePdf;SalesInvoicePdf;class;17;8;3;0;0;1;0;523
Accounting28533791;com.invoice.accounting.service.AddNewAccountService;AddNewAccountService;interface;4;14;1;0;91;14;0;22
Accounting28533791;com.invoice.payroll.beans.ComposeMail;ComposeMail;class;0;22;1;0;209;22;11;80
Accounting28533791;com.invoice.sales.service.Book;Book;class;0;11;1;0;25;11;5;46
Accounting28533791;com.invoice.sales.beans.Estimate;Estimate;class;3;48;1;0;1080;48;24;182
Accounting28533791;com.invoice.payroll.beans.ProcessPayrollList;ProcessPayrollList;class;0;30;1;0;405;30;15;108
Accounting28533791;com.invoice.reports.service.BreakupbyPDF;BreakupbyPDF;class;15;2;3;0;0;1;0;153
Accounting28533791;com.invoice.payroll.service.InitiateProcessServiceImpl;InitiateProcessServiceImpl;class;9;7;1;0;0;7;1;44
Accounting28533791;com.invoice.accounting.dao.CreditNotesDao;CreditNotesDao;interface;5;9;1;0;36;9;0;18
Accounting28533791;com.invoice.payroll.dao.SalaryDao;SalaryDao;interface;1;1;1;0;0;1;0;8
Accounting28533791;com.invoice.sales.dao.CompanyInfoDao;CompanyInfoDao;class;0;0;1;0;0;0;0;4
Accounting28533791;com.invoice.payroll.dao.DatabaseConnetction;DatabaseConnetction;class;0;6;1;0;0;3;3;47
Accounting28533791;com.invoice.banking.service.WithdrawServiceImpl;WithdrawServiceImpl;class;8;12;1;0;0;10;1;63
Accounting28533791;com.invoice.inventory.beans.Details;Details;class;0;26;1;0;299;26;13;94
Accounting28533791;com.invoice.payroll.dao.EmployeeDao;EmployeeDao;interface;8;62;1;0;1891;62;0;76
Accounting28533791;com.invoice.customer.service.AbstractPdfView;AbstractPdfView;class;7;9;2;1;36;9;0;62
Accounting28533791;com.invoice.sales.service.EstimateServiceImpl;EstimateServiceImpl;class;12;26;1;0;0;26;2;123
Accounting28533791;com.invoice.sales.dao.InvoiceDaoImpl;InvoiceDaoImpl;class;18;147;1;0;570;27;19;926
Accounting28533791;com.invoice.sales.beans.Order;Order;class;3;62;1;0;1829;62;31;227
Accounting28533791;com.invoice.accounting.dao.AuditorDaoImpl;AuditorDaoImpl;class;20;25;1;0;42;11;6;222
Accounting28533791;com.invoice.sales.beans.EnquiryDetails;EnquiryDetails;class;0;14;1;0;77;14;7;52
Accounting28533791;com.invoice.banking.service.TransferServiceImpl;TransferServiceImpl;class;7;11;1;0;0;9;1;58
Accounting28533791;com.invoice.payroll.service.GenPassword;GenPassword;interface;0;2;1;0;1;2;0;6
Accounting28533791;com.invoice.banking.service.TransferService;TransferService;interface;3;7;1;0;21;7;0;14
Accounting28533791;com.invoice.customer.beans.CustomerDetails;CustomerDetails;class;0;10;1;0;35;10;5;38
Accounting28533791;com.invoice.inventory.beans.RecordTransferred;RecordTransferred;class;1;14;1;0;77;14;7;58
Accounting28533791;com.invoice.sales.dao.AbstractPdfView;AbstractPdfView;class;7;10;2;0;45;10;0;82
Accounting28533791;com.invoice.sales.dao.ReceiptDaoImpl;ReceiptDaoImpl;class;11;70;1;0;167;18;8;485
Accounting28533791;com.invoice.payroll.dao.PayheadDaoImpl;PayheadDaoImpl;class;7;73;1;0;0;9;5;305
Accounting28533791;com.invoice.accounting.service.AccountGroupService;AccountGroupService;interface;3;14;1;0;91;14;0;21
Accounting28533791;com.invoice.purchase.dao.PaymentDao;PaymentDao;interface;1;1;1;0;0;1;0;6
Accounting28533791;com.invoice.accounting.dao.AddTaxDaoImpl;AddTaxDaoImpl;class;9;35;1;0;0;8;6;224
Accounting28533791;com.invoice.banking.beans.Transfer;Transfer;class;0;18;1;0;137;18;9;66
Accounting28533791;com.invoice.payroll.dao.LeaveApplicationDao;LeaveApplicationDao;interface;4;13;1;0;78;13;0;22
Accounting28533791;com.invoice.payroll.beans.VeriableTemp;VeriableTemp;class;1;8;1;0;20;8;4;36
Accounting28533791;com.invoice.payroll.service.LeaveApplicationService;LeaveApplicationService;interface;4;13;1;0;78;13;0;21
Accounting28533791;com.invoice.reports.service.paymentAdviceService;paymentAdviceService;interface;3;6;1;0;15;6;0;14
Accounting28533791;com.invoice.accounting.beans.CreatenewexpenseDetails;CreatenewexpenseDetails;class;0;12;1;0;54;12;6;45
Accounting28533791;com.invoice.accounting.dao.JournalEntryDaoImpl;JournalEntryDaoImpl;class;23;62;1;0;184;16;8;453
Accounting28533791;com.invoice.payroll.service.LeaveApplicationServiceImpl;LeaveApplicationServiceImpl;class;9;15;1;0;0;15;1;80
Accounting28533791;com.invoice.accounting.beans.Subaccountgroup;Subaccountgroup;class;0;8;1;0;20;8;4;31
Accounting28533791;com.invoice.inventory.service.CreateNewProductServiceImplementation;CreateNewProductServiceImplementation;class;7;27;1;0;0;25;1;132
Accounting28533791;com.invoice.inventory.service.RecordWastageService;RecordWastageService;interface;4;12;1;0;66;12;0;21
Accounting28533791;com.invoice.payroll.service.PayheadServiceImpl;PayheadServiceImpl;class;6;9;1;0;0;9;1;49
Accounting28533791;com.invoice.inventory.service.RecordTransferredServiceImplementation;RecordTransferredServiceImplementation;class;10;18;1;0;0;16;2;93
Accounting28533791;com.invoice.reports.beans.PaymentAdviceDetails;PaymentAdviceDetails;class;0;18;1;0;135;18;9;67
Accounting28533791;com.invoice.purchase.service.PurchaseEnquiryPdf;PurchaseEnquiryPdf;class;15;2;3;0;0;1;0;333
Accounting28533791;com.invoice.banking.service.WithdrawPdf;WithdrawPdf;class;14;1;3;0;0;1;0;250
Accounting28533791;com.invoice.inventory.dao.WarehouseDaoImpl;WarehouseDaoImpl;class;16;32;1;0;56;12;5;246
Accounting28533791;com.invoice.sales.service.PaymentService;PaymentService;interface;1;2;1;0;1;2;0;7
Accounting28533791;com.invoice.purchase.beans.PurchaseEnquiryDetails;PurchaseEnquiryDetails;class;0;12;1;0;54;12;6;49
Accounting28533791;com.invoice.payroll.service.GenPasswordImpl;GenPasswordImpl;class;1;3;1;0;3;3;0;25
Accounting28533791;com.invoice.accounting.dao.JournalEntryDao;JournalEntryDao;interface;6;12;1;0;66;12;0;23
Accounting28533791;com.invoice.reports.dao.paymentAdviceDao;paymentAdviceDao;interface;3;6;1;0;15;6;0;14
Accounting28533791;com.invoice.company.service.CompanyDetailsService;CompanyDetailsService;interface;1;3;1;0;3;3;0;9
Accounting28533791;com.invoice.customer.dao.CustomerDaoImpl;CustomerDaoImpl;class;8;32;1;0;0;11;5;299
Accounting28533791;com.invoice.inventory.dao.RecordWastageDaoImplementation;RecordWastageDaoImplementation;class;12;44;1;0;158;20;10;350
Accounting28533791;com.invoice.sales.beans.ComposeMail;ComposeMail;class;0;20;1;0;170;20;10;73
Accounting28533791;com.invoice.accounting.service.AddTaxService;AddTaxService;interface;3;6;1;0;15;6;0;13
Accounting28533791;com.invoice.banking.dao.DepositDao;DepositDao;interface;3;7;1;0;21;7;0;14
Accounting28533791;com.invoice.accounting.service.JournalEntryServiceImpl;JournalEntryServiceImpl;class;10;14;1;0;0;14;1;71
Accounting28533791;com.invoice.company.dao.CompanyDetailsDao;CompanyDetailsDao;interface;1;3;1;0;3;3;0;9
Accounting28533791;com.invoice.accounting.dao.CreateexpenseDaoImpl;CreateexpenseDaoImpl;class;10;53;1;0;63;13;6;408
