file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Bank_Employee_Application29824872;banker.review.CustomerActionsTest;CustomerActionsTest;class;0;9;6;0;13;5;8;177
Bank_Employee_Application29824872;banker.review.CustomerInfo;CustomerInfo;class;1;15;6;0;30;7;40;449
Bank_Employee_Application29824872;banker.review.AddSavingAccount;AddSavingAccount;class;0;15;6;0;55;7;13;218
Bank_Employee_Application29824872;banker.review.AccountMovements;AccountMovements;class;0;15;6;0;33;8;18;344
Bank_Employee_Application29824872;banker.review.AddCustomer;AddCustomer;class;1;26;6;0;91;8;57;661
Bank_Employee_Application29824872;banker.review.CloseCurrentAccount;CloseCurrentAccount;class;0;13;6;0;28;5;7;160
Bank_Employee_Application29824872;banker.review.AddCustomerUserProfile;AddCustomerUserProfile;class;0;14;6;0;15;4;10;203
Bank_Employee_Application29824872;banker.review.LoadCustomer;LoadCustomer;class;2;15;6;0;43;7;7;170
Bank_Employee_Application29824872;ConnectionPool.NewClass;NewClass;class;0;2;1;0;0;1;3;35
Bank_Employee_Application29824872;banker.review.CurrencyTable;CurrencyTable;class;0;9;6;0;21;5;6;120
Bank_Employee_Application29824872;banker.review.Review_profile;Review_profile;class;19;76;6;0;1389;31;60;936
Bank_Employee_Application29824872;banker.review.AddDepositAccount;AddDepositAccount;class;0;17;6;0;78;8;18;282
Bank_Employee_Application29824872;banker.review.ChangePIN;ChangePIN;class;0;13;6;0;28;5;6;153
Bank_Employee_Application29824872;banker.review.ChangeUsername;ChangeUsername;class;0;11;6;0;15;4;7;158
Bank_Employee_Application29824872;banker.review.CloseDepositAccount;CloseDepositAccount;class;0;13;6;0;28;5;7;158
Bank_Employee_Application29824872;banker.review.Transactions;Transactions;class;0;114;6;0;270;14;64;1398
Bank_Employee_Application29824872;ServerMessages.Messages;Messages;class;1;6;1;0;0;5;3;46
Bank_Employee_Application29824872;banker.review.HistoryTest;HistoryTest;class;0;9;6;0;13;5;10;193
Bank_Employee_Application29824872;banker.review.AddCurrentAccount;AddCurrentAccount;class;0;15;6;0;55;7;13;225
Bank_Employee_Application29824872;banker.review.LogIn;LogIn;class;2;26;6;0;64;9;13;257
Bank_Employee_Application29824872;banker.review.UsernameCheck;UsernameCheck;class;0;2;1;0;0;2;1;20
Bank_Employee_Application29824872;banker.review.CloseSavingAccount;CloseSavingAccount;class;0;13;6;0;28;5;7;160
Bank_Employee_Application29824872;banker.review.PeriodicServices;PeriodicServices;class;0;25;6;0;72;9;32;428
