file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
CServ6189119;nl.limesco.cserv.lib.quartz.scheduler.OSGiJobFactory;OSGiJobFactory;class;5;3;1;0;0;3;1;24
CServ6189119;nl.limesco.cserv.ideal.api.IdealService;IdealService;interface;4;2;1;0;1;2;0;26
CServ6189119;nl.limesco.cserv.invoice.mongo.InvoiceTest;InvoiceTest;class;7;10;1;0;0;10;1;157
CServ6189119;nl.limesco.cserv.auth.api.AuthorizationException;AuthorizationException;class;0;4;4;0;6;4;0;14
CServ6189119;nl.limesco.cserv.auth.login.Activator;Activator;class;9;2;2;0;1;2;0;26
CServ6189119;nl.limesco.cserv.auth.api.AuthorizationService;AuthorizationService;interface;3;8;1;0;28;8;1;14
CServ6189119;nl.limesco.cserv.account.mongo.AccountImpl;AccountImpl;class;5;10;1;0;35;10;5;45
CServ6189119;org.amdatu.legacy.tenantuseradmin.UserAdminWrapper;UserAdminWrapper;class;4;6;1;0;0;6;1;37
CServ6189119;nl.limesco.cserv.account.rest.Activator;Activator;class;8;2;2;0;1;2;0;24
CServ6189119;nl.limesco.cserv.invoice.mongo.NormalItemLineTest;NormalItemLineTest;class;2;3;1;0;0;3;1;26
CServ6189119;nl.limesco.cserv.ideal.rest.Activator;Activator;class;5;2;2;0;1;2;0;17
CServ6189119;nl.limesco.cserv.lib.quartz.wrappedlibrary.osgi.Activator;Activator;class;2;2;1;0;1;2;0;12
CServ6189119;nl.limesco.cserv.lib.quartz.scheduler.Activator;Activator;class;12;3;2;0;3;3;0;46
CServ6189119;net.luminis.useradmin.mongodb.MongoDBRepositoryStore;MongoDBRepositoryStore;class;23;44;1;0;42;17;7;284
CServ6189119;org.amdatu.legacy.tenantuseradmin.Activator;Activator;class;5;2;2;0;1;2;0;23
CServ6189119;nl.limesco.cserv.account.api.Address;Address;class;0;6;1;0;9;6;3;24
CServ6189119;nl.limesco.cserv.auth.service.web.WebAuthorizationServiceImpl;WebAuthorizationServiceImpl;class;7;12;1;0;0;8;1;60
CServ6189119;nl.limesco.cserv.ideal.api.Currency;Currency;enum;0;0;1;0;0;0;0;4
