file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.processors.Processor;Processor;interface;0;1;1;0;0;1;0;12
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.processors.EpochCounter;EpochCounter;class;1;8;1;0;1;2;2;39
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.AgentData;AgentData;class;0;2;1;0;1;2;6;24
ScriptAgentNewRelicPlugin53496582;com.ricardosantos.scriptagent.Script;Script;class;4;17;1;0;0;4;2;124
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.BindingFactory;BindingFactory;class;4;11;2;0;30;9;2;64
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.MetricDataTest;MetricDataTest;class;2;9;1;0;36;9;0;83
ScriptAgentNewRelicPlugin53496582;com.ricardosantos.scriptagent.Main;Main;class;2;2;1;0;0;1;0;27
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.AgentFactory;AgentFactory;class;9;15;1;1;13;6;1;99
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.configuration.ConfigTest;ConfigTest;class;2;13;1;0;78;13;0;129
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.configuration.SDKConfigurationTest;SDKConfigurationTest;class;4;6;1;0;15;6;0;85
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.Agent;Agent;class;3;14;1;1;19;10;5;110
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.Runner;Runner;class;9;29;1;0;19;11;6;191
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.util.Logger;Logger;class;14;61;1;0;129;23;8;353
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.processors.EpochProcessorTest;EpochProcessorTest;class;2;4;1;0;6;4;0;44
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.MetricData;MetricData;class;1;47;1;0;0;10;6;95
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.internal.DataCollector;DataCollector;class;3;10;1;0;12;8;7;88
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.configuration.SDKConfiguration;SDKConfiguration;class;3;30;1;0;20;9;5;111
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.configuration.ConfigurationException;ConfigurationException;class;0;3;3;0;3;3;1;29
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.AgentDataTest;AgentDataTest;class;2;1;1;0;0;1;0;22
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.internal.DataCollectorTest;DataCollectorTest;class;2;1;1;0;0;1;0;12
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.ContextTest;ContextTest;class;4;12;1;0;55;11;0;123
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.configuration.Config;Config;class;4;20;1;0;39;10;6;136
ScriptAgentNewRelicPlugin53496582;com.ricardosantos.scriptagent.ScriptAgentException;ScriptAgentException;class;0;5;3;0;10;5;1;53
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.RequestTest;RequestTest;class;5;8;1;0;28;8;0;143
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.Context;Context;class;5;28;1;0;76;15;19;170
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.SendRequestTest;SendRequestTest;class;4;2;1;0;1;2;0;22
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.ComponentDataTest;ComponentDataTest;class;4;5;1;0;10;5;0;118
ScriptAgentNewRelicPlugin53496582;com.ricardosantos.scriptagent.ScriptAgentFactory;ScriptAgentFactory;class;8;21;2;0;1;2;1;89
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.Request;Request;class;6;52;1;0;117;18;9;286
ScriptAgentNewRelicPlugin53496582;com.ricardosantos.scriptagent.ScriptAgent;ScriptAgent;class;5;23;2;0;0;7;7;129
ScriptAgentNewRelicPlugin53496582;com.ricardosantos.scriptagent.UtilityMethods;UtilityMethods;class;0;7;1;0;1;2;0;48
ScriptAgentNewRelicPlugin53496582;com.ricardosantos.scriptagent.SimpleAgentMetric;SimpleAgentMetric;class;0;6;1;0;0;6;4;53
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.binding.ComponentData;ComponentData;class;2;10;1;0;6;5;7;60
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.AgentTest;AgentTest;class;5;7;2;0;0;5;3;112
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.processors.EpochProcessor;EpochProcessor;class;1;8;1;0;1;2;2;36
ScriptAgentNewRelicPlugin53496582;com.newrelic.metrics.publish.util.LoggerTest;LoggerTest;class;1;18;1;0;153;17;0;102
