file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
cn-account-git15963035;com.hisupplier.cn.account.util.TestAll;TestAll;class;5;1;2;0;0;1;0;19
cn-account-git15963035;com.hisupplier.cn.account.ad.UpgradeAction;UpgradeAction;class;7;11;3;0;13;7;4;57
cn-account-git15963035;com.hisupplier.cn.account.webservice.ServerPasswordCallback;ServerPasswordCallback;class;1;7;1;0;0;1;0;29
cn-account-git15963035;com.hisupplier.cn.account.basic.LoginUser;LoginUser;class;1;77;2;0;1873;63;25;315
cn-account-git15963035;com.hisupplier.cn.account.entity.MenuGroup;MenuGroup;class;1;26;2;0;299;26;14;96
cn-account-git15963035;com.hisupplier.cn.account.menu.MenuService;MenuService;class;21;125;1;0;0;21;3;668
cn-account-git15963035;com.hisupplier.cn.account.message.PhoneBookAction;PhoneBookAction;class;10;60;3;0;0;18;5;190
cn-account-git15963035;com.hisupplier.cn.account.basic.UserSuggestDAO;UserSuggestDAO;class;7;3;3;0;1;2;0;30
cn-account-git15963035;com.hisupplier.cn.account.basic.BasicInterceptor;BasicInterceptor;class;10;47;2;0;0;2;2;111
cn-account-git15963035;com.hisupplier.cn.account.alert.TestAll;TestAll;class;7;1;2;0;0;1;0;14
cn-account-git15963035;com.hisupplier.cn.account.util.MailFactory;MailFactory;class;12;29;1;0;56;12;2;292
cn-account-git15963035;com.hisupplier.cn.account.product.NewProductFormActionTest;NewProductFormActionTest;class;8;8;3;0;0;4;2;74
cn-account-git15963035;com.hisupplier.cn.account.inquiry.InquiryReplyActionTest;InquiryReplyActionTest;class;3;1;3;0;0;1;1;23
cn-account-git15963035;com.hisupplier.cn.account.inquiry.InquirySendAction;InquirySendAction;class;11;96;2;0;4;8;5;252
cn-account-git15963035;com.hisupplier.cn.account.menu.MenuFormAction;MenuFormAction;class;6;42;3;0;22;12;5;131
cn-account-git15963035;com.hisupplier.cn.account.alert.QueryParams;QueryParams;class;1;4;2;0;2;4;2;24
cn-account-git15963035;com.hisupplier.cn.account.menu.MenuDAO;MenuDAO;class;7;12;3;0;36;9;0;107
cn-account-git15963035;com.hisupplier.cn.account.ad.AdOrderActionTest;AdOrderActionTest;class;3;2;3;0;1;2;0;48
cn-account-git15963035;com.hisupplier.cn.account.webservice.MemberService;MemberService;interface;2;3;1;0;3;3;0;42
cn-account-git15963035;com.hisupplier.cn.account.entity.Company;Company;class;2;116;2;0;1538;57;24;336
cn-account-git15963035;com.hisupplier.cn.account.member.ForgetPasswdAction;ForgetPasswdAction;class;2;27;3;0;82;16;8;93
cn-account-git15963035;com.hisupplier.cn.account.misc.ImageActionTest;ImageActionTest;class;4;4;3;0;0;2;3;54
cn-account-git15963035;com.hisupplier.cn.account.product.LikeRecordAction;LikeRecordAction;class;5;10;2;0;0;8;4;59
cn-account-git15963035;com.hisupplier.cn.account.misc.TestAll;TestAll;class;10;1;2;0;0;1;0;24
cn-account-git15963035;com.hisupplier.cn.account.entity.Vote;Vote;class;3;6;2;0;9;6;4;35
cn-account-git15963035;com.hisupplier.cn.account.entity.Patent;Patent;class;1;0;2;0;0;0;1;12
cn-account-git15963035;com.hisupplier.cn.account.product.TradeActionTest;TradeActionTest;class;6;29;3;0;0;9;3;165
cn-account-git15963035;com.hisupplier.cn.account.member.TalkDAO;TalkDAO;class;4;5;3;0;6;3;0;45
cn-account-git15963035;com.hisupplier.cn.account.message.ExportAction;ExportAction;class;6;30;3;0;28;12;6;114
cn-account-git15963035;com.hisupplier.cn.account.website.WebSiteModuleTitleDAO;WebSiteModuleTitleDAO;class;4;5;3;0;6;3;0;51
cn-account-git15963035;com.hisupplier.cn.account.group.SpecialGroupFormAction;SpecialGroupFormAction;class;6;19;3;0;11;7;4;72
cn-account-git15963035;com.hisupplier.cn.account.entity.AdOrder;AdOrder;class;1;24;2;0;137;18;9;76
cn-account-git15963035;com.hisupplier.cn.account.patent.PatentDeblockedService;PatentDeblockedService;class;17;70;1;0;20;12;4;260
cn-account-git15963035;com.hisupplier.cn.account.entity.CompanyProfile;CompanyProfile;class;1;39;2;0;279;27;11;131
cn-account-git15963035;com.hisupplier.cn.account.basic.BasicService;BasicService;class;32;69;1;1;189;23;13;439
cn-account-git15963035;com.hisupplier.cn.account.product.TradeFormActionTest;TradeFormActionTest;class;3;4;3;0;0;2;3;65
cn-account-git15963035;com.hisupplier.cn.account.product.NewProductActionTest;NewProductActionTest;class;4;5;3;0;0;5;3;63
cn-account-git15963035;com.hisupplier.cn.account.menu.QueryParams;QueryParams;class;2;12;2;0;54;12;6;52
cn-account-git15963035;com.hisupplier.cn.account.member.JoinAction;JoinAction;class;6;61;3;0;36;13;6;168
cn-account-git15963035;com.hisupplier.cn.account.util.QrCode;QrCode;class;5;8;1;0;0;1;1;65
cn-account-git15963035;com.hisupplier.cn.account.webservice.RegisterService;RegisterService;interface;1;1;1;0;0;1;0;53
cn-account-git15963035;com.hisupplier.cn.account.website.QueryParams;QueryParams;class;2;76;2;0;2774;76;38;279
cn-account-git15963035;com.hisupplier.cn.account.group.SpecialGroupActionTest;SpecialGroupActionTest;class;4;13;3;0;0;7;3;76
cn-account-git15963035;com.hisupplier.cn.account.member.UserActionTest;UserActionTest;class;4;10;3;0;0;6;2;62
cn-account-git15963035;com.hisupplier.cn.account.website.WebsiteActionTest;WebsiteActionTest;class;2;1;3;0;0;1;1;12
cn-account-git15963035;com.hisupplier.cn.account.product.ProductFormActionTest;ProductFormActionTest;class;5;8;3;0;0;2;3;131
cn-account-git15963035;com.hisupplier.cn.account.user.PostBuyLeadActionTest;PostBuyLeadActionTest;class;3;3;3;0;0;3;2;44
cn-account-git15963035;com.hisupplier.cn.account.entity.Menu;Menu;class;1;38;2;0;354;28;13;130
cn-account-git15963035;com.hisupplier.cn.account.member.TestAll;TestAll;class;10;1;2;0;0;1;0;17
cn-account-git15963035;com.hisupplier.cn.account.dao.UpdateMap;UpdateMap;class;1;22;1;0;135;22;7;140
cn-account-git15963035;com.hisupplier.cn.account.member.CompanyDAO;CompanyDAO;class;8;26;3;0;78;12;0;178
cn-account-git15963035;com.hisupplier.cn.account.message.TemplateAction;TemplateAction;class;9;28;3;0;0;12;4;94
cn-account-git15963035;com.hisupplier.cn.account.product.TradeDAO;TradeDAO;class;6;13;3;0;36;9;0;145
cn-account-git15963035;com.hisupplier.cn.account.product.ProductDAO;ProductDAO;class;9;18;3;0;78;13;0;198
cn-account-git15963035;com.hisupplier.cn.account.basic.PrivilegeFilter;PrivilegeFilter;class;10;48;1;0;4;4;4;160
cn-account-git15963035;com.hisupplier.cn.account.util.GroupUtil;GroupUtil;class;2;62;1;0;36;12;1;221
cn-account-git15963035;com.hisupplier.cn.account.member.PasswdFormAction;PasswdFormAction;class;5;19;3;0;15;7;4;67
cn-account-git15963035;com.hisupplier.cn.account.inquiry.InquiryAction;InquiryAction;class;6;40;3;0;1;26;6;206
cn-account-git15963035;com.hisupplier.cn.account.message.ImportAction;ImportAction;class;12;43;3;0;53;15;7;173
cn-account-git15963035;com.hisupplier.cn.account.product.NewProductFormAction;NewProductFormAction;class;5;33;3;0;16;9;4;106
cn-account-git15963035;com.hisupplier.cn.account.basic.TestAll;TestAll;class;7;1;2;0;0;1;0;14
cn-account-git15963035;com.hisupplier.cn.account.member.UserFormActionTest;UserFormActionTest;class;5;10;3;0;0;4;1;126
cn-account-git15963035;com.hisupplier.cn.account.test.TestAll;TestAll;class;4;1;2;0;0;1;0;23
cn-account-git15963035;com.hisupplier.cn.account.basic.ClientPasswordCallback;ClientPasswordCallback;class;1;1;1;0;0;1;0;19
cn-account-git15963035;com.hisupplier.cn.account.inquiry.InquiryBasketAction;InquiryBasketAction;class;7;28;2;0;137;23;9;130
cn-account-git15963035;com.hisupplier.cn.account.alert.AlertTradeFormActionTest;AlertTradeFormActionTest;class;5;4;3;0;4;4;2;84
cn-account-git15963035;com.hisupplier.cn.account.inquiry.TestAll;TestAll;class;7;1;2;0;0;1;0;14
cn-account-git15963035;com.hisupplier.cn.account.util.PatentUtil;PatentUtil;class;5;56;2;0;9;7;1;161
cn-account-git15963035;com.hisupplier.cn.account.ad.AdAction;AdAction;class;5;14;3;0;0;14;4;63
cn-account-git15963035;com.hisupplier.cn.account.alert.TradeAlertService;TradeAlertService;class;13;59;1;0;0;12;3;309
cn-account-git15963035;com.hisupplier.cn.account.member.UserDAO;UserDAO;class;2;27;3;0;91;14;0;173
cn-account-git15963035;com.hisupplier.cn.account.entity.Image;Image;class;4;96;2;0;545;34;9;294
cn-account-git15963035;com.hisupplier.cn.account.view.EditButton;EditButton;class;1;2;2;0;1;2;0;26
cn-account-git15963035;com.hisupplier.cn.account.user.ProductServiceApplyAction;ProductServiceApplyAction;class;4;39;2;0;93;19;9;130
cn-account-git15963035;com.hisupplier.cn.account.member.CompanyFormActionTest;CompanyFormActionTest;class;3;1;3;0;0;1;2;44
cn-account-git15963035;com.hisupplier.cn.account.product.NewProductDAO;NewProductDAO;class;6;6;3;0;6;4;0;82
cn-account-git15963035;com.hisupplier.cn.account.member.CompanyActionTest;CompanyActionTest;class;2;1;3;0;0;1;1;12
cn-account-git15963035;com.hisupplier.cn.account.inquiry.FusionChartsCreator;FusionChartsCreator;class;0;13;1;0;6;4;0;197
cn-account-git15963035;com.hisupplier.cn.account.basic.HomeActionTest;HomeActionTest;class;3;5;3;0;0;5;2;38
cn-account-git15963035;com.hisupplier.cn.account.entity.Inquiry;Inquiry;class;2;123;1;0;5778;109;54;421
cn-account-git15963035;com.hisupplier.cn.account.entity.Top;Top;class;2;25;2;0;79;15;5;87
cn-account-git15963035;com.hisupplier.cn.account.util.MailFactoryTest;MailFactoryTest;class;15;17;2;0;120;16;0;375
cn-account-git15963035;com.hisupplier.cn.account.user.PostBuyLeadAction;PostBuyLeadAction;class;5;58;3;0;15;10;5;165
cn-account-git15963035;com.hisupplier.cn.account.entity.UserLog;UserLog;class;2;39;2;0;8;5;2;63
