file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.PurchaseRecordReport;PurchaseRecordReport;class;3;0;3;0;0;0;0;36
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.ReportJournalDataSource_Base;ReportJournalDataSource_Base;class;14;15;2;0;0;2;1;139
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.transaction.Edit_Base;Edit_Base;class;8;1;4;0;0;1;0;52
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.le.AbstractExport;AbstractExport;class;3;0;2;2;0;0;0;36
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.export.sc.AbstractSCExport;AbstractSCExport;class;3;0;2;1;0;0;1;36
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.ExternalVoucher_Base;ExternalVoucher_Base;class;35;82;2;0;204;21;1;610
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.TransactionDocument;TransactionDocument;class;3;0;3;0;0;0;0;32
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.SubJournal;SubJournal;class;3;0;2;0;0;0;0;36
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.DocumentDetailsReport_Base;DocumentDetailsReport_Base;class;29;39;3;0;430;28;12;541
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.Account2CaseInfo;Account2CaseInfo;class;6;2;2;0;1;2;0;66
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.DocTransactionsSource_Base;DocTransactionsSource_Base;class;14;24;2;0;21;2;0;223
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.listener.OnPayment_Base;OnPayment_Base;class;13;10;1;0;1;2;0;87
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.AccountDataSource;AccountDataSource;class;3;0;3;0;0;0;0;35
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.transaction.Action;Action;class;3;0;2;0;0;0;0;32
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.listener.OnRetentionCertificateClose;OnRetentionCertificateClose;class;4;1;3;0;0;1;0;49
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.StructurBrowser;StructurBrowser;class;3;0;3;0;0;0;0;36
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport302DS_Base;BalanceReport302DS_Base;class;11;15;8;0;16;9;4;170
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.Account;Account;class;3;0;3;0;0;0;1;34
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.StructurBrowser_Base;StructurBrowser_Base;class;11;4;2;0;1;2;0;80
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.Case_Base;Case_Base;class;15;23;1;0;45;7;1;207
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport303DS_Base;BalanceReport303DS_Base;class;12;18;4;0;75;12;5;228
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.util.data.ConSis;ConSis;class;15;47;1;0;90;17;6;337
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.AbstractReportDS;AbstractReportDS;class;3;0;3;5;0;0;0;33
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport305DS_Base;BalanceReport305DS_Base;class;6;2;8;0;1;2;0;60
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport306DS_Base;BalanceReport306DS_Base;class;6;2;8;0;1;2;0;60
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.AccountDataSource_Base;AccountDataSource_Base;class;23;30;2;0;10;4;0;209
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.ViewStructurBrowser;ViewStructurBrowser;class;3;0;3;0;0;0;0;36
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport304DS_Base;BalanceReport304DS_Base;class;6;2;8;0;1;2;0;61
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport308DS_Base;BalanceReport308DS_Base;class;6;2;8;0;1;2;0;60
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.ExpenseReport;ExpenseReport;class;3;0;3;0;0;0;0;36
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.transaction.Calculation;Calculation;class;3;0;5;0;0;0;0;32
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.PurchaseRecordReport_Base;PurchaseRecordReport_Base;class;28;84;2;0;166;17;6;654
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.TransactionReport_Base;TransactionReport_Base;class;3;0;2;0;0;0;0;35
eFapsApp-Accounting32466389;org.efaps.esjp.ci.CIHumanResource;CIHumanResource;class;7;1;2;0;0;1;7;50
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport307DS_Base;BalanceReport307DS_Base;class;6;2;8;0;1;2;0;60
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.Period_Base;Period_Base;class;39;139;3;0;516;28;4;981
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.le.PurchaseRecord;PurchaseRecord;class;3;0;4;0;0;0;0;36
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport302DS;BalanceReport302DS;class;3;0;7;0;0;0;0;34
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport304DS;BalanceReport304DS;class;3;0;7;0;0;0;0;34
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.report.balance.BalanceReport309DS_Base;BalanceReport309DS_Base;class;6;2;8;0;1;2;0;60
eFapsApp-Accounting32466389;org.efaps.esjp.accounting.ViewStructurBrowser_Base;ViewStructurBrowser_Base;class;6;1;2;0;0;1;0;50
