file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
net-sourceforge-CFAccounting-1-154326097;readLargeData;readLargeData;class;2;16;1;0;0;1;0;86
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsg.CFAccountingXMsgAccountMessageFormatter;CFAccountingXMsgAccountMessageFormatter;class;3;41;1;0;703;38;0;451
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgRqstHandler.CFAccountingXMsgRqstAccountReadByTenantRollIdxHandler;CFAccountingXMsgRqstAccountReadByTenantRollIdxHandler;class;7;29;2;0;3;3;0;198
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingJavaFX.ICFAccountingJavaFXPurchaseOrderPaneCommon;ICFAccountingJavaFXPurchaseOrderPaneCommon;interface;4;4;1;0;6;4;0;52
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgRqstHandler.CFAccountingXMsgRqstISOCurrencyUpdateHandler;CFAccountingXMsgRqstISOCurrencyUpdateHandler;class;11;92;2;0;3;3;0;356
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgRspnHandler.CFAccountingXMsgRspnInvoiceItemReadSingleHandler;CFAccountingXMsgRspnInvoiceItemReadSingleHandler;class;5;16;2;0;3;3;0;125
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingMssCF.CFAccountingMssCFBindHasServiceServiceType;CFAccountingMssCFBindHasServiceServiceType;class;7;11;2;0;3;3;1;77
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingMssCF.CFAccountingMssCFBindSecGroupClusterId;CFAccountingMssCFBindSecGroupClusterId;class;6;16;2;0;6;4;1;108
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingMySql.CFAccountingMySqlISOLanguageTable;CFAccountingMySqlISOLanguageTable;class;11;317;1;0;0;34;15;1131
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgRspnHandler.CFAccountingXMsgRspnAccountTaxIdUpdatedHandler;CFAccountingXMsgRspnAccountTaxIdUpdatedHandler;class;7;78;2;0;3;3;0;291
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgRqstHandler.CFAccountingXMsgRqstSecGroupLockHandler;CFAccountingXMsgRqstSecGroupLockHandler;class;9;28;2;0;3;3;0;187
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingObj.CFAccountingPurchaseOrderObj;CFAccountingPurchaseOrderObj;class;16;117;1;0;1016;53;10;397
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgRqstHandler.CFAccountingXMsgRqstPaymentDetailDeleteByPaymentIdxHandler;CFAccountingXMsgRqstPaymentDetailDeleteByPaymentIdxHandler;class;6;28;2;0;3;3;0;186
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgRqstHandler.CFAccountingXMsgRqstSecGroupIncludeLockHandler;CFAccountingXMsgRqstSecGroupIncludeLockHandler;class;9;28;2;0;3;3;0;187
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingMssCF.CFAccountingMssCFBindChequeDetailTenantId;CFAccountingMssCFBindChequeDetailTenantId;class;6;16;2;0;6;4;1;115
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsg.CFAccountingXMsgContactURLMessageFormatter;CFAccountingXMsgContactURLMessageFormatter;class;2;32;1;0;496;32;0;326
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgRspnHandler.CFAccountingXMsgRspnBillTaxDeletedHandler;CFAccountingXMsgRspnBillTaxDeletedHandler;class;5;16;2;0;3;3;0;128
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsg.CFAccountingXMsgPaymentMessageFormatter;CFAccountingXMsgPaymentMessageFormatter;class;2;36;1;0;630;36;0;409
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingXMsgClient.CFAccountingXMsgClientHttpSchema;CFAccountingXMsgClientHttpSchema;class;28;67;4;0;70;13;2;413
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingMySql.CFAccountingMySqlLedgerTable;CFAccountingMySqlLedgerTable;class;15;557;1;0;0;60;25;2166
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingJavaFX.ICFAccountingJavaFXAccountPaneCommon;ICFAccountingJavaFXAccountPaneCommon;interface;4;4;1;0;6;4;0;52
net-sourceforge-CFAccounting-1-154326097;net.sourceforge.cfaccounting.v1_1.CFAccountingOracle.CFAccountingOracleAccountConfigTable;CFAccountingOracleAccountConfigTable;class;11;370;1;0;0;40;17;1433
