file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccSwing.ICFAccSwingVersionFactory;ICFAccSwingVersionFactory;interface;4;9;1;0;36;9;0;69
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAcc.CFAccContactPKey;CFAccContactPKey;class;4;81;1;0;24;9;2;231
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccSwing.ICFAccSwingClusterFactory;ICFAccSwingClusterFactory;interface;4;11;1;0;55;11;0;71
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccXMsgClient.CFAccXMsgClientISOCountryCurrencyTable;CFAccXMsgClientISOCountryCurrencyTable;class;12;129;1;0;340;32;1;619
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccPgSql.CFAccPgSqlAddressTagTable;CFAccPgSqlAddressTagTable;class;10;345;1;0;0;40;18;1335
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccXMsgRqstHandler.CFAccXMsgRqstContactUpdateHandler;CFAccXMsgRqstContactUpdateHandler;class;9;114;2;0;3;3;0;436
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccXMsgRqstHandler.CFAccXMsgRqstMemoTagDeleteByIdIdxHandler;CFAccXMsgRqstMemoTagDeleteByIdIdxHandler;class;5;34;2;0;3;3;0;211
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccMssCF.CFAccMssCFBindAccountRollupTenantId;CFAccMssCFBindAccountRollupTenantId;class;6;18;2;0;6;4;1;126
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccMssCF.CFAccMssCFBindSecAppJEEMountName;CFAccMssCFBindSecAppJEEMountName;class;6;16;2;0;6;4;1;121
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccXMsgRspnHandler.CFAccXMsgRspnPhoneTagCreatedHandler;CFAccXMsgRspnPhoneTagCreatedHandler;class;7;78;2;0;3;3;0;301
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccSwing.CFAccSwingContactAskDeleteJPanel;CFAccSwingContactAskDeleteJPanel;class;10;37;4;0;37;11;8;232
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccSwing.ICFAccSwingTSecGroupMemberJPanelList;ICFAccSwingTSecGroupMemberJPanelList;interface;3;0;1;0;0;0;0;66
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccXMsgRqstHandler.CFAccXMsgRqstAccountContactReadByTenantIdxHandler;CFAccXMsgRqstAccountContactReadByTenantIdxHandler;class;6;23;2;0;3;3;0;186
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccObj.ICFAccAddressObj;ICFAccAddressObj;interface;12;43;1;0;903;43;0;305
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccXMsgRqstHandler.CFAccXMsgRqstProjectBaseLockHandler;CFAccXMsgRqstProjectBaseLockHandler;class;7;24;2;0;3;3;0;190
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccMssCF.CFAccMssCFBindContactURLContactId;CFAccMssCFBindContactURLContactId;class;6;16;2;0;6;4;1;121
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAcc.CFAccMemoTagDefaultFactory;CFAccMemoTagDefaultFactory;class;8;8;1;0;28;8;0;92
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccXMsgClient.CFAccXMsgClientPhoneTagTable;CFAccXMsgClientPhoneTagTable;class;13;147;1;0;456;37;1;727
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccXMsgRqstHandler.CFAccXMsgRqstMimeTypeDeleteByUNameIdxHandler;CFAccXMsgRqstMimeTypeDeleteByUNameIdxHandler;class;5;22;2;0;3;3;0;173
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccSaxLoader.CFAccSaxLoaderDomainHandler;CFAccSaxLoaderDomainHandler;class;10;47;2;0;3;3;0;262
net-sourceforge-MSSCodeFactory-CFAcc-2-127524518;net.sourceforge.msscodefactory.cfacc.v2_1.CFAccObj.CFAccSecAppTableObj;CFAccSecAppTableObj;class;10;163;1;0;95;33;7;664
