file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashXMsgRqstHandler.CFGCashXMsgRqstSecAppCreateHandler;CFGCashXMsgRqstSecAppCreateHandler;class;8;70;2;0;3;3;0;293
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashObj.CFGCashSecSessionTableObj;CFGCashSecSessionTableObj;class;12;184;1;0;21;38;8;745
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashOracle.CFGCashOracleAttachmentTable;CFGCashOracleAttachmentTable;class;11;426;1;0;0;44;19;1707
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashMSSql.CFGCashMSSqlContactURLTable;CFGCashMSSqlContactURLTable;class;11;426;1;0;0;44;19;1600
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashXMsgRqstHandler.CFGCashXMsgRqstClusterReadAllHandler;CFGCashXMsgRqstClusterReadAllHandler;class;7;17;2;0;3;3;0;165
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashSwing.CFGCashSwingSecGroupFormAttrJPanel;CFGCashSwingSecGroupFormAttrJPanel;class;50;350;35;0;2022;68;16;1212
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashXMsgRspnHandler.CFGCashXMsgRspnAuditActionUpdatedHandler;CFGCashXMsgRspnAuditActionUpdatedHandler;class;7;34;2;0;3;3;0;197
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashXMsgRspnHandler.CFGCashXMsgRspnPhoneRecHandler;CFGCashXMsgRspnPhoneRecHandler;class;8;84;2;0;3;3;0;320
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCash.CFGCashPhoneDefaultFactory;CFGCashPhoneDefaultFactory;class;9;9;1;0;36;9;0;97
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashObj.ICFGCashHostNodeTableObj;ICFGCashHostNodeTableObj;interface;4;35;1;0;595;35;0;260
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashXMsgRqstHandler.CFGCashXMsgRqstServiceTypeDeleteHandler;CFGCashXMsgRqstServiceTypeDeleteHandler;class;8;34;2;0;3;3;0;222
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashXMsgRqstHandler.CFGCashXMsgRqstAccountReadAllHandler;CFGCashXMsgRqstAccountReadAllHandler;class;7;17;2;0;3;3;0;165
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCash.CFGCashClusterDefaultFactory;CFGCashClusterDefaultFactory;class;6;6;1;0;15;6;0;82
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashXMsgRqstHandler.CFGCashXMsgRqstProjectBaseDeleteByIdIdxHandler;CFGCashXMsgRqstProjectBaseDeleteByIdIdxHandler;class;5;24;2;0;3;3;0;179
net-sourceforge-MSSCodeFactory-CFGCash-2-021536205;net.sourceforge.msscodefactory.cfgcash.v2_0.CFGCashSwing.CFGCashSwingURLProtocolAskDeleteJInternalFrame;CFGCashSwingURLProtocolAskDeleteJInternalFrame;class;6;14;2;0;7;6;2;130
