file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
oppna-program-account-activation40716533;se.vgregion.activation.ActivateUserFailedException;ActivateUserFailedException;class;0;1;3;0;0;1;0;18
oppna-program-account-activation40716533;se.vgregion.account.services.AccountServiceImpl;AccountServiceImpl;class;7;13;1;0;0;9;1;118
oppna-program-account-activation40716533;se.vgregion.activation.validators.ExternalUserValidator;ExternalUserValidator;class;3;20;1;0;10;5;1;80
oppna-program-account-activation40716533;se.vgregion.account.services.repository.ExternalUserStructureRepositoryImpl;ExternalUserStructureRepositoryImpl;class;3;0;2;0;0;0;0;13
oppna-program-account-activation40716533;se.vgregion.activation.validators.PasswordStrengthValidator;PasswordStrengthValidator;class;3;10;1;0;1;2;0;32
oppna-program-account-activation40716533;se.vgregion.activation.camel.CamelInit;CamelInit;class;2;1;1;0;0;1;0;21
oppna-program-account-activation40716533;se.vgregion.account.services.util.StructureQueryUtil;StructureQueryUtil;class;1;9;1;0;1;2;0;59
oppna-program-account-activation40716533;se.vgregion.activation.rest.ActivationCodeService;ActivationCodeService;class;20;30;1;0;0;10;4;197
oppna-program-account-activation40716533;se.vgregion.account.services.repository.ActivationAccountRepositoryImpl;ActivationAccountRepositoryImpl;class;3;0;2;0;0;0;0;13
oppna-program-account-activation40716533;se.vgregion.activation.formbeans.ExternalUserFormBean;ExternalUserFormBean;class;1;28;1;0;289;27;14;113
oppna-program-account-activation40716533;se.vgregion.activation.rest.DTOAssembler;DTOAssembler;class;3;12;1;0;10;5;0;47
oppna-program-account-activation40716533;se.vgregion.activation.controllers.ReinviteControllerTest;ReinviteControllerTest;class;28;4;1;0;2;3;4;123
oppna-program-account-activation40716533;se.vgregion.activation.controllers.InviteEditControllerTest;InviteEditControllerTest;class;14;1;1;0;0;1;3;49
oppna-program-account-activation40716533;se.vgregion.create.domain.ExternalUserStructure;ExternalUserStructure;class;9;7;2;0;3;7;4;48
oppna-program-account-activation40716533;se.vgregion.activation.rest.ActivationCodeServiceTest;ActivationCodeServiceTest;class;24;8;1;0;10;7;2;117
oppna-program-account-activation40716533;se.vgregion.activation.util.JaxbUtil;JaxbUtil;class;5;10;1;0;0;4;2;85
oppna-program-account-activation40716533;se.vgregion.account.services.AccountService;AccountService;interface;2;8;1;0;28;8;0;65
oppna-program-account-activation40716533;se.vgregion.activation.domain.ActivationCode;ActivationCode;class;4;4;1;0;0;4;2;37
oppna-program-account-activation40716533;se.vgregion.account.services.repository.ActivationAccountRepository;ActivationAccountRepository;interface;2;0;1;0;0;0;0;14
oppna-program-account-activation40716533;se.vgregion.activation.formbeans.InvitePreferencesFormBean;InvitePreferencesFormBean;class;0;8;1;0;20;8;4;38
oppna-program-account-activation40716533;se.vgregion.activation.controllers.InviteEditController;InviteEditController;class;17;16;1;0;0;6;2;145
oppna-program-account-activation40716533;se.vgregion.activation.controllers.LoginController;LoginController;class;4;3;1;0;3;3;0;38
oppna-program-account-activation40716533;se.vgregion.activation.validators.PasswordMatchValidator;PasswordMatchValidator;class;3;4;1;0;1;2;0;20
oppna-program-account-activation40716533;se.vgregion.create.domain.InvitePreferences;InvitePreferences;class;7;7;2;0;15;7;5;47
oppna-program-account-activation40716533;se.vgregion.activation.controllers.InvitePreferencesPropertyEditor;InvitePreferencesPropertyEditor;class;3;6;2;0;1;2;1;36
oppna-program-account-activation40716533;se.vgregion.activation.api.ActivationAccountDTO;ActivationAccountDTO;class;0;16;1;0;78;16;8;81
oppna-program-account-activation40716533;se.vgregion.activation.controllers.AccountActivationController;AccountActivationController;class;23;35;1;0;50;12;6;236
oppna-program-account-activation40716533;se.vgregion.activation.validators.DominoLoginValidator;DominoLoginValidator;class;3;6;1;0;1;2;0;25
oppna-program-account-activation40716533;se.vgregion.activation.controllers.InviteControllerTest;InviteControllerTest;class;30;17;1;0;10;8;5;221
oppna-program-account-activation40716533;se.vgregion.activation.validators.PasswordStrengthValidatorTest;PasswordStrengthValidatorTest;class;6;15;1;0;0;15;4;127
oppna-program-account-activation40716533;se.vgregion.activation.validators.InvitePreferencesValidatorTest;InvitePreferencesValidatorTest;class;10;10;1;0;0;10;12;134
oppna-program-account-activation40716533;se.vgregion.account.services.StructureServiceTest;StructureServiceTest;class;10;13;2;0;8;12;2;159
oppna-program-account-activation40716533;se.vgregion.activation.controllers.ReinviteController;ReinviteController;class;25;26;1;0;28;9;5;207
oppna-program-account-activation40716533;se.vgregion.activation.formbeans.ReinviteFormBean;ReinviteFormBean;class;1;18;1;0;135;18;9;73
oppna-program-account-activation40716533;se.vgregion.account.services.repository.ExternalUserStructureRepository;ExternalUserStructureRepository;interface;2;0;1;0;0;0;0;12
oppna-program-account-activation40716533;se.vgregion.activation.util.JaxbUtilTest;JaxbUtilTest;class;13;11;1;0;31;11;13;142
oppna-program-account-activation40716533;se.vgregion.account.services.repository.InvitePreferencesRepositoryImpl;InvitePreferencesRepositoryImpl;class;3;0;2;0;0;0;0;13
oppna-program-account-activation40716533;se.vgregion.account.services.AccountServiceTest;AccountServiceTest;class;12;12;2;0;0;11;10;111
oppna-program-account-activation40716533;se.vgregion.account.services.InvitePreferencesService;InvitePreferencesService;class;5;13;1;0;0;7;1;98
oppna-program-account-activation40716533;se.vgregion.activation.controllers.InviteController;InviteController;class;43;38;1;0;62;12;7;303
oppna-program-account-activation40716533;se.vgregion.activation.formbeans.PasswordFormBean;PasswordFormBean;class;0;12;1;0;54;12;7;52
oppna-program-account-activation40716533;se.vgregion.activation.formbeans.InvitePreferencesListFormBean;InvitePreferencesListFormBean;class;1;4;1;0;2;4;2;26
oppna-program-account-activation40716533;se.vgregion.activation.domain.ActivationAccountStatus;ActivationAccountStatus;enum;0;1;1;0;0;1;0;14
oppna-program-account-activation40716533;se.vgregion.activation.validators.InvitePreferencesValidator;InvitePreferencesValidator;class;5;5;1;0;1;2;1;34
oppna-program-account-activation40716533;se.vgregion.account.services.repository.InvitePreferencesRepository;InvitePreferencesRepository;interface;2;0;1;0;0;0;0;12
oppna-program-account-activation40716533;se.vgregion.account.services.StructureService;StructureService;interface;1;3;1;0;3;3;0;32
oppna-program-account-activation40716533;se.vgregion.activation.domain.ActivationAccount;ActivationAccount;class;10;31;2;0;104;17;9;151
oppna-program-account-activation40716533;se.vgregion.activation.domain.ActivationAccountTest;ActivationAccountTest;class;3;9;1;0;15;7;3;64
oppna-program-account-activation40716533;se.vgregion.account.services.StructureServiceImpl;StructureServiceImpl;class;7;22;1;0;0;4;3;93
oppna-program-account-activation40716533;se.vgregion.account.services.util.StructureQueryUtilTest;StructureQueryUtilTest;class;3;2;1;0;0;2;1;43
oppna-program-account-activation40716533;se.vgregion.activation.controllers.AccountActivationControllerTest;AccountActivationControllerTest;class;26;10;1;0;24;6;2;150
oppna-program-account-activation40716533;se.vgregion.activation.controllers.ControllerUtil;ControllerUtil;class;7;13;1;0;1;3;1;63
oppna-program-account-activation40716533;se.vgregion.activation.validators.AccountActivationLoginValidator;AccountActivationLoginValidator;class;7;10;1;0;1;2;1;37
oppna-program-account-activation40716533;se.vgregion.activation.rest.ExternalOrgRestService;ExternalOrgRestService;class;9;7;1;0;0;3;1;59
