file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
student-account3449554;OperandStack;OperandStack;class;2;8;1;0;0;6;1;27
student-account3449554;WordStatistics;WordStatistics;class;1;10;1;0;0;1;0;75
student-account3449554;MatAnalys;MatAnalys;class;0;10;1;0;0;1;0;55
student-account3449554;Triangle;Triangle;class;2;25;1;0;57;15;6;174
student-account3449554;SortGA;SortGA;class;3;25;1;0;21;7;1;105
student-account3449554;Game;Game;class;2;49;1;0;22;13;3;86
student-account3449554;Operand;Operand;class;0;3;1;2;0;3;1;10
student-account3449554;InsSorter;InsSorter;class;2;21;1;0;4;5;2;58
student-account3449554;Node;Node;class;2;24;1;0;97;19;4;81
student-account3449554;Temperature;Temperature;class;1;10;1;0;4;4;1;33
student-account3449554;AATree;AATree;class;3;91;1;1;10;20;3;192
student-account3449554;extra.MessageDialog;MessageDialog;class;0;4;5;1;1;3;1;31
student-account3449554;Strategy;Strategy;class;1;18;1;0;1;3;1;28
student-account3449554;extra.JNDialog;JNDialog;class;1;1;7;0;0;1;0;7
student-account3449554;Circle;Circle;class;1;25;1;0;57;15;5;171
student-account3449554;Partikel;Partikel;class;2;25;1;0;0;13;2;129
student-account3449554;Square;Square;class;1;25;1;0;57;15;5;170
student-account3449554;Heron;Heron;class;1;3;1;0;0;1;0;41
student-account3449554;ExerciseTemperature;ExerciseTemperature;class;1;1;1;0;0;1;0;9
student-account3449554;Biljard;Biljard;class;6;49;6;0;89;19;9;159
student-account3449554;Quotient;Quotient;class;5;3;2;0;1;2;0;9
student-account3449554;RightParenthesis;RightParenthesis;class;3;6;2;0;3;3;0;10
student-account3449554;Example1;Example1;class;0;1;1;0;0;1;0;5
student-account3449554;chess.Rook;Rook;class;3;7;2;0;10;5;0;27
student-account3449554;Operator;Operator;class;2;6;1;4;6;4;0;16
student-account3449554;Vektor;Vektor;class;2;22;1;0;0;14;2;57
student-account3449554;DivideZero;DivideZero;class;0;1;1;0;0;1;0;8
student-account3449554;Protein;Protein;class;6;22;1;0;41;15;4;61
student-account3449554;Data;Data;class;1;9;1;0;1;3;4;24
student-account3449554;OperatorStack;OperatorStack;class;2;9;1;0;0;6;1;27
student-account3449554;Texifier;Texifier;class;1;20;1;0;6;9;4;84
student-account3449554;MergeSorter;MergeSorter;class;2;29;1;0;9;7;3;109
student-account3449554;extra.ImageCanvas;ImageCanvas;class;0;17;3;0;6;8;2;47
student-account3449554;extra.ExtendedFrame;ExtendedFrame;class;0;4;5;0;1;2;3;18
student-account3449554;Product;Product;class;5;2;2;0;1;2;0;9
student-account3449554;Behallare;Behallare;class;4;67;1;0;76;17;7;209
student-account3449554;chess.Color;Color;enum;0;3;1;0;0;1;0;10
student-account3449554;FileReader;FileReader;class;0;10;1;0;6;4;0;81
student-account3449554;Enum;Enum;class;0;3;1;0;0;3;1;6
student-account3449554;Hello;Hello;class;1;2;1;0;1;2;0;23
student-account3449554;Age2;Age2;class;0;7;1;0;0;1;0;22
student-account3449554;Dictionary;Dictionary;class;4;9;1;0;0;1;2;47
student-account3449554;LeftParenthesis;LeftParenthesis;class;3;4;2;0;6;4;0;8
student-account3449554;Canvas;Canvas;class;3;32;5;0;4;12;10;202
student-account3449554;Tree;Tree;class;2;42;1;0;34;12;2;97
student-account3449554;Myra;Myra;class;1;20;1;0;0;14;4;102
student-account3449554;Calculator;Calculator;class;14;50;1;0;54;12;4;105
student-account3449554;Myrkrig;Myrkrig;class;3;9;6;0;2;5;4;70
student-account3449554;Treap;Treap;class;3;42;2;0;10;5;0;124
student-account3449554;AANode;AANode;class;1;31;1;1;40;17;5;44
