file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
tidal-app1167601;com.dteoh.tidal.guice.LoggerInjector;LoggerInjector;class;4;3;1;0;0;2;2;43
tidal-app1167601;com.dteoh.tidal.views.AccountsDialogTests;AccountsDialogTests;class;10;36;1;0;55;12;8;350
tidal-app1167601;com.dteoh.tidal.id.IDGenerator;IDGenerator;enum;2;12;1;0;0;4;2;72
tidal-app1167601;com.dteoh.tidal.sources.email.impl.ImapDropletTests;ImapDropletTests;class;10;31;1;0;0;13;5;290
tidal-app1167601;com.dteoh.tidal.configuration.ConfigurationControllerTests;ConfigurationControllerTests;class;13;45;1;0;0;36;2;569
tidal-app1167601;com.dteoh.tidal.configuration.ConfigurablesYamlTests;ConfigurablesYamlTests;class;14;7;1;0;0;7;4;154
tidal-app1167601;com.dteoh.tidal.exceptions.EDTViolationException;EDTViolationException;class;3;1;5;0;0;1;1;31
tidal-app1167601;com.dteoh.tidal.platform.windows.VistaUser32;VistaUser32;interface;14;7;1;0;21;7;6;138
tidal-app1167601;com.dteoh.tidal.Tidal;Tidal;class;5;2;1;0;0;1;1;47
tidal-app1167601;com.dteoh.tidal.sources.email.EmailDropletConfig;EmailDropletConfig;class;6;7;1;0;0;6;3;94
tidal-app1167601;com.dteoh.tidal.views.swing.AnimatedLabel;AnimatedLabel;class;1;8;5;0;0;3;3;70
tidal-app1167601;com.dteoh.tidal.sources.email.impl.ImapDroplet;ImapDroplet;class;24;51;2;0;63;13;4;282
tidal-app1167601;com.dteoh.tidal.controllers.MenuBarController;MenuBarController;class;2;10;1;0;16;5;1;65
tidal-app1167601;com.dteoh.tidal.views.ListDropletViewTests;ListDropletViewTests;class;15;22;1;0;57;13;3;328
tidal-app1167601;com.dteoh.tidal.sources.email.EmailsController;EmailsController;interface;1;1;1;0;0;1;0;33
tidal-app1167601;com.dteoh.tidal.sources.email.models.EmailSettingsTests;EmailSettingsTests;class;5;7;1;0;0;7;5;71
tidal-app1167601;com.dteoh.tidal.views.models.RippleModelTests;RippleModelTests;class;4;14;1;0;0;14;6;158
tidal-app1167601;com.dteoh.tidal.controllers.TidalController;TidalController;class;21;36;1;0;36;7;9;320
tidal-app1167601;com.dteoh.tidal.configuration.ConfigurationController;ConfigurationController;class;17;54;1;0;0;13;9;361
tidal-app1167601;com.dteoh.tidal.views.swing.GradientPanel;GradientPanel;class;0;2;5;0;0;2;2;57
tidal-app1167601;com.dteoh.tidal.views.ConfigDialog;ConfigDialog;class;6;36;6;0;305;24;4;343
tidal-app1167601;com.dteoh.tidal.views.AccessView;AccessView;class;8;33;6;0;13;12;8;285
tidal-app1167601;com.dteoh.tidal.views.swing.TiledImagePanel;TiledImagePanel;class;0;6;5;0;0;2;1;46
tidal-app1167601;com.dteoh.tidal.views.RippleViewTests;RippleViewTests;class;11;7;1;0;4;3;7;106
tidal-app1167601;com.dteoh.tidal.views.DropletView;DropletView;interface;3;5;1;0;10;5;0;59
tidal-app1167601;com.dteoh.tidal.util.EDTUtilsTest;EDTUtilsTest;class;3;17;1;0;66;7;0;119
tidal-app1167601;com.dteoh.tidal.views.events.DropletViewListener;DropletViewListener;interface;0;1;1;0;0;1;0;32
tidal-app1167601;com.dteoh.tidal.controllers.MenuBarControllerTests;MenuBarControllerTests;class;5;7;1;0;9;6;1;78
tidal-app1167601;com.dteoh.tidal.sources.email.views.EmailDropletSetup;EmailDropletSetup;class;7;10;5;0;0;7;5;158
tidal-app1167601;com.dteoh.tidal.views.MenuBarView;MenuBarView;class;7;7;6;0;1;5;7;98
tidal-app1167601;com.dteoh.tidal.util.PunchIconFactory;PunchIconFactory;class;1;4;1;0;3;3;0;86
tidal-app1167601;com.dteoh.tidal.configuration.models.ConfigurationTests;ConfigurationTests;class;3;4;1;0;0;4;1;52
tidal-app1167601;com.dteoh.tidal.configuration.models.Configurable;Configurable;interface;0;1;1;0;0;1;0;29
tidal-app1167601;com.dteoh.tidal.sources.email.models.Protocol;Protocol;enum;0;0;1;0;0;0;0;28
tidal-app1167601;com.dteoh.tidal.exceptions.DisconnectedException;DisconnectedException;class;0;4;3;0;6;4;0;35
tidal-app1167601;com.dteoh.tidal.TidalModule;TidalModule;class;9;1;2;0;0;1;0;47
tidal-app1167601;com.dteoh.tidal.controllers.DropletsViewManager;DropletsViewManager;class;4;11;1;0;9;6;1;76
tidal-app1167601;com.dteoh.tidal.sources.email.EmailDropletsControllerTests;EmailDropletsControllerTests;class;11;13;1;0;0;8;6;142
tidal-app1167601;com.dteoh.tidal.configuration.models.Configuration;Configuration;class;1;17;1;0;0;4;1;60
tidal-app1167601;com.dteoh.tidal.sources.email.EmailDropletsController;EmailDropletsController;class;19;37;1;0;160;9;10;267
tidal-app1167601;com.dteoh.tidal.configuration.SaveConfigurable;SaveConfigurable;interface;1;2;1;0;1;2;0;47
tidal-app1167601;com.dteoh.tidal.exceptions.DropletInitException;DropletInitException;class;0;4;3;0;6;4;0;37
tidal-app1167601;com.dteoh.tidal.platform.windows.events.PowerStateListener;PowerStateListener;interface;0;2;1;0;1;2;0;29
tidal-app1167601;com.dteoh.tidal.exceptions.UnsecuredException;UnsecuredException;class;0;4;3;0;6;4;0;36
tidal-app1167601;com.dteoh.tidal.views.RippleView;RippleView;class;5;3;5;0;0;3;11;101
tidal-app1167601;com.dteoh.tidal.views.models.DropletModel;DropletModel;class;4;14;1;0;0;7;3;143
tidal-app1167601;com.dteoh.tidal.configuration.ConfigurablesRepresenter;ConfigurablesRepresenter;class;7;3;2;0;0;2;1;63
tidal-app1167601;com.dteoh.tidal.views.events.AccessViewEvent;AccessViewEvent;class;0;2;1;0;0;2;1;39
tidal-app1167601;com.dteoh.tidal.views.swing.DropShadowPanel;DropShadowPanel;class;1;21;5;0;0;4;3;156
tidal-app1167601;com.dteoh.tidal.platform.windows.VistaUser32Tests;VistaUser32Tests;class;4;3;1;0;3;3;0;65
tidal-app1167601;com.dteoh.tidal.exceptions.LongOperationException;LongOperationException;class;3;1;5;0;0;1;1;31
tidal-app1167601;com.dteoh.tidal.sources.email.AbstractEmailDroplet;AbstractEmailDroplet;class;14;31;1;1;251;19;8;222
tidal-app1167601;com.dteoh.tidal.sources.SetupDroplet;SetupDroplet;interface;0;4;1;0;6;4;0;48
tidal-app1167601;com.dteoh.tidal.views.events.MenuBarViewEvent;MenuBarViewEvent;class;0;1;1;0;0;1;0;31
tidal-app1167601;com.dteoh.tidal.views.models.RippleModel;RippleModel;class;2;57;1;0;3;15;10;217
tidal-app1167601;com.dteoh.tidal.configuration.ConfigurationConstructor;ConfigurationConstructor;class;7;2;3;0;1;2;0;51
tidal-app1167601;com.dteoh.tidal.sources.Droplet;Droplet;interface;2;4;1;0;6;4;0;47
tidal-app1167601;com.dteoh.tidal.id.ID;ID;interface;0;0;1;0;0;0;0;23
tidal-app1167601;com.dteoh.tidal.views.AccountsDialog;AccountsDialog;class;7;37;6;0;395;24;6;396
tidal-app1167601;com.dteoh.tidal.sources.email.models.EmailSettings;EmailSettings;class;2;39;1;0;0;7;4;111
tidal-app1167601;com.dteoh.tidal.controllers.ViewManager;ViewManager;interface;1;2;1;0;1;2;0;38
tidal-app1167601;com.dteoh.tidal.views.events.ConfigDialogListener;ConfigDialogListener;interface;0;3;1;0;3;3;0;38
tidal-app1167601;com.dteoh.tidal.util.HTMLUtils;HTMLUtils;class;1;1;1;0;0;1;0;39
tidal-app1167601;com.dteoh.tidal.views.View;View;interface;0;1;1;0;0;1;0;29
tidal-app1167601;com.dteoh.tidal.configuration.ConfigurationRepresenter;ConfigurationRepresenter;class;6;2;2;0;1;2;0;52
tidal-app1167601;com.dteoh.tidal.exceptions.DropletCreationException;DropletCreationException;class;0;4;4;0;6;4;0;35
tidal-app1167601;com.dteoh.tidal.util.NetworkUtils;NetworkUtils;class;0;3;1;0;0;1;0;46
tidal-app1167601;com.dteoh.tidal.views.MenuBarViewTests;MenuBarViewTests;class;11;9;1;0;0;7;2;114
tidal-app1167601;com.dteoh.tidal.views.DropletViews;DropletViews;class;2;2;1;0;1;2;0;34
tidal-app1167601;com.dteoh.tidal.views.events.MenuBarViewListener;MenuBarViewListener;interface;1;1;1;0;0;1;0;29
tidal-app1167601;com.dteoh.tidal.views.swing.AnimatedIcon;AnimatedIcon;class;0;12;1;0;0;7;5;94
tidal-app1167601;com.dteoh.tidal.views.events.AccessViewListener;AccessViewListener;interface;1;2;1;0;1;2;0;38
tidal-app1167601;com.dteoh.tidal.guice.LoggerListener;LoggerListener;class;9;4;1;0;0;1;0;25
tidal-app1167601;com.dteoh.tidal.views.models.DropletModelTests;DropletModelTests;class;6;21;1;0;0;21;3;331
tidal-app1167601;com.dteoh.tidal.views.ListDropletView;ListDropletView;class;12;30;6;0;27;10;8;216
tidal-app1167601;com.dteoh.tidal.configuration.ConfigurablesConstructor;ConfigurablesConstructor;class;9;11;3;0;0;2;1;86
tidal-app1167601;com.dteoh.tidal.views.AccessViewTests;AccessViewTests;class;14;17;1;0;46;8;2;251
tidal-app1167601;com.dteoh.tidal.util.EDTUtils;EDTUtils;class;2;9;1;0;3;3;0;60
tidal-app1167601;com.dteoh.tidal.platform.windows.SuspendAndResumeListener;SuspendAndResumeListener;class;11;25;1;0;0;5;6;142
