file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Astrocyte5517728;com.mpi.astro.model.edu.StudentStatus;StudentStatus;class;0;8;1;0;0;6;2;27
Astrocyte5517728;com.mpi.astro.dao.CourseDao;CourseDao;class;6;8;1;0;0;6;1;43
Astrocyte5517728;com.mpi.astro.service.arcade.GameProviderService;GameProviderService;interface;1;2;1;0;1;2;0;6
Astrocyte5517728;com.mpi.astro.dao.StudentCourseDao;StudentCourseDao;class;9;12;1;0;0;8;1;79
Astrocyte5517728;com.mpi.astro.util.AstrocyteUtils;AstrocyteUtils;class;14;13;1;0;10;5;2;91
Astrocyte5517728;com.myelin.client.util.ClientConstants;ClientConstants;class;0;0;1;0;0;0;2;5
Astrocyte5517728;com.mpi.astro.model.arcade.Game;Game;interface;0;4;1;0;6;4;0;11
Astrocyte5517728;com.mpi.astro.service.jms.JmsMessageProducer;JmsMessageProducer;class;8;4;1;0;0;3;4;35
Astrocyte5517728;TestLinkedLab;TestLinkedLab;class;6;7;1;0;9;6;11;79
Astrocyte5517728;com.mpi.astro.dao.TutorialDao;TutorialDao;class;5;9;1;0;0;5;1;39
Astrocyte5517728;com.mpi.astro.controller.EduController;EduController;class;19;29;1;0;0;11;2;194
Astrocyte5517728;com.mpi.astro.dao.CourseTutorialDao;CourseTutorialDao;class;5;5;1;0;0;3;1;26
Astrocyte5517728;com.mpi.astro.model.edu.CourseTutorialId;CourseTutorialId;class;5;18;1;0;0;6;3;40
Astrocyte5517728;com.mpi.astro.model.comm.Command;Command;interface;0;2;1;0;1;2;0;7
Astrocyte5517728;com.mpi.astro.model.edu.Lesson;Lesson;class;5;21;1;0;6;8;3;63
Astrocyte5517728;com.mpi.astro.controller.PublicController;PublicController;class;8;4;1;0;1;2;1;40
Astrocyte5517728;com.mpi.astro.service.edu.MyelinService;MyelinService;class;17;10;1;0;11;6;2;77
Astrocyte5517728;com.mpi.astro.model.edu.Student;Student;class;14;52;1;0;73;19;8;185
Astrocyte5517728;com.mpi.astro.util.PropertiesUtil;PropertiesUtil;class;2;3;2;0;0;2;12;37
Astrocyte5517728;com.mpi.astro.model.comm.AdvanceCommand;AdvanceCommand;class;6;22;2;0;1;3;4;98
Astrocyte5517728;com.mpi.astro.model.builder.TutorialBuilder;TutorialBuilder;interface;1;5;1;0;10;5;0;13
Astrocyte5517728;com.mpi.astro.model.arcade.impl.JavaGame;JavaGame;class;1;16;1;0;104;16;8;65
Astrocyte5517728;com.mpi.astro.model.comm.BaseCommand;BaseCommand;class;6;6;1;2;9;6;4;33
Astrocyte5517728;com.mpi.astro.model.builder.CourseFactory;CourseFactory;class;1;1;1;0;0;1;0;12
Astrocyte5517728;com.mpi.astro.model.edu.CourseTutorial;CourseTutorial;class;12;19;1;0;51;11;3;85
Astrocyte5517728;com.mpi.astro.service.edu.JMSListener;JMSListener;class;0;3;1;0;3;3;1;30
Astrocyte5517728;com.myelin.client.util.JSchCommonsLogger;JSchCommonsLogger;class;3;12;1;0;0;4;1;61
Astrocyte5517728;com.mpi.astro.controller.ArcadeController;ArcadeController;class;11;2;1;0;0;2;1;39
Astrocyte5517728;com.mpi.astro.model.admin.TutorialViewDescriptor;TutorialViewDescriptor;class;0;8;1;0;20;8;4;36
Astrocyte5517728;com.mpi.astro.model.edu.StudentCourseId;StudentCourseId;class;5;18;1;0;0;6;3;46
Astrocyte5517728;com.mpi.astro.util.AstrocyteConstants;AstrocyteConstants;class;0;0;1;0;0;0;5;33
Astrocyte5517728;com.mpi.astro.model.builder.AbstractTutorialBuilder;AbstractTutorialBuilder;class;4;5;1;1;4;5;2;24
Astrocyte5517728;com.mpi.astro.model.edu.Tutorial;Tutorial;class;14;60;1;0;77;18;8;157
Astrocyte5517728;com.mpi.astro.service.jms.JmsMessageConsumer;JmsMessageConsumer;class;7;6;1;0;0;2;3;49
Astrocyte5517728;com.mpi.astro.test.AstroTest;AstroTest;class;19;4;1;0;1;3;3;143
Astrocyte5517728;com.mpi.astro.model.builder.CodeTutorialBuilder;CodeTutorialBuilder;class;5;4;2;0;1;2;0;40
Astrocyte5517728;com.mpi.astro.dao.StudentDao;StudentDao;class;5;8;1;0;0;6;1;64
Astrocyte5517728;com.mpi.astro.model.edu.StudentCourse;StudentCourse;class;13;23;1;0;97;15;5;104
Astrocyte5517728;com.mpi.astro.model.comm.InitCommand;InitCommand;class;3;4;2;0;1;3;2;44
Astrocyte5517728;$.$;$;class;0;0;1;0;0;0;0;19
Astrocyte5517728;com.mpi.astro.model.comm.UpdateCommand;UpdateCommand;class;2;6;2;0;0;4;2;31
Astrocyte5517728;com.mpi.astro.controller.CourseController;CourseController;class;9;7;1;0;3;3;1;49
Astrocyte5517728;com.mpi.astro.model.edu.Course;Course;class;13;50;1;0;113;19;7;137
Astrocyte5517728;com.mpi.astro.util.MyelinAction;MyelinAction;enum;0;0;1;0;0;0;0;8
Astrocyte5517728;com.myelin.client.controller.JGitController;JGitController;class;30;27;2;0;52;9;9;174
Astrocyte5517728;com.mpi.astro.service.arcade.impl.JPAGameProviderService;JPAGameProviderService;class;4;2;1;0;1;2;1;19
Astrocyte5517728;com.mpi.astro.service.edu.EduService;EduService;class;17;31;1;0;197;26;7;185
Astrocyte5517728;com.myelin.client.controller.ProjectController;ProjectController;class;4;15;2;0;0;2;2;64
Astrocyte5517728;com.myelin.client.controller.DispatchServlet;DispatchServlet;class;4;7;2;0;3;3;1;55
