file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
BONc29506276;ie.ucd.bon.printer.UnableToGenerateClassDictionaryException;UnableToGenerateClassDictionaryException;class;0;2;3;0;1;2;1;14
BONc29506276;ie.ucd.bon.source.SourceLocation;SourceLocation;class;4;75;1;0;56;29;9;206
BONc29506276;AntGraph;AntGraph;class;2;4;1;0;0;1;0;16
BONc29506276;ie.ucd.bon.plugin.editor.outline.BONOutlineContentProvider;BONOutlineContentProvider;class;1;0;2;0;0;0;0;4
BONc29506276;ie.ucd.bon.graph.Grapher;Grapher;class;8;61;1;0;188;20;1;295
BONc29506276;ie.ucd.bon.parser.AbstractBONLexer;AbstractBONLexer;class;14;32;2;1;39;10;2;109
BONc29506276;ie.ucd.bon.plugin.editor.BONCodeScanner;BONCodeScanner;class;14;3;2;0;0;1;2;113
BONc29506276;ie.ucd.bon.errorreporting.BONError;BONError;class;3;2;2;3;1;2;0;14
BONc29506276;ie.ucd.bon.errorreporting.ExceptionalError;ExceptionalError;class;1;2;3;0;0;2;1;18
BONc29506276;ie.ucd.bon.plugin.util.EclipsePluginInputStreamProvider;EclipsePluginInputStreamProvider;class;2;7;1;0;0;2;1;27
BONc29506276;ie.ucd.bon.tests.Tester;Tester;class;6;14;1;0;1;2;0;68
BONc29506276;ie.ucd.bon.ast.CallExp;CallExp;class;5;8;4;0;0;7;2;42
BONc29506276;ie.ucd.bon.ast.Quantification;Quantification;class;6;11;4;0;0;9;4;54
BONc29506276;ie.ucd.bon.util.ExecUtil;ExecUtil;class;1;59;1;0;60;13;8;180
BONc29506276;ie.ucd.bon.ast.AbstractVisitor;AbstractVisitor;class;85;71;1;1;2145;66;0;217
BONc29506276;ie.ucd.bon.util.HashMapStack;HashMapStack;class;2;36;1;0;0;15;1;122
BONc29506276;ie.ucd.bon.typechecker.errors.ClassIsNotGenericError;ClassIsNotGenericError;class;2;2;4;0;0;2;2;18
BONc29506276;ie.ucd.bon.plugin.ui.actions.GenerateBONDocumentationAction;GenerateBONDocumentationAction;class;12;25;4;0;0;9;2;98
