file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Business-Case-GT-Academy69233734;nl.getthere.model.Correspondence;Correspondence;class;4;19;1;0;88;17;7;80
Business-Case-GT-Academy69233734;nl.getthere.users.Student;Student;class;5;32;1;0;436;32;15;132
Business-Case-GT-Academy69233734;nl.getthere.BusinessCaseApplication;BusinessCaseApplication;class;2;1;1;0;0;1;0;9
Business-Case-GT-Academy69233734;nl.getthere.controllers.StudentCreationController;StudentCreationController;class;10;4;1;0;1;2;2;45
Business-Case-GT-Academy69233734;nl.getthere.users.RecruiterRepository;RecruiterRepository;interface;4;1;1;0;0;1;0;7
Business-Case-GT-Academy69233734;nl.getthere.controllers.RecruiterController;RecruiterController;class;21;29;1;0;135;19;6;171
Business-Case-GT-Academy69233734;nl.getthere.users.StudentRepository;StudentRepository;interface;4;3;1;0;3;3;0;9
Business-Case-GT-Academy69233734;nl.getthere.users.UserProfileRepository;UserProfileRepository;interface;3;1;1;0;0;1;0;8
Business-Case-GT-Academy69233734;nl.getthere.users.UserProfile;UserProfile;class;9;13;1;0;54;13;7;66
Business-Case-GT-Academy69233734;nl.getthere.formbeans.PersoonsGegevensBean;PersoonsGegevensBean;class;3;23;1;0;22;13;5;84
Business-Case-GT-Academy69233734;nl.getthere.controllers.MyUserDetailsService;MyUserDetailsService;class;11;1;1;0;0;1;3;28
Business-Case-GT-Academy69233734;nl.getthere.model.Event;Event;class;3;15;1;0;62;13;6;60
Business-Case-GT-Academy69233734;nl.getthere.controllers.StudentController;StudentController;class;17;13;1;0;0;8;4;140
Business-Case-GT-Academy69233734;nl.getthere.model.Theme;Theme;class;3;6;1;0;7;6;2;41
Business-Case-GT-Academy69233734;nl.getthere.model.DataChange;DataChange;class;3;17;1;0;88;17;7;74
Business-Case-GT-Academy69233734;nl.getthere.services.StudentMailSender;StudentMailSender;class;8;4;1;0;0;1;3;47
Business-Case-GT-Academy69233734;nl.getthere.controllers.MvcConfig;MvcConfig;class;3;1;2;0;0;1;0;11
Business-Case-GT-Academy69233734;nl.getthere.model.WebSecurityConfig;WebSecurityConfig;class;12;3;2;0;1;3;2;49
Business-Case-GT-Academy69233734;nl.getthere.model.EventRepository;EventRepository;interface;4;1;1;0;0;1;0;10
Business-Case-GT-Academy69233734;nl.getthere.model.ThemeRepository;ThemeRepository;interface;4;1;1;0;0;1;0;10
Business-Case-GT-Academy69233734;nl.getthere.formbeans.ThemeBean;ThemeBean;class;1;3;1;0;0;3;1;18
Business-Case-GT-Academy69233734;nl.getthere.formbeans.ContactGegevensBean;ContactGegevensBean;class;3;15;1;0;12;9;3;53
Business-Case-GT-Academy69233734;nl.getthere.model.CorrespondenceRepository;CorrespondenceRepository;interface;2;0;1;0;0;0;0;7
Business-Case-GT-Academy69233734;nl.getthere.controllers.LoginController;LoginController;class;14;15;1;0;15;6;4;81
Business-Case-GT-Academy69233734;nl.getthere.model.DataChangeRepository;DataChangeRepository;interface;3;0;1;0;0;0;0;9
Business-Case-GT-Academy69233734;nl.getthere.users.Recruiter;Recruiter;class;5;9;1;0;24;9;4;41
Business-Case-GT-Academy69233734;nl.getthere.model.TodoItem;TodoItem;class;3;6;1;0;9;6;3;34
