file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
BusinessRules27212495;uk.co.o2.br.postpay.gbcft.bo.input.ValidateTariffCompatibilityInputBolton;ValidateTariffCompatibilityInputBolton;class;0;12;1;0;4;8;3;98
BusinessRules27212495;uk.co.o2.br.postpay.pba.workflow.RuleWorkflow;RuleWorkflow;class;8;13;1;0;1;2;0;136
BusinessRules27212495;uk.co.o2.br.mce.validateupgradeeligibility.bo.input.LastCreditCheckInput;LastCreditCheckInput;class;0;7;1;0;3;7;3;84
BusinessRules27212495;uk.co.o2.br.bb.validatebroadbandpackages.workflow.ValidateBroadbandPackages;ValidateBroadbandPackages;class;3;2;1;0;1;2;0;28
BusinessRules27212495;uk.co.o2.br.postpay.cctv.constants.ChargeCustomerTypeConstants;ChargeCustomerTypeConstants;interface;0;0;1;0;0;0;27;126
BusinessRules27212495;uk.co.o2.br.postpay.util.DateUtils;DateUtils;class;0;69;1;0;300;25;0;567
BusinessRules27212495;uk.co.o2.br.postpay.canceltariff.workflow.RuleWorkflow;RuleWorkflow;class;7;6;1;0;1;2;0;102
BusinessRules27212495;uk.co.o2.br.managereturn.validatereturn.constants.ValidateReturnBusinessData;ValidateReturnBusinessData;class;0;32;1;0;241;26;11;288
BusinessRules27212495;uk.co.o2.br.postpay.cctv.workflow.ChargeCustomerType;ChargeCustomerType;class;8;25;1;0;6;4;0;213
BusinessRules27212495;uk.co.o2.br.mce.validateterminationeligibility.bo.input.ServiceBarDetailsInput;ServiceBarDetailsInput;class;0;4;1;0;2;4;2;57
BusinessRules27212495;uk.co.o2.br.postpay.gvb.bo.input.GetValidBoltonsInput;GetValidBoltonsInput;class;1;28;1;0;202;24;11;242
BusinessRules27212495;uk.co.o2.br.bb.validatebroadbandpackages.workflow.RuleWorkflow;RuleWorkflow;class;6;4;1;0;1;2;0;107
BusinessRules27212495;uk.co.o2.br.bb.validatebroadbandpackages.bo.input.ValidateBroadbandPackagesInputProduct;ValidateBroadbandPackagesInputProduct;class;0;2;1;0;0;2;1;37
