file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.OrderServiceRequest;OrderServiceRequest;class;1;6;1;0;9;6;3;110
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.ORDERRESPONSEITEM;ORDERRESPONSEITEM;class;3;13;1;0;45;11;6;197
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.SOURCINGINFO;SOURCINGINFO;class;2;7;1;0;6;5;3;118
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.SUPPLIERPARTY;SUPPLIERPARTY;class;1;2;1;0;0;2;1;58
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.DISPATCHNOTIFICATIONITEM;DISPATCHNOTIFICATIONITEM;class;3;13;1;0;45;11;6;197
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.demo.DeleteOrderCustomerAction;DeleteOrderCustomerAction;class;5;9;1;0;3;3;0;100
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.ORDERPARTIES;ORDERPARTIES;class;2;4;1;0;2;4;2;86
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.REMARK;REMARK;class;0;4;1;0;0;4;2;88
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.PAYMENT;PAYMENT;class;5;10;1;0;35;10;5;162
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.CARD;CARD;class;0;14;1;0;77;14;7;214
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.CASH;CASH;class;1;2;1;0;0;2;1;58
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.DEBIT;DEBIT;class;1;2;1;0;0;2;1;58
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.ObjectFactory;ObjectFactory;class;73;175;1;0;15225;175;102;1452
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.ORDERITEMLIST;ORDERITEMLIST;class;1;3;1;0;0;1;1;66
EbutT10381773;de.htwg_konstanz.ebus.wholesaler.ws.order.DtCURRENCIES;DtCURRENCIES;enum;1;2;1;0;1;2;0;338
