file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Populator1947701;br.com.wave.populator.core.examples.ClasseComColecaoDeClasseComColecaoDeAtributoNaoPadraoComColecaoBidirecional;ClasseComColecaoDeClasseComColecaoDeAtributoNaoPadraoComColecaoBidirecional;class;1;2;1;0;0;2;1;11
Populator1947701;br.com.wave.populator.core.PatternManager;PatternManager;class;2;13;1;0;0;7;3;85
Populator1947701;br.com.wave.populator.enums.FieldEnum;FieldEnum;enum;0;2;1;0;0;2;1;12
Populator1947701;br.com.wave.populator.core.examples.ClasseComAtributoNaoPadraoBidirecional;ClasseComAtributoNaoPadraoBidirecional;class;1;1;1;0;0;1;2;9
Populator1947701;br.com.wave.populator.entities.EntidadeOneToOneBidirecionalInverse;EntidadeOneToOneBidirecionalInverse;class;5;5;1;0;10;5;6;34
Populator1947701;br.com.wave.populator.core.Filler;Filler;class;6;2;1;0;0;2;4;43
Populator1947701;br.com.wave.populator.entities.EntidadeManyToMany;EntidadeManyToMany;class;7;5;1;0;10;5;6;42
Populator1947701;br.com.wave.populator.core.DockerTest;DockerTest;class;9;4;1;0;0;4;5;54
Populator1947701;br.com.wave.populator.core.examples.ClasseSemAtributos;ClasseSemAtributos;class;0;0;1;0;0;0;1;5
Populator1947701;br.com.wave.populator.entities.EntidadeOneToOneBidirecional;EntidadeOneToOneBidirecional;class;5;5;1;0;10;5;6;34
Populator1947701;br.com.wave.populator.core.Populator;Populator;class;5;12;1;0;4;4;2;82
Populator1947701;br.com.wave.populator.exceptions.PopulatorExceptionTest;PopulatorExceptionTest;class;2;4;1;0;1;2;0;23
Populator1947701;br.com.wave.populator.core.examples.ClasseComColecaoDeAtributoNaoPadraoComColecaoBidirecional;ClasseComColecaoDeAtributoNaoPadraoComColecaoBidirecional;class;1;2;1;0;0;2;1;11
Populator1947701;br.com.wave.populator.core.PopulatorTest;PopulatorTest;class;15;19;1;0;0;13;1;136
Populator1947701;br.com.wave.populator.core.examples.ClasseComColecaoDeAtributoNaoPadraoBidirecional;ClasseComColecaoDeAtributoNaoPadraoBidirecional;class;1;2;1;0;0;2;2;13
Populator1947701;br.com.wave.populator.exceptions.PopulatorException;PopulatorException;class;1;5;3;0;1;3;3;30
Populator1947701;br.com.wave.populator.core.examples.ClasseNaoSerializavel;ClasseNaoSerializavel;class;0;0;1;0;0;0;0;3
Populator1947701;br.com.wave.populator.core.examples.ClasseComAtributoNaoPadrao;ClasseComAtributoNaoPadrao;class;1;2;1;0;0;2;2;12
Populator1947701;br.com.wave.populator.setters.OtherSetter;OtherSetter;class;4;9;2;0;1;2;0;35
Populator1947701;br.com.wave.populator.core.examples.ClasseComColecaoDeAtributoPadrao;ClasseComColecaoDeAtributoPadrao;class;0;2;1;0;0;2;2;13
Populator1947701;br.com.wave.populator.entities.EntidadeBasic;EntidadeBasic;class;4;17;1;0;122;17;11;75
Populator1947701;br.com.wave.populator.enums.ErrorEnum;ErrorEnum;enum;0;2;1;0;0;2;1;19
Populator1947701;br.com.wave.populator.core.PatternManagedTest;PatternManagedTest;class;5;9;1;0;0;9;1;56
Populator1947701;br.com.wave.populator.entities.EntidadeOneToMany;EntidadeOneToMany;class;7;5;1;0;10;5;6;42
Populator1947701;br.com.wave.populator.enums.FixedPatternEnum;FixedPatternEnum;enum;1;3;1;0;0;3;2;31
Populator1947701;br.com.wave.populator.entities.EntidadeManyToManyInverse;EntidadeManyToManyInverse;class;5;5;1;0;10;5;6;35
Populator1947701;br.com.wave.populator.core.PopulatorFactory;PopulatorFactory;class;3;2;1;0;1;2;0;25
Populator1947701;br.com.wave.populator.core.examples.ClasseComMapa;ClasseComMapa;class;0;1;1;0;0;1;2;10
Populator1947701;br.com.wave.populator.entities.EntidadeOneToOne;EntidadeOneToOne;class;5;5;1;0;10;5;6;34
Populator1947701;br.com.wave.populator.core.examples.ClasseComIdEVersion;ClasseComIdEVersion;class;0;3;1;0;3;3;4;17
Populator1947701;br.com.wave.populator.setters.Setter;Setter;class;4;6;1;0;9;6;3;26
Populator1947701;br.com.wave.populator.core.FillerTest;FillerTest;class;19;51;1;0;0;30;1;403
Populator1947701;br.com.wave.populator.setters.FieldPatternSetter;FieldPatternSetter;class;4;10;2;0;3;3;0;36
Populator1947701;br.com.wave.populator.core.examples.ClasseComAtributosPadrao;ClasseComAtributosPadrao;class;1;17;1;0;122;17;11;68
Populator1947701;br.com.wave.populator.entities.EntidadeOneToManyBidirecional;EntidadeOneToManyBidirecional;class;5;5;1;0;10;5;6;35
Populator1947701;br.com.wave.populator.core.examples.ClasseComColecaoDeAtributoNaoPadrao;ClasseComColecaoDeAtributoNaoPadrao;class;1;2;1;0;0;2;1;11
Populator1947701;br.com.wave.populator.setters.CollectionSetter;CollectionSetter;class;4;13;2;0;3;3;0;50
