file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Sales-Tracker-9812830304;sh.eran.ctu.IT251.Account;Account;class;1;14;1;3;77;14;4;84
Sales-Tracker-9812830304;sh.eran.ctu.IT251.Supplies;Supplies;class;3;13;2;0;10;5;0;117
Sales-Tracker-9812830304;sh.eran.ctu.IT251.Splash;Splash;class;2;29;5;0;17;11;6;150
Sales-Tracker-9812830304;sh.eran.ctu.IT251.IO;IO;class;0;21;1;0;36;9;0;160
Sales-Tracker-9812830304;sh.eran.ctu.IT251.Animator;Animator;class;1;10;1;0;0;2;3;44
Sales-Tracker-9812830304;sh.eran.ctu.IT251.Transaction;Transaction;class;0;14;1;0;25;14;5;111
Sales-Tracker-9812830304;sh.eran.ctu.IT251.Paper;Paper;class;4;13;2;0;43;11;1;108
Sales-Tracker-9812830304;sh.eran.ctu.IT251.SalesTracker;SalesTracker;class;5;16;1;0;3;3;0;174
Sales-Tracker-9812830304;sh.eran.ctu.IT251.MainWindow;MainWindow;class;4;65;6;0;286;17;35;580
Sales-Tracker-9812830304;sh.eran.ctu.IT251.Services;Services;class;3;15;2;0;13;11;1;121
