file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
StockBusiness65783346;com.deng.serviceImpl.AnswerServiceImpl;AnswerServiceImpl;class;5;1;1;0;0;1;1;20
StockBusiness65783346;com.deng.serviceImpl.ArticalServiceImpl;ArticalServiceImpl;class;5;3;1;0;0;3;1;30
StockBusiness65783346;com.deng.mapper.TransactionMapper;TransactionMapper;interface;1;4;1;0;6;4;0;14
StockBusiness65783346;com.deng.mapper.QuestionMapper;QuestionMapper;interface;1;1;1;0;0;1;0;8
StockBusiness65783346;com.deng.model.Question;Question;class;0;13;1;0;42;13;6;64
StockBusiness65783346;com.deng.controller.UserController;UserController;class;10;6;1;0;0;2;2;69
StockBusiness65783346;com.deng.serviceImpl.UserServiceUImpl;UserServiceUImpl;class;5;3;1;0;0;3;1;31
StockBusiness65783346;com.deng.controller.TransactionController;TransactionController;class;11;9;1;0;0;5;2;133
StockBusiness65783346;com.deng.controller.UserQuestionController;UserQuestionController;class;11;4;1;0;0;2;2;67
StockBusiness65783346;com.deng.model.Artical;Artical;class;0;13;1;0;42;13;6;64
StockBusiness65783346;com.deng.model.UserInfo;UserInfo;class;0;31;1;0;375;31;15;147
StockBusiness65783346;com.deng.serviceImpl.UserQuestionServiceImpl;UserQuestionServiceImpl;class;5;2;1;0;0;2;1;27
StockBusiness65783346;com.deng.mapper.UserQuestionMapper;UserQuestionMapper;interface;1;2;1;0;1;2;0;10
StockBusiness65783346;com.deng.service.TransactionService;TransactionService;interface;1;4;1;0;6;4;0;14
StockBusiness65783346;com.deng.serviceImpl.TransactionServiceImpl;TransactionServiceImpl;class;6;4;1;0;0;4;1;40
StockBusiness65783346;com.deng.service.QuestionService;QuestionService;interface;1;1;1;0;0;1;0;8
StockBusiness65783346;com.deng.service.UserService;UserService;interface;1;3;1;0;3;3;0;11
StockBusiness65783346;com.deng.serviceImpl.QuestionServiceImpl;QuestionServiceImpl;class;5;1;1;0;0;1;1;21
StockBusiness65783346;com.deng.test.ArticalTest;ArticalTest;class;7;1;1;0;0;1;1;23
StockBusiness65783346;com.deng.mapper.UserMapper;UserMapper;interface;1;3;1;0;3;3;0;11
StockBusiness65783346;com.deng.model.Transaction;Transaction;class;0;15;1;0;63;15;7;74
StockBusiness65783346;com.deng.service.AnswerService;AnswerService;interface;1;1;1;0;0;1;0;7
StockBusiness65783346;com.deng.service.UserQuestionService;UserQuestionService;interface;1;2;1;0;1;2;0;10
StockBusiness65783346;com.deng.test.UserTest;UserTest;class;7;3;1;0;3;3;1;53
StockBusiness65783346;com.deng.controller.QuestionController;QuestionController;class;7;1;1;0;0;1;1;24
StockBusiness65783346;com.deng.mapper.AnswerMapper;AnswerMapper;interface;1;1;1;0;0;1;0;7
StockBusiness65783346;com.deng.model.UserQuestion;UserQuestion;class;1;11;1;0;25;11;5;56
StockBusiness65783346;com.deng.util.Utility;Utility;class;1;8;1;0;10;5;0;85
StockBusiness65783346;com.deng.mapper.ArticalMapper;ArticalMapper;interface;1;3;1;0;3;3;0;12
StockBusiness65783346;com.deng.service.ArticalService;ArticalService;interface;1;3;1;0;3;3;0;12
StockBusiness65783346;com.deng.controller.ArticalController;ArticalController;class;7;2;1;0;0;2;1;36
StockBusiness65783346;com.deng.model.Answer;Answer;class;0;13;1;0;42;13;6;64
