file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
UGC-ERP65026316;floor.packaging.Packaging;Packaging;class;0;0;1;0;0;0;3;6
UGC-ERP65026316;base.acct.User;User;class;4;13;1;0;74;13;8;53
UGC-ERP65026316;model.contact.ZipCode;ZipCode;class;0;8;1;0;0;4;4;32
UGC-ERP65026316;server.login.LoginConstants;LoginConstants;class;0;0;1;0;0;0;4;7
UGC-ERP65026316;ouroboro.engine.formulas.StaggeredLayoutFormula;StaggeredLayoutFormula;class;0;13;1;0;20;9;4;44
UGC-ERP65026316;ui.GasketColor;GasketColor;class;0;1;2;0;0;1;0;9
UGC-ERP65026316;server.login.AccountManager;AccountManager;class;4;16;1;0;28;8;0;56
UGC-ERP65026316;crypt.auth.LoginAuthenticatedHandler;LoginAuthenticatedHandler;interface;2;1;1;0;0;1;0;6
UGC-ERP65026316;quality.apqp.BulkMaterialsRequirementsChecklist;BulkMaterialsRequirementsChecklist;class;0;0;1;0;0;0;0;3
UGC-ERP65026316;ouroboro.engine.DataValidation;DataValidation;class;3;16;1;0;78;16;6;74
UGC-ERP65026316;util.setting.AbstractNumberSettings;AbstractNumberSettings;class;2;5;2;0;0;1;3;22
UGC-ERP65026316;model.contact.PhoneNumber;PhoneNumber;class;1;15;1;0;0;7;7;48
UGC-ERP65026316;ui.util.IconAssist;IconAssist;class;0;14;1;0;0;14;2;53
UGC-ERP65026316;ui.util.Screen;Screen;enum;0;3;1;0;0;3;1;21
UGC-ERP65026316;base.Fulcrum;Fulcrum;class;0;4;1;0;6;4;4;19
UGC-ERP65026316;model.Contact;Contact;class;3;38;1;0;567;38;15;223
UGC-ERP65026316;ouroboro.model.machines.primary.PunchPress;PunchPress;class;3;10;2;0;15;10;3;49
UGC-ERP65026316;ouroboro.model.machines.secondary.Universal;Universal;class;4;8;2;0;28;8;1;47
UGC-ERP65026316;calendar.event.CalendarAlert;CalendarAlert;class;0;11;1;0;25;11;6;48
UGC-ERP65026316;quality.apqp.APQPTimeline;APQPTimeline;class;4;33;1;0;468;33;16;143
UGC-ERP65026316;sales.rfq.SalesRFQ;SalesRFQ;class;5;1;2;0;0;1;1;18
UGC-ERP65026316;server.MClient;MClient;class;1;8;1;0;15;6;0;34
UGC-ERP65026316;ui.util.SizeUtil;SizeUtil;class;0;4;1;0;6;4;0;23
UGC-ERP65026316;base.engine.EngineFactory;EngineFactory;class;0;3;1;0;3;3;2;17
UGC-ERP65026316;model.material.Silicone;Silicone;class;5;14;2;0;79;14;7;67
UGC-ERP65026316;ouroboro.engine.ShippingEngine;ShippingEngine;class;4;5;1;0;2;4;5;30
UGC-ERP65026316;manufacturing.rout.Router;Router;class;3;23;1;0;199;23;10;94
UGC-ERP65026316;util.Transaction;Transaction;class;1;7;1;0;21;7;0;30
UGC-ERP65026316;process.flows.costing.EstimateProcessFlow;EstimateProcessFlow;class;0;0;1;0;0;0;0;3
UGC-ERP65026316;util.UGCLogger;UGCLogger;class;1;3;2;0;3;3;1;20
UGC-ERP65026316;accounting.payment.LedgerServices;LedgerServices;class;0;0;1;0;0;0;0;3
UGC-ERP65026316;util.cache.CachePolicy;CachePolicy;class;0;0;1;0;0;0;0;3
UGC-ERP65026316;accounting.CommodityNode;CommodityNode;class;1;19;1;1;81;15;5;65
UGC-ERP65026316;sales.forecast.Forecast;Forecast;class;3;11;1;0;27;10;9;56
UGC-ERP65026316;process.launch.Launcher;Launcher;class;2;29;1;0;45;10;0;89
UGC-ERP65026316;ouroboro.engine.OuroboroEngine;OuroboroEngine;class;1;3;1;0;0;3;1;13
UGC-ERP65026316;ouroboro.model.machines.SecondaryMachine;SecondaryMachine;class;2;12;1;0;48;12;5;47
UGC-ERP65026316;quality.apqp.DimensionalLayout;DimensionalLayout;class;3;27;1;0;317;27;14;105
UGC-ERP65026316;quality.apqp.ControlPlan;ControlPlan;class;4;1;1;0;0;1;24;44
UGC-ERP65026316;ouroboro.model.FormalQuote;FormalQuote;class;5;28;1;0;231;26;18;124
UGC-ERP65026316;floor.inventory.MaterialStockLabel;MaterialStockLabel;class;2;3;2;0;0;3;2;20
UGC-ERP65026316;quality.ppap.ProductProcessChange;ProductProcessChange;class;4;9;1;0;12;9;5;57
UGC-ERP65026316;util.OpSys;OpSys;class;0;2;1;0;1;2;0;11
UGC-ERP65026316;quality.audit.ProcessControlAudit;ProcessControlAudit;class;2;28;1;0;332;28;15;120
UGC-ERP65026316;quality.ppap.DimensionalTest;DimensionalTest;class;2;17;1;0;120;17;9;69
UGC-ERP65026316;sales.forecast.ForecastEngine;ForecastEngine;class;1;3;1;0;0;3;2;14
UGC-ERP65026316;server.ERPProcessor;ERPProcessor;class;0;0;1;0;0;0;0;3
UGC-ERP65026316;ui.ButtonHighlighter;ButtonHighlighter;class;1;3;1;0;3;3;0;10
UGC-ERP65026316;ouroboro.model.machines.secondary.Rosenthal;Rosenthal;class;4;8;2;0;28;8;1;47
UGC-ERP65026316;ouroboro.reference.AdhesiveApplication;AdhesiveApplication;class;2;0;6;0;0;0;5;26
UGC-ERP65026316;ui.notification.animation.AbstractAnimation;AbstractAnimation;class;6;8;1;3;20;8;4;34
UGC-ERP65026316;ui.util.FontAssist;FontAssist;class;1;10;1;0;0;5;5;52
UGC-ERP65026316;project.Project;Project;class;3;13;1;0;42;13;11;66
UGC-ERP65026316;quality.RunAtRate;RunAtRate;class;4;49;1;0;1128;49;25;239
UGC-ERP65026316;ui.Comps;Comps;class;0;1;1;0;0;1;16;77
UGC-ERP65026316;model.Tag;Tag;class;3;5;3;0;6;4;1;39
UGC-ERP65026316;ui.notification.animation.CustomStage;CustomStage;class;7;11;2;0;49;11;3;55
UGC-ERP65026316;ouroboro.engine.analysis.DataAnalyzer;DataAnalyzer;interface;0;0;1;0;0;0;0;3
UGC-ERP65026316;quality.ppap.ProductCertification;ProductCertification;class;7;1;1;0;0;1;10;29
UGC-ERP65026316;accounting.invoice.InvoiceWorker;InvoiceWorker;class;0;0;1;0;0;0;0;3
UGC-ERP65026316;floor.shipping.Shipping;Shipping;enum;0;0;1;0;0;0;0;3
UGC-ERP65026316;quality.apqp.APQPService;APQPService;class;0;0;1;0;0;0;0;8
UGC-ERP65026316;quality.apqp.AttributeGageBias;AttributeGageBias;class;1;4;1;0;6;4;16;38
UGC-ERP65026316;quality.checklist.DieChecklist;DieChecklist;class;4;32;1;0;426;32;14;135
UGC-ERP65026316;ui.ERPWindow;ERPWindow;class;4;3;6;0;1;3;5;45
UGC-ERP65026316;model.company.CustomerPO;CustomerPO;class;6;13;2;0;64;13;6;56
UGC-ERP65026316;ouroboro.model.breakdown.PackagingBreakdown;PackagingBreakdown;class;1;45;1;0;930;45;23;168
UGC-ERP65026316;purchasing.quote.VendorQuote;VendorQuote;class;5;24;1;0;175;22;11;100
UGC-ERP65026316;crypt.login.KeyGenerator;KeyGenerator;class;2;3;1;0;0;2;1;19
UGC-ERP65026316;util.attachment.Attachment;Attachment;class;2;12;1;0;3;6;4;69
UGC-ERP65026316;ouroboro.model.machines.MachineConstants;MachineConstants;class;6;19;1;0;119;19;14;193
UGC-ERP65026316;server.login.UGCLogin;UGCLogin;class;6;44;1;0;22;8;13;125
UGC-ERP65026316;custservice.CSR;CSR;enum;0;2;1;0;0;2;1;14
UGC-ERP65026316;base.feed.URLs;URLs;enum;0;2;1;0;0;2;1;17
UGC-ERP65026316;quality.ActionItemLog;ActionItemLog;class;0;25;1;0;228;25;7;87
UGC-ERP65026316;server.login.LoginError;LoginError;class;2;13;1;0;0;5;3;52
UGC-ERP65026316;ouroboro.engine.formulas.QuantityFormulas;QuantityFormulas;class;0;12;1;0;48;12;5;47
UGC-ERP65026316;ouroboro.engine.sort.MergeSort;MergeSort;class;2;3;1;0;3;3;1;13
UGC-ERP65026316;ui.ButtonListener;ButtonListener;interface;0;5;1;0;10;5;0;26
UGC-ERP65026316;ui.components.LabeledTextFieldUI;LabeledTextFieldUI;class;0;0;5;0;0;0;1;5
UGC-ERP65026316;ui.ERPFrame;ERPFrame;class;4;20;1;0;151;7;6;108
UGC-ERP65026316;ui.util.UGColor;UGColor;enum;0;2;1;0;0;2;1;18
UGC-ERP65026316;process.fiveS.LeanRatingAssessment;LeanRatingAssessment;class;1;39;1;0;693;39;20;226
UGC-ERP65026316;ui.components.GasketButton;GasketButton;class;1;4;6;0;2;2;3;37
UGC-ERP65026316;ui.wizards.ItemWizard;ItemWizard;class;0;0;1;0;0;0;1;4
