file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
VirtualBusiness64638205;tw.com.aber.vo.DataTableBean;DataTableBean;class;0;6;1;0;9;6;4;26
VirtualBusiness64638205;tw.com.aber.basicinfo.supply;supply;class;8;65;2;0;55;15;8;404
VirtualBusiness64638205;tw.com.aber.report.distributereport;distributereport;class;8;16;2;0;13;6;6;125
VirtualBusiness64638205;tw.com.aber.producttype.controller.producttype;producttype;class;8;80;2;0;81;18;9;396
VirtualBusiness64638205;tw.com.aber.chart.bestsale;bestsale;class;6;20;2;0;0;4;7;119
VirtualBusiness64638205;tw.com.aber.product.controller.image;image;class;4;6;2;0;3;3;1;42
VirtualBusiness64638205;tw.com.aber.report.salereport;salereport;class;8;18;2;0;13;6;6;133
VirtualBusiness64638205;tw.com.aber.function;function;class;13;245;2;0;577;47;42;926
VirtualBusiness64638205;tw.com.aber.vo.CustomerVO;CustomerVO;class;0;22;1;0;209;22;12;81
VirtualBusiness64638205;tw.com.aber.vo.SaleReportVO;SaleReportVO;class;0;42;1;0;819;42;22;151
VirtualBusiness64638205;tw.com.aber.product.controller.productpackage;productpackage;class;9;56;2;0;0;10;47;417
VirtualBusiness64638205;tw.com.aber.sale.controller.sale;sale;class;10;221;2;0;424;37;15;1122
VirtualBusiness64638205;tw.com.aber.upload;upload;class;13;78;2;0;4;4;10;390
VirtualBusiness64638205;tw.com.aber.vo.ProductContrastVO;ProductContrastVO;class;0;24;1;0;252;24;13;90
VirtualBusiness64638205;tw.com.aber.chat.chatsubject;chatsubject;class;7;32;2;0;0;7;20;211
VirtualBusiness64638205;tw.com.aber.product.controller.File4json;File4json;class;0;14;1;0;77;14;7;53
VirtualBusiness64638205;tw.com.aber.vo.SaleReturnVO;SaleReturnVO;class;0;40;1;0;740;40;21;146
VirtualBusiness64638205;tw.com.aber.vo.PlatformVO;PlatformVO;class;0;4;1;0;2;4;3;19
VirtualBusiness64638205;tw.com.aber.accreceive.controller.accreceive;accreceive;class;9;148;2;0;148;24;12;717
VirtualBusiness64638205;tw.com.aber.fileoutput;fileoutput;class;4;13;2;0;1;2;2;99
VirtualBusiness64638205;tw.com.aber.login.controller.login;login;class;10;70;2;0;70;16;10;322
VirtualBusiness64638205;tw.com.aber.purchase.controller.purchase;purchase;class;12;277;2;0;726;49;19;1276
VirtualBusiness64638205;tw.com.aber.welcome;welcome;class;3;15;2;0;1;2;0;104
VirtualBusiness64638205;tw.com.aber.loginFilter;loginFilter;class;8;7;1;0;3;3;0;45
VirtualBusiness64638205;tw.com.aber.basicinfo.user;user;class;8;79;2;0;81;18;9;385
VirtualBusiness64638205;tw.com.aber.report.salereturnreport;salereturnreport;class;8;15;2;0;7;6;6;119
VirtualBusiness64638205;tw.com.aber.vo.PasswordVO;PasswordVO;class;0;4;1;0;2;4;3;18
VirtualBusiness64638205;tw.com.aber.chart.saleamountstaticchart;saleamountstaticchart;class;8;25;2;0;38;13;8;138
VirtualBusiness64638205;tw.com.aber.vo.SaleVO;SaleVO;class;0;46;1;0;989;46;24;166
VirtualBusiness64638205;tw.com.aber.youtube.controller.Youtube;Youtube;class;19;17;2;0;8;5;3;248
VirtualBusiness64638205;tw.com.aber.salereturn.controller.salereturn;salereturn;class;10;237;2;0;492;40;15;1095
VirtualBusiness64638205;tw.com.aber.disscussion;disscussion;class;7;32;2;0;0;7;17;216
VirtualBusiness64638205;tw.com.aber.groupbuying;groupbuying;class;14;83;2;0;4;4;14;358
VirtualBusiness64638205;tw.com.aber.vo.UserVO;UserVO;class;0;16;1;0;104;16;9;60
VirtualBusiness64638205;tw.com.aber.forget;forget;class;13;31;2;0;5;6;6;217
VirtualBusiness64638205;tw.com.aber.chart.salechart;salechart;class;9;27;2;0;46;13;11;157
VirtualBusiness64638205;tw.com.aber.productunit.controller.productunit;productunit;class;8;80;2;0;81;18;10;397
VirtualBusiness64638205;com.google.api.services.samples.youtube.cmdline.Auth;Auth;class;12;3;1;0;0;1;3;64
VirtualBusiness64638205;tw.com.aber.changepassword.controller.changepassword;changepassword;class;8;17;2;0;7;6;5;104
VirtualBusiness64638205;tw.com.aber.basicinfo.group;group;class;8;37;2;0;18;9;6;219
VirtualBusiness64638205;tw.com.aber.vo.AccreceiveVO;AccreceiveVO;class;0;24;1;0;252;24;13;88
VirtualBusiness64638205;tw.com.aber.registry;registry;class;14;37;2;0;18;6;8;276
VirtualBusiness64638205;tw.com.aber.report.controller.Report;Report;class;6;18;2;0;1;2;1;123
VirtualBusiness64638205;tw.com.aber.chart.saledifftypestatic;saledifftypestatic;class;6;14;2;0;1;3;6;99
VirtualBusiness64638205;tw.com.aber.membercondition;membercondition;class;7;45;2;0;61;26;15;505
VirtualBusiness64638205;tw.com.aber.vo.ProductVO;ProductVO;class;0;10;1;0;35;10;6;39
VirtualBusiness64638205;tw.com.aber.invoice;invoice;class;10;162;2;0;3684;92;70;902
VirtualBusiness64638205;tw.com.aber.vo.PurchaseDetailVO;PurchaseDetailVO;class;0;24;1;0;252;24;13;88
VirtualBusiness64638205;tw.com.aber.onlinecourse;onlinecourse;class;5;8;2;0;1;2;2;65
VirtualBusiness64638205;tw.com.aber.chat.Livehelp;Livehelp;class;10;32;1;0;8;8;7;131
VirtualBusiness64638205;tw.com.aber.product.controller.ProductContrast;ProductContrast;class;13;155;2;0;255;30;15;684
VirtualBusiness64638205;tw.com.aber.vo.AccpayVO;AccpayVO;class;0;22;1;0;209;22;12;81
VirtualBusiness64638205;tw.com.aber.vo.GroupVO;GroupVO;class;0;22;1;0;209;22;12;81
VirtualBusiness64638205;tw.com.aber.deliveryorder.controller.DeliveryOrder;DeliveryOrder;class;11;13;2;0;7;6;7;139
VirtualBusiness64638205;tw.com.aber.product.controller.product;product;class;10;226;2;0;1350;73;36;1102
VirtualBusiness64638205;tw.com.aber.tagprint;tagprint;class;8;95;2;0;139;26;14;419
VirtualBusiness64638205;tw.com.aber.vo.SupplyVO;SupplyVO;class;0;34;1;0;527;34;18;123
VirtualBusiness64638205;tw.com.aber.purchreturn.controller.purchreturn;purchreturn;class;10;164;2;0;189;27;13;785
VirtualBusiness64638205;tw.com.aber.vo.PurchaseReturnVO;PurchaseReturnVO;class;0;26;1;0;299;26;14;95
VirtualBusiness64638205;tw.com.aber.login.controller.HandleDrawValidateCode;HandleDrawValidateCode;class;4;8;2;0;3;6;3;114
VirtualBusiness64638205;tw.com.aber.chart.saledifftype;saledifftype;class;6;20;2;0;0;4;8;123
VirtualBusiness64638205;tw.com.aber.product.controller.photo;photo;class;8;14;2;0;1;2;0;99
VirtualBusiness64638205;tw.com.aber.vo.StockVO;StockVO;class;0;16;1;0;104;16;9;60
VirtualBusiness64638205;tw.com.aber.invoicetrack;invoicetrack;class;6;26;2;0;0;6;15;188
VirtualBusiness64638205;tw.com.aber.exchange;exchange;class;6;26;2;0;0;6;11;165
VirtualBusiness64638205;tw.com.aber.chart.saleamountchart;saleamountchart;class;9;40;2;0;61;18;10;205
VirtualBusiness64638205;tw.com.aber.report.shipreport;shipreport;class;6;12;2;0;1;2;0;67
VirtualBusiness64638205;tw.com.aber.chat.ChatAnnotation;ChatAnnotation;class;10;23;1;0;6;8;6;132
VirtualBusiness64638205;tw.com.aber.vo.ProductTypeVO;ProductTypeVO;class;0;12;1;0;54;12;7;46
VirtualBusiness64638205;tw.com.aber.bystartup;bystartup;class;3;10;1;0;0;2;7;99
VirtualBusiness64638205;tw.com.aber.disscussionsubject;disscussionsubject;class;7;32;2;0;0;7;18;207
VirtualBusiness64638205;tw.com.aber.basicinfo.stock;stock;class;8;71;2;0;55;15;15;365
VirtualBusiness64638205;tw.com.aber.vo.PurchaseVO;PurchaseVO;class;0;26;1;0;299;26;14;95
VirtualBusiness64638205;tw.com.aber.basicinfo.customer;customer;class;12;68;2;0;62;17;10;382
VirtualBusiness64638205;tw.com.aber.accpay.controller.accpay;accpay;class;9;144;2;0;148;24;12;684
VirtualBusiness64638205;tw.com.aber.vo.ProductUnitVO;ProductUnitVO;class;0;8;1;0;20;8;5;32
VirtualBusiness64638205;tw.com.aber.chart.heavybuyer;heavybuyer;class;7;18;2;0;6;4;2;123
