file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
bebrb13730989;org.bebrb.forms.OnClick;OnClick;interface;1;1;1;0;0;1;0;15
bebrb13730989;org.bebrb.forms.OnKeyboard;OnKeyboard;interface;2;3;1;0;3;3;0;30
bebrb13730989;org.bebrb.forms.InputEvent;InputEvent;interface;2;2;1;0;1;2;0;11
bebrb13730989;org.bebrb.forms.controls.TextBox;TextBox;interface;2;3;1;0;3;3;0;22
bebrb13730989;org.bebrb.forms.FormEvent;FormEvent;interface;2;3;1;0;3;3;0;12
bebrb13730989;org.bebrb.forms.ControlClass;ControlClass;interface;2;6;1;0;15;6;0;19
bebrb13730989;ExampleContentHandler;ExampleContentHandler;class;6;32;1;0;120;16;0;218
bebrb13730989;org.bebrb.forms.Form;Form;interface;3;12;1;0;66;12;0;70
bebrb13730989;org.bebrb.utils.KeyCode;KeyCode;class;1;0;1;0;0;0;2;5
bebrb13730989;org.bebrb.server.data.ReferenceBookImpl;ReferenceBookImpl;class;13;29;1;0;69;14;8;120
bebrb13730989;org.bebrb.forms.Action;Action;interface;1;4;1;0;6;4;0;27
bebrb13730989;org.bebrb.forms.OnFormLoad;OnFormLoad;interface;1;1;1;0;0;1;0;7
bebrb13730989;org.bebrb.forms.controls.MoneyBox;MoneyBox;interface;3;3;1;0;3;3;0;27
bebrb13730989;org.bebrb.server.data.DataSourceImpl;DataSourceImpl;class;26;124;1;0;1101;50;24;462
bebrb13730989;org.bebrb.forms.OnChange;OnChange;interface;1;3;1;0;3;3;0;24
bebrb13730989;org.bebrb.utils.Align;Align;class;0;0;1;0;0;0;0;6
bebrb13730989;connectURL;connectURL;class;0;12;1;0;0;1;0;57
bebrb13730989;org.bebrb.server.data.RemoteFunctionImpl;RemoteFunctionImpl;class;20;72;1;0;259;22;8;261
bebrb13730989;org.bebrb.server.net.CommandGetRecord;CommandGetRecord;class;9;20;3;0;7;7;5;93
bebrb13730989;basicDT;basicDT;class;1;13;1;0;1;2;0;119
bebrb13730989;org.bebrb.context.Context;Context;interface;1;1;1;0;0;1;0;14
bebrb13730989;org.bebrb.data.Field;Field;interface;3;7;1;0;21;7;0;56
bebrb13730989;org.bebrb.user.User;User;interface;0;3;1;0;3;3;0;11
bebrb13730989;org.bebrb.utils.Rect;Rect;class;0;9;1;0;12;9;4;41
bebrb13730989;org.bebrb.utils.ControlProperty;ControlProperty;class;0;7;1;0;0;7;2;33
bebrb13730989;org.bebrb.forms.controls.TextArea;TextArea;interface;1;2;1;0;1;2;0;14
bebrb13730989;updateRS;updateRS;class;0;14;1;0;1;2;0;78
bebrb13730989;org.bebrb.utils.ShiftState;ShiftState;class;0;0;1;0;0;0;3;6
bebrb13730989;org.bebrb.data.InvalidData;InvalidData;class;3;6;1;0;0;6;3;31
bebrb13730989;readLargeData;readLargeData;class;2;16;1;0;0;1;0;86
bebrb13730989;biz.gelicon.dbcp.PoolableConnection;PoolableConnection;class;2;8;2;0;13;6;1;48
bebrb13730989;org.bebrb.server.net.Command;Command;class;16;17;1;10;60;12;8;104
bebrb13730989;biz.gelicon.dbcp.ConnectionFactory;ConnectionFactory;interface;0;1;1;0;0;1;0;13
bebrb13730989;org.bebrb.server.utils.DoubleOrInt;DoubleOrInt;class;0;7;2;0;0;7;1;31
bebrb13730989;org.bebrb.context.UserAgent;UserAgent;class;0;0;1;0;0;0;6;10
bebrb13730989;org.bebrb.server.Server;Server;class;3;21;1;0;0;5;5;100
bebrb13730989;org.bebrb.data.Attribute;Attribute;interface;3;10;1;0;45;10;0;73
bebrb13730989;org.bebrb.forms.controls.Label;Label;interface;1;0;1;0;0;0;0;4
bebrb13730989;org.bebrb.context.ApplicationContext;ApplicationContext;interface;8;12;1;0;66;12;0;80
bebrb13730989;org.bebrb.utils.Border;Border;interface;0;2;1;0;1;2;0;6
bebrb13730989;org.bebrb.server.net.CommandLogout;CommandLogout;class;4;4;3;0;1;3;1;30
bebrb13730989;org.bebrb.forms.menus.MenuAction;MenuAction;interface;4;3;1;0;3;3;0;25
bebrb13730989;org.bebrb.server.SessionContextImpl;SessionContextImpl;class;9;13;1;0;32;13;7;77
bebrb13730989;org.bebrb.reference.View;View;interface;1;6;1;0;15;6;0;44
bebrb13730989;org.bebrb.server.net.CommandCallInsert;CommandCallInsert;class;1;3;3;0;3;3;0;14
bebrb13730989;executeStoredProcedure;executeStoredProcedure;class;2;12;1;0;0;1;0;87
bebrb13730989;biz.gelicon.dbcp.DriverManagerConnectionFactory;DriverManagerConnectionFactory;class;1;3;1;0;0;3;3;39
bebrb13730989;org.bebrb.forms.menus.SubmenuItem;SubmenuItem;interface;2;1;1;0;0;1;0;10
bebrb13730989;org.bebrb.server.net.WriteStreamException;WriteStreamException;class;0;1;3;0;0;1;0;8
bebrb13730989;cacheRS;cacheRS;class;0;14;1;0;1;2;0;95
bebrb13730989;org.bebrb.server.net.ExecuteException;ExecuteException;class;0;2;3;0;1;2;0;11
bebrb13730989;org.bebrb.data.BaseDataSet;BaseDataSet;interface;2;6;1;0;15;6;0;36
bebrb13730989;org.bebrb.utils.Padding;Padding;class;0;8;1;0;20;8;4;33
bebrb13730989;org.bebrb.server.data.DataPageImpl;DataPageImpl;class;8;36;1;0;19;11;10;128
bebrb13730989;org.bebrb.server.data.ViewImpl;ViewImpl;class;5;12;1;0;23;10;6;57
bebrb13730989;org.bebrb.server.data.ArgumentImpl;ArgumentImpl;class;4;4;1;0;0;3;3;23
bebrb13730989;org.bebrb.server.net.CommandLogin;CommandLogin;class;9;13;3;0;21;10;7;80
bebrb13730989;org.bebrb.forms.ValidateEvent;ValidateEvent;interface;2;1;1;0;0;1;0;16
bebrb13730989;org.bebrb.forms.menus.PopupMenu;PopupMenu;interface;2;3;1;0;3;3;0;14
bebrb13730989;org.bebrb.reference.ReferenceBookMetaData;ReferenceBookMetaData;interface;3;5;1;0;10;5;1;53
bebrb13730989;org.bebrb.server.net.CommandGetAppContext;CommandGetAppContext;class;16;61;3;0;1360;57;54;280
bebrb13730989;org.bebrb.utils.Base64;Base64;class;2;66;1;0;0;9;3;322
bebrb13730989;org.bebrb.forms.OnModalResult;OnModalResult;interface;1;1;1;0;0;1;0;4
bebrb13730989;org.bebrb.server.ApplicationContextImpl;ApplicationContextImpl;class;26;113;1;0;1113;38;23;412
bebrb13730989;org.bebrb.server.net.CommandCall;CommandCall;class;11;32;3;3;35;11;5;109
bebrb13730989;updateLargeData;updateLargeData;class;2;19;1;0;0;1;0;87
