file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
bi-businessintelligence32392417;webservice.WebServiceProxy;WebServiceProxy;class;2;16;1;0;5;7;2;43
bi-businessintelligence32392417;DefaultNamespace.MyFirstWSClient;MyFirstWSClient;class;2;12;1;0;3;3;0;103
bi-businessintelligence32392417;DBController;DBController;class;4;10;1;0;0;4;2;78
bi-businessintelligence32392417;webservice.WebServiceServiceLocator;WebServiceServiceLocator;class;6;29;2;0;77;15;3;119
bi-businessintelligence32392417;entity.Customer;Customer;class;4;6;1;0;9;6;3;55
bi-businessintelligence32392417;DefaultNamespace.WebserviceServiceLocator;WebserviceServiceLocator;class;6;29;2;0;77;15;3;119
bi-businessintelligence32392417;webservice.WebService;WebService;interface;0;1;1;0;0;1;0;10
bi-businessintelligence32392417;webservice.WebServiceService;WebServiceService;interface;1;3;1;0;3;3;0;12
bi-businessintelligence32392417;DefaultNamespace.WebserviceService;WebserviceService;interface;1;3;1;0;3;3;0;12
bi-businessintelligence32392417;Address;Address;class;4;8;1;0;20;8;5;47
bi-businessintelligence32392417;DefaultNamespace.WebserviceSoapBindingStub;WebserviceSoapBindingStub;class;7;42;2;0;16;8;5;189
bi-businessintelligence32392417;Customer;Customer;class;7;11;1;0;41;11;6;78
bi-businessintelligence32392417;client.Client;Client;class;5;17;1;0;0;10;2;139
bi-businessintelligence32392417;DefaultNamespace.WebserviceProxy;WebserviceProxy;class;2;24;1;0;0;9;2;52
bi-businessintelligence32392417;webservice.WebServiceSoapBindingStub;WebServiceSoapBindingStub;class;7;29;2;0;13;6;5;108
bi-businessintelligence32392417;entity.Order;Order;class;7;6;1;0;9;6;3;55
bi-businessintelligence32392417;Webservice;Webservice;class;3;3;1;0;3;3;0;25
bi-businessintelligence32392417;DefaultNamespace.Webservice;Webservice;interface;0;3;1;0;3;3;0;12
