file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
bssuite44002076;com.enginemobi.bssuite.security.SecurityUtilsTest;SecurityUtilsTest;class;5;3;1;0;3;3;0;43
bssuite44002076;com.enginemobi.bssuite.config.audit.AuditEventConverter;AuditEventConverter;class;5;17;1;0;6;4;0;76
bssuite44002076;com.enginemobi.bssuite.security.UserNotActivatedException;UserNotActivatedException;class;1;2;2;0;1;2;0;13
bssuite44002076;com.enginemobi.bssuite.domain.util.CustomLocalDateSerializer;CustomLocalDateSerializer;class;6;1;2;0;0;1;1;19
bssuite44002076;com.enginemobi.bssuite.web.filter.CsrfCookieGeneratorFilter;CsrfCookieGeneratorFilter;class;6;3;2;0;0;1;0;31
bssuite44002076;com.enginemobi.bssuite.service.UserService;UserService;class;15;12;1;0;0;11;6;177
bssuite44002076;com.enginemobi.bssuite.service.MailService;MailService;class;13;5;1;0;0;4;6;84
bssuite44002076;com.enginemobi.bssuite.web.propertyeditors.LocaleDateTimeEditor;LocaleDateTimeEditor;class;2;6;2;0;0;3;2;55
bssuite44002076;com.enginemobi.bssuite.web.rest.errors.CustomParameterizedException;CustomParameterizedException;class;1;2;4;0;0;2;3;28
bssuite44002076;com.enginemobi.bssuite.domain.util.CustomDateTimeDeserializer;CustomDateTimeDeserializer;class;7;5;2;0;0;1;0;26
bssuite44002076;com.enginemobi.bssuite.security.Http401UnauthorizedEntryPoint;Http401UnauthorizedEntryPoint;class;7;1;1;0;0;1;1;26
bssuite44002076;com.enginemobi.bssuite.web.rest.TestUtil;TestUtil;class;9;3;1;0;1;2;1;50
bssuite44002076;com.enginemobi.bssuite.Application;Application;class;16;14;1;0;4;4;2;96
bssuite44002076;com.enginemobi.bssuite.config.MetricsConfiguration;MetricsConfiguration;class;25;11;2;0;0;5;15;109
bssuite44002076;com.enginemobi.bssuite.config.LoggingAspectConfiguration;LoggingAspectConfiguration;class;5;1;1;0;0;1;0;15
bssuite44002076;com.enginemobi.bssuite.service.UserServiceTest;UserServiceTest;class;17;8;1;0;0;8;3;125
bssuite44002076;com.enginemobi.bssuite.domain.PersistentToken;PersistentToken;class;15;24;1;0;68;16;8;116
bssuite44002076;com.enginemobi.bssuite.config.liquibase.AsyncSpringLiquibase;AsyncSpringLiquibase;class;8;6;2;0;1;2;3;61
bssuite44002076;com.enginemobi.bssuite.repository.UserRepository;UserRepository;interface;4;6;1;0;15;6;0;19
bssuite44002076;com.enginemobi.bssuite.security.AuthoritiesConstants;AuthoritiesConstants;class;0;1;1;0;0;1;3;11
bssuite44002076;com.enginemobi.bssuite.web.rest.UserResourceTest;UserResourceTest;class;13;3;1;0;0;3;3;55
bssuite44002076;com.enginemobi.bssuite.domain.User;User;class;22;35;2;0;338;29;13;182
bssuite44002076;com.enginemobi.bssuite.repository.PersistenceAuditEventRepository;PersistenceAuditEventRepository;interface;4;3;1;0;3;3;0;13
bssuite44002076;com.enginemobi.bssuite.web.rest.UserResource;UserResource;class;24;7;1;0;0;5;5;162
bssuite44002076;com.enginemobi.bssuite.async.ExceptionHandlingAsyncTaskExecutor;ExceptionHandlingAsyncTaskExecutor;class;8;16;1;0;3;10;2;68
bssuite44002076;com.enginemobi.bssuite.config.locale.AngularCookieLocaleResolver;AngularCookieLocaleResolver;class;7;20;2;0;15;4;0;77
bssuite44002076;com.enginemobi.bssuite.repository.search.UserSearchRepository;UserSearchRepository;interface;2;0;1;0;0;0;0;8
bssuite44002076;com.enginemobi.bssuite.web.rest.util.PaginationUtil;PaginationUtil;class;4;5;1;0;0;1;0;33
bssuite44002076;com.enginemobi.bssuite.security.CustomPersistentRememberMeServices;CustomPersistentRememberMeServices;class;24;22;2;0;10;8;8;176
bssuite44002076;com.enginemobi.bssuite.repository.PersistentTokenRepository;PersistentTokenRepository;interface;5;2;1;0;1;2;0;13
bssuite44002076;com.enginemobi.bssuite.web.filter.gzip.GZipServletOutputStream;GZipServletOutputStream;class;3;8;2;0;0;8;1;40
bssuite44002076;com.enginemobi.bssuite.config.Constants;Constants;class;0;1;1;0;0;1;6;17
bssuite44002076;com.enginemobi.bssuite.web.rest.errors.ParameterizedErrorDTO;ParameterizedErrorDTO;class;0;3;1;0;0;3;3;20
bssuite44002076;com.enginemobi.bssuite.web.filter.gzip.GZipResponseUtil;GZipResponseUtil;class;6;18;1;0;4;4;2;95
bssuite44002076;com.enginemobi.bssuite.security.AjaxAuthenticationSuccessHandler;AjaxAuthenticationSuccessHandler;class;5;1;2;0;0;1;0;20
bssuite44002076;com.enginemobi.bssuite.config.metrics.JavaMailHealthIndicator;JavaMailHealthIndicator;class;4;3;2;0;0;2;2;33
bssuite44002076;com.enginemobi.bssuite.web.rest.AccountResourceTest;AccountResourceTest;class;20;11;1;0;0;11;7;273
bssuite44002076;com.enginemobi.bssuite.config.metrics.DatabaseHealthIndicator;DatabaseHealthIndicator;class;4;13;2;0;0;5;4;60
bssuite44002076;com.enginemobi.bssuite.domain.util.CustomDateTimeSerializer;CustomDateTimeSerializer;class;6;1;2;0;0;1;1;22
bssuite44002076;com.enginemobi.bssuite.config.SecurityConfiguration;SecurityConfiguration;class;23;5;2;0;10;5;7;128
bssuite44002076;com.enginemobi.bssuite.web.rest.dto.LoggerDTO;LoggerDTO;class;2;7;1;0;0;7;2;33
bssuite44002076;com.enginemobi.bssuite.web.rest.dto.KeyAndPasswordDTO;KeyAndPasswordDTO;class;0;5;1;0;6;5;2;18
bssuite44002076;com.enginemobi.bssuite.web.rest.errors.FieldErrorDTO;FieldErrorDTO;class;0;4;1;0;0;4;4;22
bssuite44002076;com.enginemobi.bssuite.web.rest.LogsResource;LogsResource;class;7;2;1;0;1;2;0;37
bssuite44002076;com.enginemobi.bssuite.web.filter.gzip.GZipServletFilter;GZipServletFilter;class;12;20;1;0;8;5;1;90
bssuite44002076;com.enginemobi.bssuite.security.UserDetailsService;UserDetailsService;class;15;3;1;0;0;1;2;46
bssuite44002076;com.enginemobi.bssuite.aop.logging.LoggingAspect;LoggingAspect;class;9;10;1;0;1;3;2;53
bssuite44002076;com.enginemobi.bssuite.web.filter.CachingHttpHeadersFilter;CachingHttpHeadersFilter;class;7;4;1;0;2;4;3;38
