file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
business-traceability72917548;arrow.businesstraceability.persistence.entity.Acc_com_bugyo22_;Acc_com_bugyo22_;class;3;0;3;0;0;0;0;15
business-traceability72917548;arrow.businesstraceability.search.SearchService;SearchService;class;8;85;1;0;504;36;17;598
business-traceability72917548;arrow.businesstraceability.persistence.dto.Monthly_report_history_DTO;Monthly_report_history_DTO;class;2;14;6;0;53;14;7;70
business-traceability72917548;arrow.businesstraceability.persistence.entity.Acc_com_finance;Acc_com_finance;class;5;4;5;0;6;4;0;29
business-traceability72917548;arrow.businesstraceability.control.bean.SummaryReportBean;SummaryReportBean;class;23;177;2;0;4031;98;31;1117
business-traceability72917548;arrow.framework.faces.converter.BaseNumberConverter;BaseNumberConverter;class;3;29;2;2;10;5;5;129
business-traceability72917548;arrow.businesstraceability.cache.entity.Daily_Report_View;Daily_Report_View;class;1;15;1;0;67;15;6;68
business-traceability72917548;arrow.businesstraceability.restfull.mixin.CompanyMstMixin;CompanyMstMixin;interface;1;11;1;0;55;11;0;26
business-traceability72917548;arrow.businesstraceability.persistence.mapped.Branch_position_MAPPED_;Branch_position_MAPPED_;class;15;0;2;1;0;0;9;19
business-traceability72917548;arrow.businesstraceability.persistence.repository.Company_mstRepository;Company_mstRepository;class;6;2;3;0;1;2;0;27
business-traceability72917548;arrow.framework.util.DbScanTest;DbScanTest;class;5;3;1;0;0;1;1;64
business-traceability72917548;arrow.businesstraceability.persistence.entity.Addresspoint_mst;Addresspoint_mst;class;5;5;5;0;10;5;0;36
business-traceability72917548;arrow.businesstraceability.persistence.entity.Industry_big_mst;Industry_big_mst;class;5;5;5;0;10;5;0;34
business-traceability72917548;arrow.businesstraceability.persistence.entity.Acc_com_purchase;Acc_com_purchase;class;5;4;5;0;6;4;0;29
business-traceability72917548;arrow.businesstraceability.persistence.repository.San_com_branchRepository;San_com_branchRepository;class;7;2;3;0;1;2;0;23
business-traceability72917548;arrow.businesstraceability.persistence.mapped.User_login_MAPPED_;User_login_MAPPED_;class;10;0;2;1;0;0;9;17
business-traceability72917548;arrow.framework.util.mail.MailService;MailService;class;7;4;1;0;6;4;1;58
business-traceability72917548;arrow.businesstraceability.persistence.repository.Acc_com_bugyo90Repository;Acc_com_bugyo90Repository;class;4;0;3;0;0;0;0;16
business-traceability72917548;arrow.businesstraceability.restfull.mixin.EmployeeMstMixin;EmployeeMstMixin;interface;1;14;1;0;91;14;0;32
business-traceability72917548;arrow.businesstraceability.persistence.mapped.Acc_com_bugyo22_MAPPED_;Acc_com_bugyo22_MAPPED_;class;6;0;2;1;0;0;3;10
business-traceability72917548;arrow.businesstraceability.restfull.mixin.SanComInfoMixin;SanComInfoMixin;interface;1;11;1;0;55;11;0;26
business-traceability72917548;arrow.businesstraceability.persistence.entity.Daily_report_;Daily_report_;class;3;0;3;0;0;0;0;15
business-traceability72917548;arrow.businesstraceability.restfull.mixin.SanComLiveClientMixin;SanComLiveClientMixin;interface;1;10;1;0;45;10;0;24
business-traceability72917548;arrow.businesstraceability.control.bean.UriRequestBean;UriRequestBean;class;6;11;2;0;11;7;4;93
business-traceability72917548;arrow.businesstraceability.persistence.mapped.Acc_com_credit_MAPPED;Acc_com_credit_MAPPED;class;14;189;5;1;15735;183;48;726
business-traceability72917548;arrow.businesstraceability.control.bean.StartupBean;StartupBean;class;6;5;1;0;1;1;3;53
business-traceability72917548;arrow.businesstraceability.mobile.bean.RegisterActivitySearchCompanyBean;RegisterActivitySearchCompanyBean;class;6;11;1;0;5;6;5;93
business-traceability72917548;arrow.businesstraceability.persistence.entity.San_com_info;San_com_info;class;5;5;5;0;10;5;0;32
business-traceability72917548;arrow.businesstraceability.persistence.repository.Business_cons_infoRepository;Business_cons_infoRepository;class;4;0;3;0;0;0;0;16
business-traceability72917548;arrow.businesstraceability.restfull.mixin.SanCardTagMixin;SanCardTagMixin;interface;1;4;1;0;6;4;0;12
business-traceability72917548;arrow.framework.persistence.event.qualifier.EntityPersistedOrUpdatedOrRemoved$Literal;Literal;class;4;4;2;0;0;2;1;51
business-traceability72917548;arrow.businesstraceability.base.AbstractService;AbstractService;class;6;0;1;29;0;0;3;23
business-traceability72917548;arrow.businesstraceability.persistence.entity.Monthly_report_history;Monthly_report_history;class;6;4;5;0;6;4;0;31
business-traceability72917548;arrow.businesstraceability.persistence.mapped.Employee_mst_MAPPED_;Employee_mst_MAPPED_;class;17;0;2;1;0;0;18;28
business-traceability72917548;arrow.businesstraceability.persistence.repository.Acc_com_bugyo49Repository;Acc_com_bugyo49Repository;class;4;0;3;0;0;0;0;16
business-traceability72917548;arrow.businesstraceability.util.excel.TemplateFactory;TemplateFactory;class;1;1;1;0;0;1;12;40
business-traceability72917548;arrow.businesstraceability.constant.AccConstants;AccConstants;class;3;5;1;0;3;3;10;71
business-traceability72917548;arrow.businesstraceability.persistence.mapped.Customer_info_view_MAPPED_;Customer_info_view_MAPPED_;class;9;0;2;1;0;0;18;25
business-traceability72917548;arrow.businesstraceability.restfull.mixin.SanComMDomainMixin;SanComMDomainMixin;interface;1;5;1;0;10;5;0;14
business-traceability72917548;arrow.businesstraceability.persistence.entity.Company_mst;Company_mst;class;10;25;5;0;39;10;3;97
business-traceability72917548;arrow.businesstraceability.persistence.mapped.Business_company_mst_MAPPED_;Business_company_mst_MAPPED_;class;10;0;2;1;0;0;6;14
business-traceability72917548;arrow.businesstraceability.control.bean.SearchPanel;SearchPanel;class;11;39;2;0;277;26;11;300
business-traceability72917548;arrow.businesstraceability.util.CsvUtils;CsvUtils;class;7;10;1;0;1;2;0;67
business-traceability72917548;arrow.businesstraceability.persistence.entity.Customer_info_view_;Customer_info_view_;class;3;0;3;0;0;0;0;15
business-traceability72917548;arrow.businesstraceability.persistence.dto.San_com_live_owner_DTO;San_com_live_owner_DTO;class;2;8;6;0;8;8;4;46
