file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
czelink12141230;com.czelink.dbaccess.loader.ComponentClassLoader;ComponentClassLoader;class;1;49;2;0;1;7;4;231
czelink12141230;com.czelink.common.intg.entities.User;User;class;3;23;1;0;195;23;12;104
czelink12141230;com.czelink.dbaccess.handler.DbAccessInvocationHandler;DbAccessInvocationHandler;class;0;2;1;0;0;2;2;34
czelink12141230;com.czelink.usermgmt.intg.services.UserManagementService;UserManagementService;interface;1;5;1;0;10;5;0;10
czelink12141230;com.czelink.beans.NavigationItemViewModel;NavigationItemViewModel;class;0;4;1;0;2;4;3;19
czelink12141230;com.czelink.infomgmt.beans.TitleMetaData;TitleMetaData;class;0;4;1;0;2;4;3;19
czelink12141230;com.czelink.intg.proxy.ServiceInvokerProxy;ServiceInvokerProxy;class;13;26;1;0;40;12;10;217
czelink12141230;com.czelink.server.base.beans.JsonBaseViewBean;JsonBaseViewBean;class;0;10;1;2;35;10;6;41
czelink12141230;com.czelink.beans.FileUploadViewBean;FileUploadViewBean;class;1;2;2;0;0;2;2;12
czelink12141230;com.czelink.intg.utils.DbAccessUtil;DbAccessUtil;class;1;63;1;0;10;5;1;278
czelink12141230;com.czelink.server.base.support.RequestAwareRunnable;RequestAwareRunnable;class;1;9;1;0;2;5;3;33
czelink12141230;com.czelink.usermgmt.controllers.UsermgmtController;UsermgmtController;class;16;21;1;0;4;8;3;132
czelink12141230;com.czelink.common.intg.constants.CommonConstants;CommonConstants;class;1;1;1;0;0;1;6;17
czelink12141230;com.czelink.usermgmt.beans.RegisterFormBean;RegisterFormBean;class;3;6;1;0;9;6;4;37
czelink12141230;com.czelink.beans.NavigationListViewBean;NavigationListViewBean;class;2;6;2;0;9;6;4;27
czelink12141230;com.czelink.infomgmt.beans.InfoArticleResponse;InfoArticleResponse;class;2;2;2;0;0;2;2;13
czelink12141230;com.czelink.controllers.BaseController;BaseController;class;18;60;3;0;38;20;10;317
czelink12141230;com.czelink.server.base.constants.BaseConstants;BaseConstants;class;0;1;1;0;0;1;3;11
czelink12141230;com.czelink.usermgmt.dbaccess.UserManagementServiceImpl;UserManagementServiceImpl;class;16;38;1;0;38;13;7;322
czelink12141230;com.czelink.server.base.support.ConversationManager;ConversationManager;class;6;41;2;0;44;13;6;185
czelink12141230;com.czelink.server.base.support.ConversationTaskDefinition;ConversationTaskDefinition;class;3;8;1;0;20;8;5;37
czelink12141230;com.czelink.usermgmt.security.handlers.AjaxAuthenticationSuccessHandler;AjaxAuthenticationSuccessHandler;class;7;2;1;0;0;1;1;39
czelink12141230;com.czelink.usermgmt.constants.UsermgmtServerConstants;UsermgmtServerConstants;class;0;1;1;0;0;1;7;13
czelink12141230;com.czelink.server.base.support.Conversation;Conversation;class;1;11;3;0;45;11;6;42
czelink12141230;com.czelink.infomgmt.controllers.InfomgmtController;InfomgmtController;class;15;11;1;0;4;9;4;117
czelink12141230;com.czelink.utils.ComponentAvailabilityHook;ComponentAvailabilityHook;class;2;6;1;0;0;3;2;43
czelink12141230;com.czelink.server.base.converters.DateTimeDisplayConverter;DateTimeDisplayConverter;class;3;3;1;0;0;3;2;25
czelink12141230;com.czelink.infomgmt.beans.InfoContentResponse;InfoContentResponse;class;1;10;2;0;35;10;6;42
czelink12141230;com.czelink.dbaccess.testbed.MongoAppInsert;MongoAppInsert;class;8;2;1;0;0;1;0;61
czelink12141230;com.czelink.intg.messaging.ResponseMessage;ResponseMessage;class;1;7;1;0;7;7;4;33
czelink12141230;com.czelink.intg.exceptions.ServiceInvocationException;ServiceInvocationException;class;0;2;4;0;0;2;2;13
czelink12141230;com.czelink.catalina.session.RedisSessionHandlerValve;RedisSessionHandlerValve;class;7;10;2;0;0;3;2;52
czelink12141230;com.czelink.intg.messaging.RequestMessage;RequestMessage;class;0;8;1;0;20;8;5;33
czelink12141230;com.czelink.usermgmt.security.entrypoints.AjaxAuthenticationEntryPoint;AjaxAuthenticationEntryPoint;class;5;1;1;0;0;1;1;23
czelink12141230;com.czelink.dbaccess.facade.DbAccessServiceRegistry;DbAccessServiceRegistry;class;5;8;1;0;1;6;6;80
czelink12141230;com.czelink.server.base.support.ConversationTask;ConversationTask;class;4;5;2;0;0;2;4;40
czelink12141230;com.czelink.infomgmt.beans.NewInfoArticleRequest;NewInfoArticleRequest;class;1;8;1;0;20;8;5;33
czelink12141230;com.czelink.usermgmt.intg.constants.UsermgmtConstants;UsermgmtConstants;class;1;1;1;0;0;1;5;16
czelink12141230;com.czelink.dbaccess.testbed.MongoAppFind;MongoAppFind;class;7;2;1;0;0;1;0;28
czelink12141230;com.czelink.catalina.session.JavaSerializer;JavaSerializer;class;5;3;1;0;1;3;1;32
czelink12141230;com.czelink.dbaccess.loader.ReloadableComponentClassLoader;ReloadableComponentClassLoader;class;10;45;2;0;35;12;10;248
czelink12141230;com.czelink.infomgmt.intg.entities.InfoArticle;InfoArticle;class;5;17;1;0;92;17;9;82
czelink12141230;com.czelink.server.base.handlers.ExceptionHandleAdvise;ExceptionHandleAdvise;class;7;7;1;0;0;1;2;41
czelink12141230;com.czelink.catalina.session.RedisSessionManager;RedisSessionManager;class;21;101;2;0;605;38;16;470
czelink12141230;com.czelink.infomgmt.intg.services.InformationManagementService;InformationManagementService;interface;1;3;1;0;3;3;0;8
czelink12141230;com.czelink.uploadrepo.intg.UploadRepository;UploadRepository;interface;1;5;1;0;10;5;0;12
czelink12141230;com.czelink.usermgmt.security.handlers.AjaxAuthenticationFailureHandler;AjaxAuthenticationFailureHandler;class;5;1;1;0;0;1;1;23
czelink12141230;com.czelink.infomgmt.dbaccess.InformationManagementServiceImpl;InformationManagementServiceImpl;class;3;4;1;0;0;4;2;30
czelink12141230;com.czelink.catalina.session.RedisSession;RedisSession;class;2;7;2;0;1;7;2;40
czelink12141230;com.czelink.catalina.session.Serializer;Serializer;interface;2;3;1;0;3;3;0;8
czelink12141230;com.czelink.dbaccess.activator.RemoteServiceActivator;RemoteServiceActivator;class;6;32;1;0;0;3;3;140
czelink12141230;com.czelink.intg.activators.ServiceActivator;ServiceActivator;interface;2;1;1;0;0;1;0;6
czelink12141230;com.czelink.uploadrepo.intg.impl.UploadRepositoryImpl;UploadRepositoryImpl;class;8;35;1;0;39;10;5;142
