file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
dddails1310724;com.sandwich.ui.components.factory.compfactories.DTOPanelFactory;DTOPanelFactory;class;4;1;1;0;0;1;0;11
dddails1310724;com.sandwich.shared.serialiazable.util.map.E;E;class;3;13;3;0;2;9;3;58
dddails1310724;UIScaffoldFunctionalTest;UIScaffoldFunctionalTest;class;0;0;1;0;0;0;0;2
dddails1310724;com.sandwich.server.view.subpkg.ViewFromSubPkg;ViewFromSubPkg;class;0;0;1;0;0;0;0;3
dddails1310724;com.sandwich.ui.components.factory.KeyFactory;KeyFactory;class;1;4;1;0;6;4;2;17
dddails1310724;com.sandwich.server.DAOFactory;DAOFactory;class;4;5;1;0;4;4;1;23
dddails1310724;com.sandwich.shared.oneholder.OneHolderTO;OneHolderTO;class;5;6;3;0;3;3;1;21
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.equals.LooseTwoObjectEqualsTest;LooseTwoObjectEqualsTest;class;4;29;1;0;348;29;2;137
dddails1310724;com.sandwich.client.view.View;View;class;0;0;1;0;0;0;0;3
dddails1310724;com.sandwich.test.transferobject.TransferObjectTests;TransferObjectTests;class;2;0;1;0;0;0;0;10
dddails1310724;com.sandwich.shared.validation.ErrorCode;ErrorCode;class;0;3;1;1;1;3;1;13
dddails1310724;com.sandwich.server.DefaultApplicationSettings;DefaultApplicationSettings;class;7;38;1;0;77;14;7;107
dddails1310724;com.sandwich.ui.components.factory.compfactories.IntegerComponentFactory;IntegerComponentFactory;class;8;7;1;0;0;1;0;28
dddails1310724;com.sandwich.shared.serialiazable.util.HasKey;HasKey;interface;0;1;1;0;0;1;0;5
dddails1310724;com.sandwich.server.Entity;Entity;interface;0;1;1;0;0;1;1;6
dddails1310724;com.sandwich.shared.serialiazable.util.Equals;Equals;class;5;15;1;0;41;10;3;48
dddails1310724;com.sandwich.testclasses.NestedMutableBusObjPOJO;NestedMutableBusObjPOJO;class;2;1;2;0;0;1;0;6
dddails1310724;com.sandwich.server.SerializableManagerTest;SerializableManagerTest;class;27;51;3;0;946;35;1;454
dddails1310724;com.sandwich.shared.ApplicationSettings;ApplicationSettings;interface;2;7;1;0;21;7;0;16
dddails1310724;com.sandwich.ui.components.factory.compfactories.StringComponentFactory;StringComponentFactory;class;9;7;1;0;0;1;0;25
dddails1310724;com.sandwich.ui.resource.SandwichImage;SandwichImage;class;1;2;2;0;1;2;2;10
dddails1310724;com.sandwich.shared.serialiazable.exception.ReadOnlyModificationException;ReadOnlyModificationException;class;0;1;4;0;0;1;1;7
dddails1310724;com.sandwich.server.oneholder.dao.OneHolderDAOImpl;OneHolderDAOImpl;class;2;2;1;0;1;2;0;12
dddails1310724;com.sandwich.test.TestFrame;TestFrame;class;0;14;6;0;20;5;8;92
dddails1310724;com.sandwich.testclasses.SomeRandomBusObjTransientField;SomeRandomBusObjTransientField;class;1;2;1;0;1;2;3;14
dddails1310724;com.sandwich.client.view.subpkg.ViewFromSubPkg;ViewFromSubPkg;class;0;0;1;0;0;0;0;3
dddails1310724;com.sandwich.testclasses.SomeRandomBusObjChild;SomeRandomBusObjChild;class;1;3;2;0;1;3;1;13
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.ReadOnly;ReadOnly;class;4;9;2;0;0;5;3;37
dddails1310724;com.sandwich.testclasses.SerializablePOJO;SerializablePOJO;interface;1;0;1;0;0;0;0;4
dddails1310724;com.sandwich.server.ApplicationTest;ApplicationTest;class;11;26;2;0;136;14;0;186
dddails1310724;com.sandwich.server.Utils;Utils;class;5;20;1;0;15;7;2;106
dddails1310724;com.sandwich.server.Bootstrap;Bootstrap;class;3;21;1;0;24;8;3;110
dddails1310724;com.sandwich.testclasses.NestedBusObj;NestedBusObj;interface;1;1;1;0;0;1;0;4
dddails1310724;com.sandwich.testclasses.SomeRandomBusObjImpl;SomeRandomBusObjImpl;class;2;5;1;1;4;5;4;42
dddails1310724;com.sandwich.test.scaffolding.ScaffoldingTests;ScaffoldingTests;class;2;0;1;0;0;0;0;16
dddails1310724;com.sandwich.shared.validation.ValidatableTO;ValidatableTO;class;5;17;3;1;0;11;3;65
dddails1310724;com.sandwich.test.TestUtils;TestUtils;class;5;57;1;0;210;20;3;281
dddails1310724;com.sandwich.shared.serialiazable.util.HasValue;HasValue;interface;2;1;1;0;0;1;0;4
dddails1310724;com.sandwich.ui.components.factory.CFactoryXMLParser;CFactoryXMLParser;class;1;1;1;0;0;1;1;12
dddails1310724;com.sandwich.server.EntityImpl;EntityImpl;class;4;1;2;1;0;1;0;29
dddails1310724;com.sandwich.shared.serialiazable.util.HasMutableValue;HasMutableValue;interface;2;1;1;0;0;1;0;4
dddails1310724;com.sandwich.shared.validation.Validatable;Validatable;interface;3;1;1;0;0;1;1;9
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.equals.NullOrEmpty;NullOrEmpty;class;3;29;1;0;0;1;1;68
dddails1310724;com.sandwich.ui.components.SandwichComponent;SandwichComponent;interface;1;3;1;0;3;3;0;15
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.tostring.ToString;ToString;interface;0;1;1;0;0;1;0;4
dddails1310724;com.sandwich.shared.serialiazable.transferobject.DTO;DTO;interface;2;6;1;0;15;6;1;13
dddails1310724;com.sandwich.shared.serialiazable.transferobject.TOImpl;TOImpl;class;13;50;1;0;0;14;2;163
dddails1310724;com.sandwich.shared.DoTimes;DoTimes;class;0;5;1;0;0;2;2;17
dddails1310724;com.sandwich.server.ApplicationBootstrappingTestCase;ApplicationBootstrappingTestCase;class;4;4;1;3;4;3;1;30
dddails1310724;com.sandwich.shared.serialiazable.util.Null;Null;class;1;7;1;0;0;5;3;28
dddails1310724;com.sandwich.server.oneholder.dao.OneHolderDAO;OneHolderDAO;interface;2;0;1;0;0;0;0;5
dddails1310724;com.sandwich.ui.components.factory.compfactories.ComponentFactory;ComponentFactory;interface;1;1;1;0;0;1;0;7
dddails1310724;com.sandwich.ui.components.MutableComponent;MutableComponent;interface;3;0;1;0;0;0;0;5
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.equals.TwoObjectEquals;TwoObjectEquals;interface;0;1;1;0;0;1;0;5
dddails1310724;com.sandwich.server.HasDynamicDTOInterface;HasDynamicDTOInterface;interface;1;2;1;0;1;2;0;6
dddails1310724;com.sandwich.shared.oneholder.MutableOneHolder;MutableOneHolder;interface;1;1;1;0;0;1;0;4
dddails1310724;com.sandwich.shared.validation.ValidatableImpl;ValidatableImpl;class;5;6;1;1;3;3;0;65
dddails1310724;com.sandwich.shared.DTOManager;DTOManager;class;2;5;1;0;0;3;1;29
dddails1310724;com.sandwich.server.SerializableManager;SerializableManager;class;13;65;2;0;171;19;1;282
dddails1310724;com.sandwich.ui.components.SandwichLabel;SandwichLabel;class;2;9;5;0;13;7;3;32
dddails1310724;com.sandwich.testclasses.SomeRandomMutableBusObjChild;SomeRandomMutableBusObjChild;class;2;4;3;0;0;4;1;18
dddails1310724;com.sandwich.shared.validation.Validation;Validation;interface;2;1;1;0;0;1;1;6
dddails1310724;com.sandwich.test.PerformanceTests;PerformanceTests;class;16;32;2;0;198;8;2;217
dddails1310724;com.sandwich.test.AllTests;AllTests;class;9;0;1;0;0;0;0;19
dddails1310724;com.sandwich.shared.serialiazable.util.map.EMap;EMap;class;0;9;4;0;3;3;1;33
dddails1310724;com.sandwich.testclasses.RandomBusObj;RandomBusObj;interface;0;3;1;0;3;3;0;7
dddails1310724;com.sandwich.server.Application;Application;class;6;18;1;0;13;7;6;74
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.SandwichObject;SandwichObject;interface;3;0;1;0;0;0;0;6
dddails1310724;com.sandwich.shared.validation.ValidationException;ValidationException;class;2;2;3;0;0;2;2;13
dddails1310724;com.sandwich.test.equals.EqualsTests;EqualsTests;class;2;0;1;0;0;0;0;18
dddails1310724;com.sandwich.shared.serialiazable.util.MethodConstants;MethodConstants;interface;0;0;1;0;0;0;2;6
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.tostring.DefaultToString;DefaultToString;class;1;1;1;0;0;1;0;7
dddails1310724;com.sandwich.shared.serialiazable.util.Predicate;Predicate;interface;1;1;1;0;0;1;0;5
dddails1310724;com.sandwich.server.oneholder.OneHolderValidation;OneHolderValidation;class;4;3;2;0;0;1;0;18
dddails1310724;com.sandwich.server.controller.subpkg.ControllerFromSubPkg;ControllerFromSubPkg;class;0;0;1;0;0;0;0;3
dddails1310724;com.sandwich.ui.components.SandwichTextBox;SandwichTextBox;class;2;9;6;0;13;7;3;32
dddails1310724;com.sandwich.server.DAO;DAO;interface;1;2;1;0;1;2;1;6
dddails1310724;com.sandwich.server.BootstrapTest;BootstrapTest;class;12;17;1;0;120;10;0;107
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.SandwichWrapper;SandwichWrapper;class;4;11;1;0;4;8;3;39
dddails1310724;com.sandwich.test.DoTimesTest;DoTimesTest;class;3;7;1;0;21;5;0;31
dddails1310724;com.sandwich.shared.serialiazable.sandwichobject.hashcode.DefaultHashCode;DefaultHashCode;class;0;2;1;0;0;1;0;6
dddails1310724;com.sandwich.ui.components.LabeledComponent;LabeledComponent;class;3;9;5;0;0;9;4;50
dddails1310724;com.sandwich.shared.StrippedName;StrippedName;class;0;13;1;0;2;5;3;47
dddails1310724;com.sandwich.testclasses.LiteVO;LiteVO;class;0;4;1;0;2;4;3;20
dddails1310724;com.sandwich.shared.DTOManagerTest;DTOManagerTest;class;7;8;2;0;15;6;0;75
dddails1310724;com.sandwich.shared.oneholder.OneHolderValidation;OneHolderValidation;class;4;5;1;0;0;1;0;24
dddails1310724;com.sandwich.test.TestObjectSerialization;TestObjectSerialization;class;3;7;1;0;4;3;5;85
dddails1310724;com.sandwich.server.domain.subpkg.ReadWriteServerDynImpl;ReadWriteServerDynImpl;class;4;2;2;0;1;2;0;13
dddails1310724;com.sandwich.server.controller.Controller;Controller;class;0;0;1;0;0;0;0;3
dddails1310724;com.sandwich.shared.serialiazable.util.MethodSuitabilityTest;MethodSuitabilityTest;class;2;2;1;0;1;2;0;19
dddails1310724;com.sandwich.shared.oneholder.OneHolder;OneHolder;interface;1;2;1;0;1;2;1;7
dddails1310724;com.sandwich.testclasses.RandomMutableBusObjChild;RandomMutableBusObjChild;interface;1;2;1;0;1;2;0;5
dddails1310724;com.sandwich.server.BusObj;BusObj;interface;0;0;1;0;0;0;1;4
dddails1310724;com.sandwich.ui.components.factory.compfactories.EntryComponentFactory;EntryComponentFactory;class;3;1;1;0;0;1;0;13
