file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.TotalInlandFreightBookingVansService;TotalInlandFreightBookingVansService;interface;2;4;1;0;6;4;0;13
freightbit-logistics20431094;com.sr.apps.freightbit.operations.formbean.ShipmentLogsBean;ShipmentLogsBean;class;0;12;1;0;54;12;6;49
freightbit-logistics20431094;com.sr.biz.freightbit.operations.dao.ContainerDao;ContainerDao;interface;2;24;1;0;276;24;0;38
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.impl.TotalOnTimeFCLBookingsServiceImpl;TotalOnTimeFCLBookingsServiceImpl;class;7;4;2;0;3;3;0;50
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.TotalLCLBookingsService;TotalLCLBookingsService;interface;2;4;1;0;6;4;0;13
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.impl.TotalCancelledLCLBookingsServiceImpl;TotalCancelledLCLBookingsServiceImpl;class;7;4;2;0;3;3;0;52
freightbit-logistics20431094;com.sr.biz.freightbit.operations.service.impl.ConsolidationServiceImpl;ConsolidationServiceImpl;class;5;8;1;0;0;4;1;37
freightbit-logistics20431094;com.sr.apps.freightbit.core.formbean.UserBean;UserBean;class;0;40;1;0;666;40;19;159
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.impl.TotalInlandFreightBookingServiceImpl;TotalInlandFreightBookingServiceImpl;class;7;4;2;0;3;3;0;52
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.TotalFCLVansConsigneePortService;TotalFCLVansConsigneePortService;interface;2;4;1;0;6;4;0;13
freightbit-logistics20431094;com.sr.biz.freightbit.core.service.impl.GroupServiceImpl;GroupServiceImpl;class;8;23;1;0;71;18;3;139
freightbit-logistics20431094;com.sr.apps.freightbit.util.DocumentsConstants;DocumentsConstants;class;0;0;1;0;0;0;22;27
freightbit-logistics20431094;com.sr.biz.freightbit.documentation.service.impl.HouseWayBillDestinationReportServiceImpl;HouseWayBillDestinationReportServiceImpl;class;7;4;2;0;3;3;0;40
freightbit-logistics20431094;com.sr.biz.freightbit.order.dao.OrderItemsDao;OrderItemsDao;interface;1;8;1;0;28;8;0;13
freightbit-logistics20431094;com.sr.biz.freightbit.documentation.service.impl.EquipmentInterchangeReceipt2ReportServiceImpl;EquipmentInterchangeReceipt2ReportServiceImpl;class;7;4;2;0;3;3;0;42
freightbit-logistics20431094;com.sr.apps.freightbit.core.action.ReportAction;ReportAction;class;38;195;2;0;2811;78;50;956
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.TotalCancelledTKGBookingsConsigneeService;TotalCancelledTKGBookingsConsigneeService;interface;2;4;1;0;6;4;0;13
freightbit-logistics20431094;com.sr.biz.freightbit.core.service.CustomerServiceTest;CustomerServiceTest;class;12;6;1;0;3;6;2;87
freightbit-logistics20431094;com.sr.biz.freightbit.vendor.dao.TrucksDao;TrucksDao;interface;1;11;1;0;55;11;0;20
freightbit-logistics20431094;com.sr.apps.freightbit.core.action.LoginAction;LoginAction;class;19;137;2;0;5401;106;50;526
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.TotalBookingsService;TotalBookingsService;interface;2;4;1;0;6;4;0;13
freightbit-logistics20431094;com.sr.biz.freightbit.vendor.entity.Trailers;Trailers;class;10;34;1;0;465;34;16;168
freightbit-logistics20431094;com.sr.biz.freightbit.core.service.ConsolidateServiceTest;ConsolidateServiceTest;class;10;3;1;0;3;3;2;38
freightbit-logistics20431094;com.sr.biz.freightbit.documentation.service.impl.HouseBillofLadingReportServiceImpl;HouseBillofLadingReportServiceImpl;class;7;4;2;0;3;3;0;40
freightbit-logistics20431094;com.sr.biz.freightbit.core.service.GroupService;GroupService;interface;3;15;1;0;105;15;0;23
freightbit-logistics20431094;com.sr.biz.freightbit.operations.entity.Container;Container;class;9;66;1;0;1953;66;32;304
freightbit-logistics20431094;com.sr.biz.freightbit.order.dao.impl.OrderDaoImpl;OrderDaoImpl;class;10;52;2;0;0;24;1;352
freightbit-logistics20431094;com.sr.apps.freightbit.operations.action.OperationsAction;OperationsAction;class;41;1170;2;0;41426;320;107;5016
freightbit-logistics20431094;com.sr.biz.freightbit.core.service.OrderStatusLogsTest;OrderStatusLogsTest;class;10;3;1;0;3;3;2;47
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.impl.TotalBookingsShipperServiceImpl;TotalBookingsShipperServiceImpl;class;7;4;2;0;3;3;0;52
freightbit-logistics20431094;com.sr.biz.freightbit.operations.service.impl.ContainerServiceImpl;ContainerServiceImpl;class;4;7;1;0;0;7;1;50
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.impl.TotalFCLVansConsigneeServiceImpl;TotalFCLVansConsigneeServiceImpl;class;7;4;2;0;3;3;0;52
freightbit-logistics20431094;com.sr.biz.freightbit.reports.service.TotalItemsAndCBMPerLCLBookingsService;TotalItemsAndCBMPerLCLBookingsService;interface;2;4;1;0;6;4;0;10
freightbit-logistics20431094;com.sr.biz.freightbit.core.entity.GroupUser;GroupUser;class;5;10;1;0;21;10;4;52
freightbit-logistics20431094;com.sr.apps.freightbit.core.formbean.PermissionBean;PermissionBean;class;0;16;1;0;104;16;8;115
freightbit-logistics20431094;com.sr.biz.freightbit.vendor.entity.Vessel;Vessel;class;9;26;1;0;253;26;12;127
freightbit-logistics20431094;com.sr.biz.freightbit.core.exceptions.ParameterInUseException;ParameterInUseException;class;1;4;5;0;6;4;0;15
freightbit-logistics20431094;com.sr.apps.freightbit.documentation.formbean.DocumentsBean;DocumentsBean;class;0;83;1;0;3321;83;41;293
freightbit-logistics20431094;com.sr.biz.freightbit.customer.entity.Items;Items;class;6;36;1;0;532;36;17;109
freightbit-logistics20431094;com.sr.biz.freightbit.customer.service.impl.CustomerServiceImpl;CustomerServiceImpl;class;16;80;1;0;1178;64;6;380
freightbit-logistics20431094;com.sr.biz.freightbit.customer.service.impl.RateServiceImpl;RateServiceImpl;class;4;6;1;0;0;6;1;40
freightbit-logistics20431094;com.sr.apps.freightbit.common.formbean.ContactBean;ContactBean;class;0;44;1;0;820;44;21;177
freightbit-logistics20431094;com.sr.biz.freightbit.operations.service.ContainerService;ContainerService;interface;1;6;1;0;15;6;0;14
freightbit-logistics20431094;com.sr.apps.freightbit.vendor.formbean.TruckBean;TruckBean;class;0;48;1;0;990;48;23;192
freightbit-logistics20431094;com.sr.biz.freightbit.documentation.dao.impl.DocumentsDaoImpl;DocumentsDaoImpl;class;9;72;2;0;0;31;1;501
freightbit-logistics20431094;com.sr.biz.freightbit.vendor.entity.Vendor;Vendor;class;9;26;1;0;257;26;12;128
freightbit-logistics20431094;com.sr.apps.freightbit.customer.formbean.ConsigneeBean;ConsigneeBean;class;0;48;1;0;990;48;23;192
freightbit-logistics20431094;com.sr.biz.freightbit.vendor.dao.VendorDao;VendorDao;interface;1;13;1;0;78;13;0;19
freightbit-logistics20431094;com.sr.biz.freightbit.vendor.entity.Driver;Driver;class;9;34;1;0;465;34;16;168
