file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
hybridbpm40270189;com.hybridbpm.ui.component.comment.CommentFormLayout;CommentFormLayout;class;15;10;2;0;1;3;6;94
hybridbpm40270189;com.hybridbpm.ui.component.bpm.TaskCommentsLayout;TaskCommentsLayout;class;4;5;2;0;0;2;3;55
hybridbpm40270189;com.hybridbpm.core.api.DashboardAPI;DashboardAPI;class;15;79;2;0;289;27;2;440
hybridbpm40270189;com.hybridbpm.ui.component.chart.ColumnChartBuilder;ColumnChartBuilder;class;10;10;7;0;28;8;0;62
hybridbpm40270189;com.hybridbpm.core.serializer.TabLayoutTypeSerializer;TabLayoutTypeSerializer;class;3;2;1;0;1;2;0;35
hybridbpm40270189;com.hybridbpm.core.data.access.UserGroup;UserGroup;class;4;6;1;0;11;6;4;51
hybridbpm40270189;com.hybridbpm.ui.component.dashboard.panel.DashboardPanel;DashboardPanel;class;27;38;3;0;40;11;11;204
hybridbpm40270189;com.hybridbpm.core.api.AccessAPI;AccessAPI;class;14;44;2;0;351;27;1;257
hybridbpm40270189;com.hybridbpm.rest.HybridbpmRestApplication;HybridbpmRestApplication;class;4;1;2;0;0;1;0;37
hybridbpm40270189;com.hybridbpm.ui.component.ParametersFieldGroup;ParametersFieldGroup;class;8;13;2;0;3;6;2;80
hybridbpm40270189;com.hybridbpm.ui.component.document.DocumentAccessLayout;DocumentAccessLayout;class;17;23;2;0;25;8;3;119
hybridbpm40270189;com.hybridbpm.ui.component.ValoMenuItemButton;ValoMenuItemButton;class;4;6;2;0;0;3;2;52
hybridbpm40270189;com.hybridbpm.rest.AccessFilter;AccessFilter;class;10;9;1;0;3;3;2;87
hybridbpm40270189;com.hybridbpm.ui.component.dashboard.tab.TabConfigurationLayout;TabConfigurationLayout;class;16;16;2;0;0;4;8;124
hybridbpm40270189;com.hybridbpm.model.MobileFormComponent;MobileFormComponent;class;3;13;2;0;45;11;5;67
hybridbpm40270189;com.hybridbpm.core.api.BpmAPI;BpmAPI;class;20;53;2;0;406;29;1;280
hybridbpm40270189;com.hybridbpm.core.serializer.TaskModelGateTypeSerializer;TaskModelGateTypeSerializer;class;3;2;1;0;1;2;0;35
hybridbpm40270189;com.hybridbpm.rest.HybridbpmRestUtil;HybridbpmRestUtil;class;2;8;1;0;0;2;1;62
hybridbpm40270189;com.hybridbpm.ui.component.comment.CommentLayout;CommentLayout;class;4;2;2;0;1;2;1;46
hybridbpm40270189;com.hybridbpm.model.ProcessModel;ProcessModel;class;10;74;2;0;794;41;9;245
hybridbpm40270189;com.hybridbpm.core.api.CommentAPI;CommentAPI;class;11;22;2;0;45;10;1;129
hybridbpm40270189;com.hybridbpm.core.serializer.FieldEditorTypeSerializer;FieldEditorTypeSerializer;class;3;2;1;0;1;2;0;35
hybridbpm40270189;com.hybridbpm.ui.util.Translate;Translate;class;0;4;1;0;1;2;0;39
hybridbpm40270189;com.hybridbpm.ui.util.DashBoardMessageListener;DashBoardMessageListener;class;7;16;1;0;0;2;2;80
hybridbpm40270189;com.hybridbpm.ui.component.document.DocumentColumnGenerator;DocumentColumnGenerator;class;13;7;3;0;2;5;3;84
hybridbpm40270189;com.hybridbpm.ui.component.bpm.DateColumnGenerator;DateColumnGenerator;class;2;5;1;0;0;1;0;40
hybridbpm40270189;com.hybridbpm.core.event.DashboardNotificationEvent;DashboardNotificationEvent;class;3;11;1;0;3;11;6;79
hybridbpm40270189;com.hybridbpm.core.data.chart.SortBy;SortBy;enum;0;4;1;0;2;4;2;40
hybridbpm40270189;com.hybridbpm.core.HazelcastServer;HazelcastServer;class;10;19;1;0;15;10;3;103
