file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ibas-framework49205107;org.colorcoding.ibas.bobas.core.Daemon;Daemon;class;6;50;1;0;58;10;4;192
ibas-framework49205107;org.colorcoding.ibas.bobas.core.SaveActionsSupport;SaveActionsSupport;class;4;36;1;0;0;5;3;81
ibas-framework49205107;org.colorcoding.ibas.bobas.data.FileData;FileData;class;0;7;1;0;7;7;3;50
ibas-framework49205107;org.colorcoding.ibas.bobas.common.IConditions;IConditions;interface;2;3;1;0;3;3;0;30
ibas-framework49205107;org.colorcoding.ibas.demo.jersey.repository.cxf.ServiceBasic;ServiceBasic;class;0;1;1;0;0;1;0;10
ibas-framework49205107;org.colorcoding.ibas.bobas.db.mysql.DbAdapter;DbAdapter;class;4;3;2;0;1;2;0;28
ibas-framework49205107;org.colorcoding.ibas.bobas.expressions.JudgmentExpressionEnum;JudgmentExpressionEnum;class;1;17;2;0;2;5;2;54
ibas-framework49205107;org.colorcoding.ibas.bobas.common.ISorts;ISorts;interface;2;2;1;0;1;2;0;24
ibas-framework49205107;org.colorcoding.ibas.bobas.data.measurement.Length;Length;class;5;12;4;0;22;8;3;60
ibas-framework49205107;org.colorcoding.ibas.bobas.common.SqlStoredProcedure;SqlStoredProcedure;class;2;6;1;0;0;4;2;27
ibas-framework49205107;org.colorcoding.ibas.bobas.db.IDbConnectionPool;IDbConnectionPool;interface;1;6;1;0;15;6;0;49
ibas-framework49205107;org.colorcoding.ibas.bobas.messages.IMessageRecorder4File;IMessageRecorder4File;interface;1;4;1;0;6;4;0;36
ibas-framework49205107;org.colorcoding.ibas.bobas.test.common.testCriteria;testCriteria;class;7;4;2;0;6;4;0;192
ibas-framework49205107;org.colorcoding.ibas.bobas.core.BusinessObjectListBase;BusinessObjectListBase;class;4;19;5;0;16;9;4;100
ibas-framework49205107;org.colorcoding.ibas.bobas.common.IOperationResult;IOperationResult;interface;6;3;1;0;3;3;0;27
ibas-framework49205107;org.colorcoding.ibas.bobas.core.BusinessObjectBase;BusinessObjectBase;class;16;103;3;1;48;16;2;381
ibas-framework49205107;org.colorcoding.ibas.bobas.bo.ICustomPrimaryKeys;ICustomPrimaryKeys;interface;0;0;1;0;0;0;0;9
ibas-framework49205107;org.colorcoding.ibas.bobas.expressions.JudgmentLinks;JudgmentLinks;class;9;47;1;0;23;7;2;199
ibas-framework49205107;org.colorcoding.ibas.bobas.expressions.JudmentOperationException;JudmentOperationException;class;0;4;3;1;6;4;1;18
ibas-framework49205107;org.colorcoding.ibas.bobas.test.logics.IMaterialsInventoryQuantityContract;IMaterialsInventoryQuantityContract;interface;2;2;1;0;1;2;0;23
ibas-framework49205107;org.colorcoding.ibas.bobas.approval.IApprovalProcessManager;IApprovalProcessManager;interface;2;1;1;0;0;1;0;16
ibas-framework49205107;org.colorcoding.ibas.bobas.db.DbConnection;DbConnection;class;4;68;1;0;87;19;5;220
ibas-framework49205107;org.colorcoding.ibas.bobas.core.InvalidDaemonTask;InvalidDaemonTask;class;0;5;3;0;10;5;1;28
ibas-framework49205107;org.colorcoding.ibas.bobas.expressions.JudgmentExpressionInteger;JudgmentExpressionInteger;class;2;18;3;0;33;10;2;52
ibas-framework49205107;org.colorcoding.ibas.bobas.i18n.ILanguageItemManager;ILanguageItemManager;interface;0;4;1;0;6;4;0;35
ibas-framework49205107;org.colorcoding.ibas.bobas.db.mysql.test.testDbAdapter;testDbAdapter;class;6;4;2;0;1;2;0;35
ibas-framework49205107;org.colorcoding.ibas.bobas.data.measurement.emTimeUnit;emTimeUnit;enum;3;18;1;0;19;7;2;101
ibas-framework49205107;org.colorcoding.ibas.bobas.rules.BusinessRule;BusinessRule;class;9;23;1;7;13;6;2;89
ibas-framework49205107;org.colorcoding.ibas.bobas.bo.BusinessObjects;BusinessObjects;class;24;294;6;2;138;21;6;670
ibas-framework49205107;org.colorcoding.ibas.bobas.configuration.Configuration;Configuration;class;4;56;1;1;53;11;3;225
ibas-framework49205107;org.colorcoding.ibas.bobas.repository.IBORepository4File;IBORepository4File;interface;2;0;1;0;0;0;0;10
ibas-framework49205107;org.colorcoding.ibas.bobas.ownership.OwnershipException;OwnershipException;class;0;4;3;1;6;4;1;24
ibas-framework49205107;org.colorcoding.ibas.bobas.core.IBORepository;IBORepository;interface;4;8;1;0;28;8;0;61
ibas-framework49205107;org.colorcoding.ibas.bobas.data.SingleValue;SingleValue;class;3;14;1;0;85;14;2;59
ibas-framework49205107;org.colorcoding.ibas.bobas.db.IBOAdapter4Db;IBOAdapter4Db;interface;9;15;1;0;105;15;0;164
ibas-framework49205107;org.colorcoding.ibas.bobas.i18n.LanguageItemContent;LanguageItemContent;class;1;6;1;0;3;6;2;38
ibas-framework49205107;org.colorcoding.ibas.bobas.test.logics.MaterialsQuantityJournal;MaterialsQuantityJournal;class;13;42;5;0;477;42;23;527
ibas-framework49205107;org.colorcoding.ibas.bobas.common.Sort;Sort;class;2;8;1;0;0;4;2;41
ibas-framework49205107;org.colorcoding.ibas.bobas.data.DataConvert;DataConvert;class;7;117;1;1;378;28;0;211
ibas-framework49205107;org.colorcoding.ibas.bobas.jersey.FileRepositoryService;FileRepositoryService;class;4;2;2;0;0;1;0;18
ibas-framework49205107;org.colorcoding.ibas.bobas.test.repository.testRepository;testRepository;class;5;2;2;0;0;1;0;19
ibas-framework49205107;org.colorcoding.ibas.bobas.bo.UserFieldInfo;UserFieldInfo;class;1;7;1;0;9;7;2;28
ibas-framework49205107;org.colorcoding.ibas.bobas.repository.BORepository4File;BORepository4File;class;17;65;3;0;91;15;2;247
ibas-framework49205107;org.colorcoding.ibas.bobas.db.mysql.SqlScripts;SqlScripts;class;6;44;2;0;55;11;0;276
ibas-framework49205107;org.colorcoding.ibas.bobas.repository.BOCacheContainer;BOCacheContainer;class;2;14;1;0;27;10;3;54
ibas-framework49205107;org.colorcoding.ibas.bobas.core.SaveActionsEvent;SaveActionsEvent;class;2;9;1;0;18;9;4;74
ibas-framework49205107;org.colorcoding.ibas.bobas.db.BOAdapter4Db;BOAdapter4Db;class;47;374;1;4;504;33;2;1148
ibas-framework49205107;org.colorcoding.ibas.bobas.bo.IFieldMaxValueKey;IFieldMaxValueKey;interface;3;2;1;0;1;2;0;27
ibas-framework49205107;org.colorcoding.ibas.bobas.data.emAuthoriseType;emAuthoriseType;enum;2;2;1;0;1;2;0;34
ibas-framework49205107;org.colorcoding.ibas.bobas.data.measurement.Currency;Currency;class;3;11;4;0;15;7;2;54
ibas-framework49205107;org.colorcoding.ibas.bobas.repository.BORepository4Cache;BORepository4Cache;class;10;30;2;0;49;11;1;132
ibas-framework49205107;org.colorcoding.ibas.bobas.test.logics.MaterialsJournalContractLogic;MaterialsJournalContractLogic;class;10;13;2;0;3;3;0;70
ibas-framework49205107;org.colorcoding.ibas.bobas.approval.ApprovalProcessStep;ApprovalProcessStep;class;4;23;1;1;78;13;0;97
