file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
imixs-marty14838173;org.imixs.marty.ejb.SystemWorkitemService;SystemWorkitemService;class;6;2;2;0;0;2;1;83
imixs-marty14838173;org.imixs.marty.workflow.ChildItemController;ChildItemController;class;7;27;1;0;1;7;4;153
imixs-marty14838173;org.imixs.marty.plugins.TeamPlugin;TeamPlugin;class;7;78;2;0;3;6;5;438
imixs-marty14838173;org.imixs.marty.rest.StressTest;StressTest;class;6;9;1;0;0;6;1;114
imixs-marty14838173;org.imixs.marty.ejb.security.LDAPCache;LDAPCache;class;3;19;4;0;0;7;9;131
imixs-marty14838173;org.imixs.marty.workflow.EditorSection;EditorSection;class;0;5;1;0;0;5;2;71
imixs-marty14838173;org.imixs.marty.plugins.BlobWorkitemHandler;BlobWorkitemHandler;class;4;8;1;0;0;1;2;51
imixs-marty14838173;org.imixs.marty.plugins.MailPlugin;MailPlugin;class;15;46;2;0;4;8;7;306
imixs-marty14838173;org.imixs.marty.util.ViewExpiredExceptionExceptionHandlerFactory;ViewExpiredExceptionExceptionHandlerFactory;class;4;2;2;0;0;2;1;33
imixs-marty14838173;org.imixs.marty.config.SetupController;SetupController;class;12;14;2;0;26;8;11;175
imixs-marty14838173;org.imixs.marty.workflow.WorkflowSchedulerServlet;WorkflowSchedulerServlet;class;6;4;2;0;0;1;3;40
imixs-marty14838173;org.imixs.marty.plugins.LDAPPlugin;LDAPPlugin;class;11;17;2;0;0;3;6;143
imixs-marty14838173;org.imixs.marty.util.ErrorHandler;ErrorHandler;class;7;18;1;0;0;2;1;101
imixs-marty14838173;org.imixs.marty.plugins.ArchivePlugin;ArchivePlugin;class;8;30;2;0;0;4;4;211
imixs-marty14838173;org.imixs.marty.plugins.DMSImportTest;DMSImportTest;class;7;5;1;0;4;5;1;80
imixs-marty14838173;org.imixs.marty.config.InitController;InitController;class;6;13;1;0;2;4;6;127
imixs-marty14838173;org.imixs.marty.workflow.HistoryController;HistoryController;class;9;43;1;0;0;9;4;214
imixs-marty14838173;org.imixs.marty.ejb.SequenceService;SequenceService;class;14;15;1;0;0;5;3;204
imixs-marty14838173;org.imixs.marty.ejb.WorkitemService;WorkitemService;class;10;6;1;0;0;2;3;136
imixs-marty14838173;org.imixs.marty.model.ProcessController;ProcessController;class;14;113;1;0;175;23;9;575
imixs-marty14838173;org.imixs.marty.ejb.security.UserGroup;UserGroup;class;1;4;1;0;0;4;2;39
imixs-marty14838173;org.imixs.marty.util.WorkitemHelper;WorkitemHelper;class;3;24;1;0;1;2;1;116
imixs-marty14838173;org.imixs.marty.workflow.WorkflowSchedulerController;WorkflowSchedulerController;class;9;15;1;0;6;9;5;164
imixs-marty14838173;org.imixs.marty.plugins.TestDeputyPlugin;TestDeputyPlugin;class;2;1;1;0;0;1;1;38
imixs-marty14838173;org.imixs.marty.workflow.WorkflowController;WorkflowController;class;23;94;2;0;131;22;14;595
imixs-marty14838173;org.imixs.marty.plugins.TestTeamPlugin;TestTeamPlugin;class;10;12;1;0;0;7;4;335
imixs-marty14838173;org.imixs.marty.profile.FavoritesViewController;FavoritesViewController;class;4;6;2;0;0;1;2;44
imixs-marty14838173;org.imixs.marty.ejb.security.LDAPGroupInterceptor;LDAPGroupInterceptor;class;6;8;1;0;0;1;3;57
imixs-marty14838173;org.imixs.marty.util.ValidationException;ValidationException;class;1;5;2;0;4;5;2;33
imixs-marty14838173;org.imixs.marty.plugins.CommentPlugin;CommentPlugin;class;4;9;2;0;0;1;2;106
imixs-marty14838173;org.imixs.marty.ejb.SetupService;SetupService;class;16;29;1;0;0;3;4;210
imixs-marty14838173;org.imixs.marty.plugins.SpacePlugin;SpacePlugin;class;7;14;2;0;0;4;2;135
imixs-marty14838173;org.imixs.marty.workflow.WorkitemLinkController;WorkitemLinkController;class;12;68;1;0;74;17;11;361
imixs-marty14838173;org.imixs.marty.model.ReportController;ReportController;class;8;10;2;0;4;4;4;65
imixs-marty14838173;org.imixs.marty.ejb.security.Crypter;Crypter;class;0;6;1;0;0;1;1;34
imixs-marty14838173;org.imixs.marty.plugins.DeputyPlugin;DeputyPlugin;class;9;28;2;0;7;6;5;151
imixs-marty14838173;org.imixs.marty.ejb.security.UserGroupService;UserGroupService;class;15;22;1;0;0;4;4;193
imixs-marty14838173;org.imixs.marty.ejb.ConfigService;ConfigService;class;11;15;4;0;2;9;6;203
imixs-marty14838173;org.imixs.marty.ejb.security.UserGroupPlugin;UserGroupPlugin;class;10;17;2;0;0;3;8;137
imixs-marty14838173;org.imixs.marty.dms.DmsSchedulerService;DmsSchedulerService;class;15;57;1;0;28;12;9;452
imixs-marty14838173;org.imixs.marty.workflow.ChildWorkitemController;ChildWorkitemController;class;14;27;2;0;48;12;8;242
imixs-marty14838173;org.imixs.marty.plugins.TestCommentPlugin;TestCommentPlugin;class;8;8;2;0;0;4;6;139
imixs-marty14838173;org.imixs.marty.plugins.ProfilePlugin;ProfilePlugin;class;10;72;2;0;16;8;9;401
imixs-marty14838173;org.imixs.workflow.engine.AbstractWorkflowEnvironment;AbstractWorkflowEnvironment;class;19;19;1;0;11;7;10;190
imixs-marty14838173;org.imixs.marty.util.Cache;Cache;class;0;2;4;0;0;2;2;41
imixs-marty14838173;org.imixs.marty.ejb.PropertyInterceptor;PropertyInterceptor;class;9;18;1;0;0;2;3;120
imixs-marty14838173;org.imixs.marty.workflow.WorkflowEvent;WorkflowEvent;class;1;3;1;0;0;3;15;30
imixs-marty14838173;org.imixs.marty.ejb.ProfileService;ProfileService;class;13;43;4;0;37;11;9;343
imixs-marty14838173;org.imixs.marty.util.ViewExpiredExceptionExceptionHandler;ViewExpiredExceptionExceptionHandler;class;8;6;2;0;1;3;1;68
imixs-marty14838173;org.imixs.marty.ejb.security.UserId;UserId;class;5;12;1;0;18;8;4;70
imixs-marty14838173;org.imixs.marty.workflow.DmsController;DmsController;class;13;25;1;0;1;6;6;181
imixs-marty14838173;org.imixs.marty.plugins.ApplicationPlugin;ApplicationPlugin;class;3;5;2;0;0;1;2;59
imixs-marty14838173;org.imixs.marty.model.ModelController;ModelController;class;16;46;1;0;0;11;6;308
imixs-marty14838173;org.imixs.marty.profile.UserInputController;UserInputController;class;14;43;1;0;45;14;8;252
imixs-marty14838173;org.imixs.marty.config.ConfigMultiController;ConfigMultiController;class;8;7;2;0;6;4;4;123
imixs-marty14838173;org.imixs.marty.plugins.SequenceNumberPlugin;SequenceNumberPlugin;class;7;12;2;0;0;2;5;145
imixs-marty14838173;org.imixs.marty.ejb.security.LDAPLookupService;LDAPLookupService;class;7;96;1;0;0;9;8;474
imixs-marty14838173;org.imixs.marty.profile.UserController;UserController;class;24;88;1;0;94;17;19;470
imixs-marty14838173;org.imixs.marty.plugins.minutes.MinutePlugin;MinutePlugin;class;9;22;2;0;0;3;2;181
imixs-marty14838173;org.imixs.marty.ejb.ImageInterceptor;ImageInterceptor;class;8;37;1;0;9;6;3;220
imixs-marty14838173;org.imixs.marty.config.ConfigController;ConfigController;class;6;13;1;1;6;8;4;177
imixs-marty14838173;org.imixs.marty.plugins.DMSSplitPlugin;DMSSplitPlugin;class;7;35;2;0;4;5;3;243
imixs-marty14838173;org.imixs.marty.ejb.ProcessService;ProcessService;class;11;17;1;0;0;4;5;185
imixs-marty14838173;org.imixs.marty.plugins.DMSPlugin;DMSPlugin;class;6;66;2;0;10;9;8;388
imixs-marty14838173;org.imixs.marty.plugins.TestRegex;TestRegex;class;1;3;1;0;1;3;2;49
imixs-marty14838173;org.imixs.marty.plugins.AppoverPlugin;AppoverPlugin;class;4;9;2;0;0;1;2;91
imixs-marty14838173;org.imixs.marty.view.SearchController;SearchController;class;13;65;2;0;13;11;4;329
