file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
innovaserv_e3value52945945;e3value.diagram.edit.commands.AndJoinCreateCommand;AndJoinCreateCommand;class;17;11;2;0;10;5;0;88
innovaserv_e3value52945945;e3value.diagram.edit.commands.AndForkCreateCommand;AndForkCreateCommand;class;17;13;2;0;10;5;0;88
innovaserv_e3value52945945;e3value.tests.ValueObjectTest;ValueObjectTest;class;3;6;2;0;13;6;1;77
innovaserv_e3value52945945;e3value.diagram.providers.assistants.E3valueModelingAssistantProviderOfValuePortOutEditPart;E3valueModelingAssistantProviderOfValuePortOutEditPart;class;7;18;3;0;45;10;0;125
innovaserv_e3value52945945;e3value.tests.AndJoinTest;AndJoinTest;class;3;5;5;0;10;5;0;61
innovaserv_e3value52945945;e3value.diagram.providers.assistants.E3valueModelingAssistantProviderOfE3ValueDiagramEditPart;E3valueModelingAssistantProviderOfE3ValueDiagramEditPart;class;3;1;3;0;0;1;0;22
innovaserv_e3value52945945;e3value.diagram.part.E3valueUriEditorInputTester;E3valueUriEditorInputTester;class;2;3;2;0;0;1;0;19
innovaserv_e3value52945945;e3value.diagram.edit.policies.OrJoinOrJoinInputPortsCompartmentDiagramItemSemanticEditPolicy;OrJoinOrJoinInputPortsCompartmentDiagramItemSemanticEditPolicy;class;4;4;3;0;1;2;0;26
innovaserv_e3value52945945;e3value.diagram.edit.commands.OrForkCreateCommand;OrForkCreateCommand;class;17;13;2;0;10;5;0;89
innovaserv_e3value52945945;e3value.diagram.edit.commands.ConnectionElementReorientCommand;ConnectionElementReorientCommand;class;11;32;2;0;26;12;3;146
innovaserv_e3value52945945;e3value.diagram.edit.helpers.CompositeActorEditHelper;CompositeActorEditHelper;class;1;0;3;0;0;0;0;6
innovaserv_e3value52945945;e3value.impl.ActorImpl;ActorImpl;class;4;2;3;2;1;2;0;32
innovaserv_e3value52945945;e3value.diagram.navigator.E3valueNavigatorLinkHelper;E3valueNavigatorLinkHelper;class;28;34;1;0;3;3;0;120
innovaserv_e3value52945945;e3value.diagram.edit.helpers.ValueActivityEditHelper;ValueActivityEditHelper;class;1;0;3;0;0;0;0;6
innovaserv_e3value52945945;e3value.impl.StimulusElementImpl;StimulusElementImpl;class;4;2;2;0;1;2;0;32
innovaserv_e3value52945945;e3value.validation.ResponsabilityElementValidator;ResponsabilityElementValidator;interface;1;2;1;0;1;2;0;16
innovaserv_e3value52945945;e3value.diagram.edit.helpers.AndJoinEditHelper;AndJoinEditHelper;class;1;0;3;0;0;0;0;6
innovaserv_e3value52945945;e3value.diagram.part.E3valueLinkDescriptor;E3valueLinkDescriptor;class;3;2;2;0;1;2;0;23
innovaserv_e3value52945945;e3value.validation.StartStimulusValidator;StartStimulusValidator;interface;0;1;1;0;0;1;0;14
innovaserv_e3value52945945;e3value.diagram.edit.helpers.EndStimulusEditHelper;EndStimulusEditHelper;class;1;0;3;0;0;0;0;6
innovaserv_e3value52945945;e3value.diagram.edit.policies.StartStimulusItemSemanticEditPolicy;StartStimulusItemSemanticEditPolicy;class;15;21;3;0;15;6;0;113
innovaserv_e3value52945945;e3value.diagram.edit.parts.MarketSegmentMarketSegmentComparmentDiagramEditPart;MarketSegmentMarketSegmentComparmentDiagramEditPart;class;19;38;2;0;36;9;1;166
innovaserv_e3value52945945;e3value.diagram.edit.parts.ValueInterfaceEditPart;ValueInterfaceEditPart;class;39;73;3;0;305;25;6;426
innovaserv_e3value52945945;e3value.diagram.edit.parts.ElementaryActorElementaryActorCompartmentDiagramEditPart;ElementaryActorElementaryActorCompartmentDiagramEditPart;class;19;38;2;0;36;9;1;166
innovaserv_e3value52945945;e3value.diagram.edit.policies.ValuePortOutItemSemanticEditPolicy;ValuePortOutItemSemanticEditPolicy;class;15;21;3;0;15;6;0;113
innovaserv_e3value52945945;e3value.diagram.edit.policies.OrForkOrForkInputPortCompartmentDiagramCanonicalEditPolicy;OrForkOrForkInputPortCompartmentDiagramCanonicalEditPolicy;class;18;28;2;0;15;6;0;161
innovaserv_e3value52945945;e3value.diagram.edit.policies.E3ValueDiagramItemSemanticEditPolicy;E3ValueDiagramItemSemanticEditPolicy;class;10;6;4;0;6;4;0;54
