file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.http.AnalyticsApiCallContext;AnalyticsApiCallContext;class;5;10;1;0;31;10;5;76
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.model.BusinessInvoiceItemAdjustmentModelDao;BusinessInvoiceItemAdjustmentModelDao;class;13;4;3;0;6;4;0;66
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.api.user.TestDefaultAnalyticsUserApi;TestDefaultAnalyticsUserApi;class;6;1;3;0;0;1;0;46
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.reports.scheduler.TestJobsScheduler;TestJobsScheduler;class;8;4;2;0;4;4;1;52
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.model.BusinessInvoiceItemCreditModelDao;BusinessInvoiceItemCreditModelDao;class;13;4;3;0;6;4;0;66
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.model.TestBusinessInvoiceModelDao;TestBusinessInvoiceModelDao;class;3;1;2;0;0;1;0;47
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.api.core.AnalyticsConfiguration;AnalyticsConfiguration;class;0;3;1;0;0;2;2;37
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.model.BusinessBundleFieldModelDao;BusinessBundleFieldModelDao;class;8;22;3;0;0;8;2;91
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.model.BusinessSubscriptionEvent;BusinessSubscriptionEvent;class;8;54;1;0;189;22;3;176
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.utils.TestBusinessInvoiceItemUtils;TestBusinessInvoiceItemUtils;class;11;1;2;0;0;1;0;110
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.BusinessAccountTransitionDao;BusinessAccountTransitionDao;class;11;7;2;0;0;3;2;65
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.api.BusinessInvoice;BusinessInvoice;class;6;106;2;0;89;23;19;255
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.api.BusinessSnapshot;BusinessSnapshot;class;9;48;1;0;0;12;8;130
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.model.BusinessModelDaosWithAccountAndTenantRecordId;BusinessModelDaosWithAccountAndTenantRecordId;class;2;23;1;0;0;7;3;73
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.reports.analysis.DateGranularity;DateGranularity;enum;0;0;1;0;0;0;0;21
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.reports.SqlReportDataExtractor;SqlReportDataExtractor;class;15;37;1;0;0;8;11;169
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.BusinessAnalyticsDaoBase;BusinessAnalyticsDaoBase;class;6;2;1;7;0;2;2;39
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.factory.BusinessTagFactory;BusinessTagFactory;class;10;5;1;0;0;1;0;70
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.api.TestBusinessPayment;TestBusinessPayment;class;4;1;2;0;0;1;0;74
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.model.TestBusinessAccountModelDao;TestBusinessAccountModelDao;class;3;4;2;0;6;4;0;110
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.TestCallContext;TestCallContext;class;5;9;1;0;36;9;7;68
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.json.NamedXYTimeSeries;NamedXYTimeSeries;class;4;3;1;0;0;3;2;35
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.api.TestBusinessSnapshot;TestBusinessSnapshot;class;23;1;2;0;0;1;0;187
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.AnalyticsActivator;AnalyticsActivator;class;23;20;2;0;5;5;8;129
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.factory.BusinessPaymentFactory;BusinessPaymentFactory;class;13;10;1;0;0;1;0;87
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.reports.analysis.AverageSmoother;AverageSmoother;class;3;2;2;0;1;2;0;29
killbill-analytics-plugin11096867;org.killbill.billing.plugin.analytics.dao.model.BusinessInvoiceItemBaseModelDao;BusinessInvoiceItemBaseModelDao;class;21;231;2;2;727;47;45;674
