file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
majortom36683238;de.topicmapslab.majortom.index.nonpaged.CachedScopeIndexImpl;CachedScopeIndexImpl;class;18;304;4;1;2278;68;0;1023
majortom36683238;de.topicmapslab.majortom.database.jdbc.hsqldb.HSQLDBSession;HSQLDBSession;class;3;3;3;0;3;3;1;21
majortom36683238;de.topicmapslab.majortom.redis.store.index.paged.PagedRedisTypeInstanceIndex;PagedRedisTypeInstanceIndex;class;3;1;5;0;0;1;0;9
majortom36683238;de.topicmapslab.majortom.core.AssociationImpl;AssociationImpl;class;12;34;4;0;66;12;1;156
majortom36683238;de.topicmapslab.majortom.database.jdbc.postgres.sql99.query.ISql99UpdateQueries;ISql99UpdateQueries;interface;0;0;1;0;0;0;13;138
majortom36683238;de.topicmapslab.majortom.model.core.IOccurrence;IOccurrence;interface;5;1;1;0;0;1;0;15
majortom36683238;de.topicmapslab.majortom.store.MergeUtils;MergeUtils;class;31;266;1;0;190;20;0;1484
majortom36683238;de.topicmapslab.majortom.inmemory.transaction.internal.LazyAssociationStore;LazyAssociationStore;class;2;1;3;0;0;1;0;33
majortom36683238;de.topicmapslab.majortom.executable.EventNotifier;EventNotifier;class;3;5;1;0;0;2;5;54
majortom36683238;de.topicmapslab.majortom.database.jdbc.index.paged.JdbcPagedSupertypeSubtypeIndex;JdbcPagedSupertypeSubtypeIndex;class;7;23;5;0;120;16;0;256
majortom36683238;de.topicmapslab.majortom.tests.core.TestTopicMapSystem;TestTopicMapSystem;class;10;4;2;0;6;4;0;70
majortom36683238;de.topicmapslab.majortom.model.transaction.ITransactionTopicMapStore;ITransactionTopicMapStore;interface;2;4;1;0;6;4;0;56
majortom36683238;de.topicmapslab.majortom.importer.helper.Characteristic;Characteristic;class;1;13;1;2;66;13;6;97
majortom36683238;EPGCallable;EPGCallable;class;5;5;1;0;0;3;2;144
majortom36683238;de.topicmapslab.majortom.tests.transaction.TransactionSuite;TransactionSuite;class;10;1;1;0;0;1;0;37
majortom36683238;de.topicmapslab.majortom.store.TopicMapStoreFactory;TopicMapStoreFactory;class;9;27;1;0;1;7;3;158
majortom36683238;de.topicmapslab.majortom.testsuite.readonly.core.TestAssociationRoleImpl;TestAssociationRoleImpl;class;7;16;2;0;91;14;0;319
majortom36683238;de.topicmapslab.majortom.index.paged.PagedLiteralIndexImpl;PagedLiteralIndexImpl;class;16;503;4;3;4845;99;1;2076
majortom36683238;de.topicmapslab.majortom.database.transaction.index.TransactionScopedIndex;TransactionScopedIndex;class;14;200;2;0;703;38;0;581
majortom36683238;de.topicmapslab.majortom.redis.tests.RedisMaJorToMTest;RedisMaJorToMTest;class;3;1;1;0;0;1;0;33
majortom36683238;de.topicmapslab.majortom.database.jdbc.index.paged.JdbcPagedLiteralIndex;JdbcPagedLiteralIndex;class;13;70;5;0;1081;47;0;633
majortom36683238;de.topicmapslab.majortom.tests.index.TestSupertypeSubtypeIndex;TestSupertypeSubtypeIndex;class;6;23;3;0;55;11;0;422
majortom36683238;de.topicmapslab.majortom.queued.queue.IProcessingListener;IProcessingListener;interface;1;1;1;0;0;1;0;30
majortom36683238;de.topicmapslab.majortom.database.store.JdbcMergeUtils;JdbcMergeUtils;class;28;269;1;0;190;20;0;1698
majortom36683238;de.topicmapslab.majortom.database.jdbc.mysql.query.IMySqlConstraintsQueries;IMySqlConstraintsQueries;interface;0;0;1;0;0;0;7;32
majortom36683238;de.topicmapslab.majortom.database.jdbc.mysql.query.IMySqlIndexQueries;IMySqlIndexQueries;interface;0;0;1;0;0;0;177;326
majortom36683238;de.topicmapslab.majortom.inmemory.transaction.TransactionCommand;TransactionCommand;class;7;22;1;0;6;5;5;179
majortom36683238;de.topicmapslab.majortom.model.core.ILocator;ILocator;interface;1;2;1;0;1;2;0;27
majortom36683238;de.topicmapslab.majortom.importer.file.PSQLTask;PSQLTask;class;0;7;1;0;0;1;9;85
majortom36683238;de.topicmapslab.majortom.cache.CharacteristicsCache;CharacteristicsCache;class;7;59;1;0;4;9;3;227
majortom36683238;de.topicmapslab.majortom.queued.queue.task.RemoveDuplicatesTask;RemoveDuplicatesTask;class;3;2;3;0;1;2;0;37
majortom36683238;de.topicmapslab.majortom.inmemory.virtual.internal.VirtualIdentityStore;VirtualIdentityStore;class;12;169;2;0;278;28;5;625
majortom36683238;de.topicmapslab.majortom.model.store.ITopicMapStoreIdentity;ITopicMapStoreIdentity;interface;0;3;1;0;3;3;0;42
majortom36683238;de.topicmapslab.majortom.inmemory.store.HighQualityRandom;HighQualityRandom;class;0;4;2;0;4;4;5;63
majortom36683238;de.topicmapslab.majortom.tests.index.TestTransitiveTypeInstanceIndex;TestTransitiveTypeInstanceIndex;class;9;43;3;0;190;20;0;1487
majortom36683238;de.topicmapslab.majortom.inmemory.index.InMemoryTypeInstanceIndex;InMemoryTypeInstanceIndex;class;12;98;2;0;351;27;0;371
majortom36683238;de.topicmapslab.majortom.database.store.JdbcTopicMapStoreProperty;JdbcTopicMapStoreProperty;class;0;0;1;0;0;0;7;33
majortom36683238;de.topicmapslab.majortom.database.jdbc.model.ISession;ISession;interface;3;7;1;0;21;7;0;71
majortom36683238;de.topicmapslab.majortom.index.paged.PagedTypeInstanceIndexImpl;PagedTypeInstanceIndexImpl;class;17;556;4;4;6435;114;1;2103
majortom36683238;de.topicmapslab.majortom.tests.core.TestDatattypeAwareImpl;TestDatattypeAwareImpl;class;10;36;3;0;78;13;0;610
majortom36683238;de.topicmapslab.majortom.model.core.IReifiable;IReifiable;interface;2;0;1;0;0;0;0;26
majortom36683238;de.topicmapslab.majortom.redis.store.index.paged.PagedRedisScopedIndex;PagedRedisScopedIndex;class;3;1;5;0;0;1;0;9
majortom36683238;de.topicmapslab.majortom.store.ReadOnlyTopicMapStoreImpl;ReadOnlyTopicMapStoreImpl;class;28;279;2;0;3204;81;2;1296
majortom36683238;de.topicmapslab.majortom.queued.queue.TopicMapStoreQueue;TopicMapStoreQueue;class;3;20;2;0;0;9;4;120
majortom36683238;de.topicmapslab.majortom.database.jdbc.model.IConnectionProvider;IConnectionProvider;interface;2;9;1;0;36;9;4;102
majortom36683238;de.topicmapslab.majortom.database.jdbc.postgres.sql99.Sql99QueryBuilder;Sql99QueryBuilder;class;3;1005;2;0;24331;223;297;3181
majortom36683238;de.topicmapslab.majortom.database.transaction.index.TransactionTransitiveTypeInstanceIndex;TransactionTransitiveTypeInstanceIndex;class;12;119;3;0;210;21;0;376
majortom36683238;de.topicmapslab.majortom.database.readonly.JdbcReadOnlyName;JdbcReadOnlyName;class;15;9;5;0;32;9;3;117
majortom36683238;de.topicmapslab.majortom.model.core.IAssociation;IAssociation;interface;5;1;1;0;0;1;0;19
majortom36683238;de.topicmapslab.majortom.comparator.ScopeComparator;ScopeComparator;class;2;10;1;0;0;3;3;80
majortom36683238;de.topicmapslab.majortom.tests.index.paged.withoutcomp.TestPagedTrasitiveTypeInstanceIndex;TestPagedTrasitiveTypeInstanceIndex;class;16;149;3;0;171;19;0;837
majortom36683238;de.topicmapslab.majortom.index.core.BaseCachedIndexImpl;BaseCachedIndexImpl;class;8;25;2;5;55;11;0;153
majortom36683238;de.topicmapslab.majortom.database.jdbc.postgres.sql99.query.ISql99ConstraintsQueries;ISql99ConstraintsQueries;interface;0;0;1;0;0;0;7;32
majortom36683238;de.topicmapslab.majortom.model.index.paging.IPagedConstructIndex;IPagedConstructIndex;interface;7;30;1;0;435;30;0;368
majortom36683238;de.topicmapslab.majortom.testsuite.readonly.index.TestScopeIndex;TestScopeIndex;class;8;40;2;0;780;40;0;866
majortom36683238;de.topicmapslab.majortom.util.DatatypeAwareUtils;DatatypeAwareUtils;class;8;127;1;0;22;8;3;319
majortom36683238;de.topicmapslab.majortom.store.ModifableTopicMapStoreImpl;ModifableTopicMapStoreImpl;class;39;398;3;4;4371;94;0;1916
majortom36683238;de.topicmapslab.majortom.queued.store.index.ConcurrentTransitiveTypeInstanceIndex;ConcurrentTransitiveTypeInstanceIndex;class;2;1;3;0;0;1;0;31
majortom36683238;de.topicmapslab.majortom.core.OccurrenceImpl;OccurrenceImpl;class;8;11;5;0;10;5;1;77
majortom36683238;de.topicmapslab.majortom.tests.core.TestScopeablImpl;TestScopeablImpl;class;7;1;3;0;0;1;0;75
majortom36683238;de.topicmapslab.geotype.wgs84.TestWgs84;TestWgs84;class;3;2;1;0;1;2;0;65
majortom36683238;de.topicmapslab.majortom.memory.importer.test.PerformanceTest;PerformanceTest;class;6;1;1;0;0;1;0;35
majortom36683238;de.topicmapslab.majortom.model.revision.IRevisionChange;IRevisionChange;interface;5;6;1;0;15;6;0;67
majortom36683238;de.topicmapslab.majortom.database.jdbc.postgres.sql99.query.ISql99IndexQueries;ISql99IndexQueries;interface;0;0;1;0;0;0;175;330
majortom36683238;de.topicmapslab.majortom.tests.revision.TestNameRevivions;TestNameRevivions;class;8;1;3;0;0;1;0;62
majortom36683238;de.topicmapslab.majortom.index.nonpaged.CachedIdentityIndexImpl;CachedIdentityIndexImpl;class;8;85;4;1;171;19;0;296
majortom36683238;de.topicmapslab.majortom.database.jdbc.model.IQueryProcessor;IQueryProcessor;interface;22;253;1;0;31878;253;0;456
majortom36683238;de.topicmapslab.majortom.database.transaction.cache.TopicTypeCache;TopicTypeCache;class;11;292;1;0;526;37;9;1086
majortom36683238;de.topicmapslab.majortom.inmemory.index.InMemorySupertypeSubtypeIndex;InMemorySupertypeSubtypeIndex;class;7;69;2;0;78;13;0;231
majortom36683238;de.topicmapslab.majortom.database.readonly.JdbcReadOnlyAssociationRole;JdbcReadOnlyAssociationRole;class;12;7;4;0;17;7;3;99
majortom36683238;de.topicmapslab.majortom.tests.index.paged.withoutcomp.TestPagedSupertypeSubtypeIndex;TestPagedSupertypeSubtypeIndex;class;5;86;3;0;45;10;0;444
majortom36683238;de.topicmapslab.majortom.database.core.JdbcTopicMapSystem;JdbcTopicMapSystem;class;14;29;2;0;33;10;1;178
majortom36683238;de.topicmapslab.majortom.inmemory.index.paged.InMemoryPagedTransitiveTypeInstanceIndex;InMemoryPagedTransitiveTypeInstanceIndex;class;4;1;6;0;0;1;0;39
