file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamOracle.CFBamOracleUInt32TypeTable;CFBamOracleUInt32TypeTable;class;21;1102;1;0;0;84;39;4328
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamXMsgRqstHandler.CFBamXMsgRqstUInt32DefMoveUpHandler;CFBamXMsgRqstUInt32DefMoveUpHandler;class;7;34;2;0;3;3;0;227
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamXMsgRqstHandler.CFBamXMsgRqstEnumTypeReadByVAccSecIdxHandler;CFBamXMsgRqstEnumTypeReadByVAccSecIdxHandler;class;7;21;2;0;3;3;0;184
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamXMsgClient.CFBamXMsgClientNumberColTable;CFBamXMsgClientNumberColTable;class;25;357;1;0;1758;81;1;1769
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamXMsgRqstHandler.CFBamXMsgRqstTextDefDeleteByScopeIdxHandler;CFBamXMsgRqstTextDefDeleteByScopeIdxHandler;class;5;24;2;0;3;3;0;184
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamXMsgRqstHandler.CFBamXMsgRqstDoubleDefDeleteByDataScopeIdxHandler;CFBamXMsgRqstDoubleDefDeleteByDataScopeIdxHandler;class;5;20;2;0;3;3;0;171
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamMssCF.CFBamMssCFBindHasChainLabel;CFBamMssCFBindHasChainLabel;class;6;11;2;0;3;3;1;98
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamSwing.CFBamSwingNmTokensColViewEditJInternalFrame;CFBamSwingNmTokensColViewEditJInternalFrame;class;11;85;6;0;87;15;8;326
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamXMsgRqstHandler.CFBamXMsgRqstISOTimezoneReadByOffsetIdxHandler;CFBamXMsgRqstISOTimezoneReadByOffsetIdxHandler;class;7;25;2;0;3;3;0;197
net-sourceforge-MSSCodeFactory-CFBam-2-021536147;net.sourceforge.msscodefactory.cfbam.v2_0.CFBamXMsgRqstHandler.CFBamXMsgRqstRelationReadByTableIdxHandler;CFBamXMsgRqstRelationReadByTableIdxHandler;class;7;25;2;0;3;3;0;197
