file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
openbi48240969;org.openbusinessintelligence.core.db.DBFileImporter;DBFileImporter;class;2;9;1;0;34;9;9;67
openbi48240969;org.openbusinessintelligence.core.db.ProcedureExecutor;ProcedureExecutor;class;3;15;1;0;11;7;8;104
openbi48240969;org.openbusinessintelligence.dblibrary.DBLibraryInstaller;DBLibraryInstaller;class;9;24;1;0;22;9;8;128
openbi48240969;org.openbusinessintelligence.core.db.DBConnection;DBConnection;class;2;69;1;0;159;22;16;347
openbi48240969;org.openbusinessintelligence.cli.copy.table.MainTestCopyTableFromInformix;MainTestCopyTableFromInformix;class;1;37;1;0;0;19;2;355
openbi48240969;org.openbusinessintelligence.core.db.DataManipulator;DataManipulator;class;2;207;1;0;60;16;15;678
openbi48240969;org.openbusinessintelligence.etl.sapds.BodiDataFlow;BodiDataFlow;class;2;28;1;0;106;16;35;231
openbi48240969;org.openbusinessintelligence.cli.MainTestGenerateData;MainTestGenerateData;class;1;41;1;0;0;21;1;358
openbi48240969;org.openbusinessintelligence.cli.copy.query.MainTestCopyQueryFromOracle;MainTestCopyQueryFromOracle;class;1;3;1;0;0;2;2;354
openbi48240969;org.openbusinessintelligence.etl.sapds.BodiWorkFlow;BodiWorkFlow;class;2;4;1;0;2;4;10;83
openbi48240969;org.openbusinessintelligence.core.db.DictionaryExtractor;DictionaryExtractor;class;4;78;1;0;121;18;18;343
openbi48240969;org.openbusinessintelligence.core.file.FileExporter;FileExporter;class;2;18;1;0;6;8;6;99
openbi48240969;org.openbusinessintelligence.cli.Main;Main;class;35;114;1;0;18;17;4;754
openbi48240969;org.openbusinessintelligence.meta.sapds.SAPDSTable;SAPDSTable;class;2;24;1;0;31;10;13;113
openbi48240969;org.openbusinessintelligence.cli.copy.table.MainTestCopyTableFromDB2;MainTestCopyTableFromDB2;class;1;37;1;0;0;19;2;355
openbi48240969;org.openbusinessintelligence.etl.sapds.BodiTable;BodiTable;class;2;24;1;0;31;10;13;113
