file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
optaplanner1370858;org.optaplanner.core.api.score.buildin.hardsoft.HardSoftScoreHolderTest;HardSoftScoreHolderTest;class;4;5;2;0;3;3;0;51
optaplanner1370858;org.optaplanner.core.impl.localsearch.decider.forager.finalist.StrategicOscillationByLevelFinalistPodiumTest;StrategicOscillationByLevelFinalistPodiumTest;class;7;5;1;0;10;5;0;193
optaplanner1370858;org.optaplanner.benchmark.impl.statistic.scorecalculationspeed.ScoreCalculationSpeedStatisticPoint;ScoreCalculationSpeedStatisticPoint;class;1;4;2;0;0;4;2;35
optaplanner1370858;org.optaplanner.examples.meetingscheduling.app.MeetingSchedulingApp;MeetingSchedulingApp;class;6;4;3;0;6;4;1;44
optaplanner1370858;org.optaplanner.persistence.jaxb.api.score.buildin.bendablebigdecimal.BendableBigDecimalScoreJaxbXmlAdapterTest;BendableBigDecimalScoreJaxbXmlAdapterTest;class;6;4;3;0;0;4;1;49
optaplanner1370858;org.optaplanner.examples.investment.swingui.InvestmentPanel;InvestmentPanel;class;9;46;6;0;46;10;6;307
optaplanner1370858;org.optaplanner.examples.machinereassignment.domain.MrMachine;MrMachine;class;8;11;2;0;39;11;4;63
optaplanner1370858;org.optaplanner.core.config.phase.PhaseConfig;PhaseConfig;class;16;7;2;0;3;6;1;75
optaplanner1370858;org.optaplanner.core.impl.solver.DefaultSolver;DefaultSolver;class;14;32;2;0;23;22;6;205
optaplanner1370858;org.optaplanner.examples.pas.app.PatientAdmissionScheduleBenchmarkApp;PatientAdmissionScheduleBenchmarkApp;class;3;2;3;0;1;2;0;28
optaplanner1370858;org.optaplanner.examples.nqueens.persistence.NQueensGenerator;NQueensGenerator;class;8;10;2;0;19;7;2;126
optaplanner1370858;org.optaplanner.core.impl.constructionheuristic.placer.entity.PooledEntityPlacerTest;PooledEntityPlacerTest;class;8;1;1;0;0;1;0;79
optaplanner1370858;org.optaplanner.core.impl.heuristic.move.DummyMove;DummyMove;class;5;9;2;0;24;9;1;60
optaplanner1370858;org.optaplanner.examples.examination.swingui.InstitutionParametrizationDialog;InstitutionParametrizationDialog;class;3;6;6;0;1;4;11;135
optaplanner1370858;org.optaplanner.core.impl.heuristic.selector.entity.mimic.MimicReplayingEntitySelectorTest;MimicReplayingEntitySelectorTest;class;8;2;1;0;1;2;0;107
optaplanner1370858;org.optaplanner.core.impl.localsearch.decider.acceptor.stepcountinghillclimbing.StepCountingHillClimbingAcceptorTest;StepCountingHillClimbingAcceptorTest;class;7;5;2;0;10;5;0;327
optaplanner1370858;org.optaplanner.examples.meetingscheduling.domain.Day;Day;class;3;5;2;0;4;5;1;40
optaplanner1370858;org.optaplanner.benchmark.impl.ranking.SubSingleBenchmarkRankBasedComparator;SubSingleBenchmarkRankBasedComparator;class;1;1;1;0;0;1;0;29
optaplanner1370858;org.optaplanner.core.impl.heuristic.selector.move.decorator.ShufflingMoveSelector;ShufflingMoveSelector;class;4;4;4;0;6;4;0;44
optaplanner1370858;org.optaplanner.core.impl.heuristic.selector.move.generic.PillarSwapMoveTest;PillarSwapMoveTest;class;16;4;1;0;6;4;0;234
optaplanner1370858;org.optaplanner.examples.nurserostering.solver.move.factory.ShiftAssignmentSwapMoveFactory;ShiftAssignmentSwapMoveFactory;class;6;6;1;0;0;1;1;50
optaplanner1370858;org.optaplanner.core.api.domain.solution.PlanningSolution$NullSolutionCloner;NullSolutionCloner;interface;2;0;1;0;0;0;0;65
optaplanner1370858;org.optaplanner.core.impl.domain.valuerange.buildin.primboolean.BooleanValueRangeTest;BooleanValueRangeTest;class;2;5;1;0;10;5;0;49
optaplanner1370858;org.optaplanner.persistence.jpa.impl.score.buildin.bendablelong.BendableLongScoreHibernateType;BendableLongScoreHibernateType;class;3;1;2;0;0;1;0;33
optaplanner1370858;org.optaplanner.core.impl.heuristic.selector.entity.nearby.NearEntityNearbyEntitySelector;NearEntityNearbyEntitySelector;class;10;41;5;0;36;17;12;183
optaplanner1370858;org.optaplanner.examples.pas.persistence.PatientAdmissionScheduleExporter;PatientAdmissionScheduleExporter;class;7;9;7;0;6;4;0;56
optaplanner1370858;org.optaplanner.core.impl.phase.custom.scope.CustomStepScope;CustomStepScope;class;3;3;2;0;0;3;1;38
optaplanner1370858;org.optaplanner.core.impl.domain.valuerange.descriptor.FromSolutionPropertyValueRangeDescriptor;FromSolutionPropertyValueRangeDescriptor;class;7;4;3;0;6;4;0;47
optaplanner1370858;org.optaplanner.examples.investment.solver.move.InvestmentQuantityTransferMove;InvestmentQuantityTransferMove;class;5;7;2;0;1;7;3;66
optaplanner1370858;org.optaplanner.core.impl.partitionedsearch.queue.PartitionQueue;PartitionQueue;class;6;17;3;0;0;6;6;144
optaplanner1370858;org.optaplanner.core.impl.exhaustivesearch.node.comparator.AbstractNodeComparatorTest;AbstractNodeComparatorTest;class;2;7;1;5;10;5;0;60
optaplanner1370858;org.optaplanner.core.impl.testdata.domain.shadow.cyclic.invalid.TestdataCyclicReferencedShadowedEntity;TestdataCyclicReferencedShadowedEntity;class;13;14;2;0;55;14;3;102
optaplanner1370858;org.optaplanner.examples.scrabble.domain.ScrabbleCell;ScrabbleCell;class;9;28;2;0;29;15;4;117
optaplanner1370858;org.optaplanner.persistence.jaxb.api.score.AbstractScoreJaxbXmlAdapter;AbstractScoreJaxbXmlAdapter;class;2;1;2;13;0;1;0;51
optaplanner1370858;org.optaplanner.examples.investment.app.InvestmentPerformanceTest;InvestmentPerformanceTest;class;4;4;3;0;6;4;0;45
optaplanner1370858;org.optaplanner.examples.nqueens.app.NQueensBenchmarkConfigTest;NQueensBenchmarkConfigTest;class;3;2;2;0;1;2;0;29
optaplanner1370858;org.optaplanner.core.impl.testdata.domain.entityproviding.TestdataEntityProvidingEntity;TestdataEntityProvidingEntity;class;10;7;1;0;0;7;2;61
optaplanner1370858;org.optaplanner.core.impl.heuristic.selector.move.decorator.SortingMoveSelector;SortingMoveSelector;class;6;5;4;0;8;5;1;52
optaplanner1370858;org.optaplanner.examples.dinnerparty.domain.Gender;Gender;enum;1;6;1;0;0;3;1;35
optaplanner1370858;org.optaplanner.examples.nurserostering.solver.move.EmployeeChangeMove;EmployeeChangeMove;class;8;13;2;0;0;9;2;77
optaplanner1370858;org.optaplanner.core.impl.constructionheuristic.decider.forager.DefaultConstructionHeuristicForagerTest;DefaultConstructionHeuristicForagerTest;class;10;6;1;0;15;6;0;90
optaplanner1370858;org.optaplanner.examples.common.persistence.SolutionDao;SolutionDao;interface;1;5;1;0;10;5;0;29
