file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
sba_app1041739948;sba.mod.mkt.form.DFormCustomerItemPriceType;DFormCustomerItemPriceType;class;11;27;2;0;13;11;15;208
sba_app1041739948;sba.mod.trn.db.DRowTraceSerialNumber;DRowTraceSerialNumber;class;2;52;1;0;561;38;14;153
sba_app1041739948;sba.mod.trn.form.DDialogTraceSerialNumber;DDialogTraceSerialNumber;class;10;36;2;0;106;15;8;269
sba_app1041739948;sba.mod.trn.form.DDialogStockOpening;DDialogStockOpening;class;8;21;2;0;39;10;7;137
sba_app1041739948;sba.mod.bpr.db.DDbBizPartnerType;DDbBizPartnerType;class;4;73;2;0;1154;53;11;285
sba_app1041739948;sba.mod.itm.db.DItemUtils;DItemUtils;class;2;11;1;0;0;1;0;60
sba_app1041739948;sba.mod.trn.view.DViewXmlStampsAvailable;DViewXmlStampsAvailable;class;5;5;2;0;6;4;0;63
sba_app1041739948;sba.mod.mkt.db.DDbCustomerBranchConfig;DDbCustomerBranchConfig;class;4;39;2;0;296;29;5;177
sba_app1041739948;sba.mod.trn.view.DViewDetailedTransact;DViewDetailedTransact;class;8;20;2;0;6;4;1;321
sba_app1041739948;sba.mod.cfg.db.DDbUserBranchDpsSeries;DDbUserBranchDpsSeries;class;6;57;2;0;560;41;9;225
sba_app1041739948;sba.mod.cfg.view.DViewUserBranchCash;DViewUserBranchCash;class;5;9;2;0;6;4;0;91
sba_app1041739948;sba.mod.trn.form.DDialogSelectItemFound;DDialogSelectItemFound;class;9;35;2;0;172;16;14;224
sba_app1041739948;sba.mod.cfg.form.DDialogSelectBranchEntity;DDialogSelectBranchEntity;class;5;81;6;0;592;25;21;377
sba_app1041739948;sba.mod.itm.db.DDbDepartment;DDbDepartment;class;4;57;2;0;566;37;3;211
sba_app1041739948;sba.mod.mkt.db.DRowCommissionCalc;DRowCommissionCalc;class;2;43;1;1;406;33;11;131
sba_app1041739948;sba.mod.mkt.db.DDbCustomerItemPriceType;DDbCustomerItemPriceType;class;4;37;2;0;296;29;4;177
sba_app1041739948;sba.mod.mkt.view.DViewCommissionCalc;DViewCommissionCalc;class;5;9;2;0;6;4;0;93
sba_app1041739948;sba.mod.fin.db.DDbAbpBizPartner;DDbAbpBizPartner;class;4;63;2;0;1189;55;17;278
sba_app1041739948;sba.mod.DModUtils;DModUtils;class;1;39;1;0;3;3;0;76
sba_app1041739948;sba.mod.bpr.view.DViewBranch;DViewBranch;class;5;9;2;0;6;4;0;103
sba_app1041739948;sba.mod.mkt.db.DRowItemPrices;DRowItemPrices;class;4;40;1;0;242;28;10;111
sba_app1041739948;sba.mod.cfg.form.DDialogUserSession;DDialogUserSession;class;10;95;2;0;517;23;45;499
sba_app1041739948;sba.mod.mkt.db.DDbAgentConfig;DDbAgentConfig;class;4;33;2;0;230;25;2;156
sba_app1041739948;sba.mod.trn.db.DTrnItemsFound;DTrnItemsFound;class;1;14;1;0;53;14;7;45
