file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
simple-datastore22084066;com.zupcat.cache.NoMemCache;NoMemCache;class;1;4;2;0;6;4;0;21
simple-datastore22084066;com.zupcat.service.SimpleDatastoreService;SimpleDatastoreService;interface;2;5;1;0;10;5;0;12
simple-datastore22084066;com.zupcat.util.CommonsParallel;CommonsParallel;class;2;23;1;0;86;15;5;108
simple-datastore22084066;com.zupcat.model.config.LIST;LIST;class;4;3;2;0;3;3;1;16
simple-datastore22084066;com.zupcat.dao.SerializationHelperTest;SerializationHelperTest;class;5;5;2;0;3;3;0;46
simple-datastore22084066;com.zupcat.cache.MemcacheManager;MemcacheManager;class;5;12;1;0;13;4;5;61
simple-datastore22084066;com.zupcat.util.RetryingExecutor;RetryingExecutor;class;3;8;1;0;0;4;5;43
simple-datastore22084066;com.zupcat.util.IClosure;IClosure;interface;0;1;1;0;0;1;0;7
simple-datastore22084066;com.zupcat.audit.AuditHandlerService;AuditHandlerService;interface;1;1;1;0;0;1;0;9
simple-datastore22084066;com.zupcat.sample.Address;Address;class;1;6;1;0;15;6;0;25
simple-datastore22084066;com.zupcat.dao.DAOTest;DAOTest;class;11;22;2;0;0;14;1;163
simple-datastore22084066;com.zupcat.sample.User;User;class;32;2;2;0;1;2;16;46
simple-datastore22084066;com.zupcat.model.DataObjectSerializer;DataObjectSerializer;class;5;21;1;0;26;8;2;100
simple-datastore22084066;com.zupcat.dao.IDAO;IDAO;interface;2;9;1;0;36;9;0;30
simple-datastore22084066;com.zupcat.property.ComplexAnyProperty;ComplexAnyProperty;class;4;10;2;0;6;4;1;37
simple-datastore22084066;com.zupcat.model.config.PropertyMeta;PropertyMeta;class;7;22;1;9;36;17;4;80
simple-datastore22084066;com.zupcat.model.config.BYTE_ARRAY;BYTE_ARRAY;class;4;1;2;0;0;1;1;9
simple-datastore22084066;com.zupcat.cache.CacheStrategy;CacheStrategy;enum;2;2;1;0;0;2;2;18
simple-datastore22084066;com.zupcat.util.TimeUtils;TimeUtils;class;0;21;1;0;91;14;0;183
simple-datastore22084066;com.zupcat.property.DataObjectProperty;DataObjectProperty;class;5;13;2;0;0;5;2;55
simple-datastore22084066;com.zupcat.audit.AuditHandlerServiceFactory;AuditHandlerServiceFactory;class;2;2;1;0;0;2;1;14
simple-datastore22084066;com.zupcat.property.LongProperty;LongProperty;class;3;12;2;0;36;9;1;37
simple-datastore22084066;com.zupcat.property.MapProperty;MapProperty;class;6;33;2;0;184;20;2;128
simple-datastore22084066;com.zupcat.model.DatastoreEntity;DatastoreEntity;class;11;60;1;1;161;22;8;206
simple-datastore22084066;com.zupcat.property.StringProperty;StringProperty;class;3;8;2;0;10;5;1;25
simple-datastore22084066;com.zupcat.dao.RetryingHandler;RetryingHandler;class;22;65;1;0;274;18;7;233
simple-datastore22084066;com.zupcat.model.PersistentObject;PersistentObject;class;1;11;1;0;10;5;3;32
