file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
tembo-backend41027290;ke.co.suncha.tembo.tenant.utils.timezones.TemboTimeZoneRepository;TemboTimeZoneRepository;interface;3;2;1;0;1;2;0;10
tembo-backend41027290;ke.co.suncha.tembo.tenant.reports.dashboard.highcharts.GraphService;GraphService;interface;4;5;1;0;10;5;0;15
tembo-backend41027290;ke.co.suncha.tembo.tenant.tickets.TicketController;TicketController;class;16;5;2;0;0;1;6;48
tembo-backend41027290;ke.co.suncha.tembo.tenant.products.attributes.set.ProductAttributeSetRepository;ProductAttributeSetRepository;interface;6;5;1;0;10;5;0;16
tembo-backend41027290;ke.co.suncha.tembo.tenant.mail.MailManager;MailManager;class;1;4;1;0;0;1;0;17
tembo-backend41027290;ke.co.suncha.tembo.tenant.prices.validation.PriceListValidatorImpl;PriceListValidatorImpl;class;14;52;1;0;0;2;5;145
tembo-backend41027290;ke.co.suncha.tembo.tenant.utils.country.CountryRepository;CountryRepository;interface;3;2;1;0;1;2;0;12
tembo-backend41027290;ke.co.suncha.tembo.tenant.documents.custom.sales.shipment.DeliveryNoteType;DeliveryNoteType;class;0;0;1;0;0;0;1;7
tembo-backend41027290;ke.co.suncha.tembo.tenant.accounting.types.AccountType;AccountType;class;8;6;1;0;9;6;3;42
tembo-backend41027290;ke.co.suncha.tembo.tenant.products.images.ProductImage;ProductImage;class;11;8;2;0;20;8;4;55
tembo-backend41027290;ke.co.suncha.tembo.tenant.documents.custom.procurement.purchaseOrder.validation.PurchaseOrderValidatorImpl;PurchaseOrderValidatorImpl;class;25;113;1;0;0;3;13;294
tembo-backend41027290;ke.co.suncha.tembo.tenant.prices.versions.validation.PriceListVersionValidator;PriceListVersionValidator;interface;2;2;1;0;1;2;0;10
tembo-backend41027290;ke.co.suncha.tembo.tenant.products.attributes.set.instance.values.AttributeValueInstance;AttributeValueInstance;class;15;13;2;0;58;13;6;84
tembo-backend41027290;ke.co.suncha.tembo.tenant.documents.custom.sales.payment.source.ReceiptSourceServiceImpl;ReceiptSourceServiceImpl;class;15;14;1;0;0;7;4;100
tembo-backend41027290;ke.co.suncha.tembo.tenant.products.attributes.values.AttributeValue;AttributeValue;class;11;10;2;0;35;10;5;65
tembo-backend41027290;ke.co.suncha.tembo.tenant.partner.BusinessPartnerType;BusinessPartnerType;class;0;0;1;0;0;0;2;8
tembo-backend41027290;ke.co.suncha.tembo.tenant.admin.users.permissions.RolePermissions;RolePermissions;class;1;4;1;0;2;4;2;34
tembo-backend41027290;ke.co.suncha.tembo.tenant.documents.custom.inventoryAdjustment.validation.InventoryAdjustmentValidatorImpl;InventoryAdjustmentValidatorImpl;class;18;85;1;0;0;3;8;216
tembo-backend41027290;ke.co.suncha.tembo.tenant.partner.BusinessPartner;BusinessPartner;class;15;37;2;0;517;35;17;188
tembo-backend41027290;ke.co.suncha.tembo.tenant.tickets.printers.queue.PrinterQueueController;PrinterQueueController;class;16;6;2;0;0;2;6;51
tembo-backend41027290;ke.co.suncha.tembo.tenant.mail.host.SMTPHostService;SMTPHostService;interface;0;0;1;0;0;0;0;6
tembo-backend41027290;ke.co.suncha.tembo.tenant.prices.PriceListController;PriceListController;class;20;20;2;0;0;6;6;87
tembo-backend41027290;ke.co.suncha.tembo.tenant.documents.inventory.InventoryRepository;InventoryRepository;interface;16;36;1;0;630;36;0;100
tembo-backend41027290;ke.co.suncha.tembo.tenant.prices.product.validation.ProductPriceValidatorImpl;ProductPriceValidatorImpl;class;14;41;1;0;0;2;5;123
tembo-backend41027290;ke.co.suncha.tembo.tenant.products.types.ProductTypeService;ProductTypeService;interface;1;1;1;0;0;1;0;8
tembo-backend41027290;ke.co.suncha.tembo.tenant.documents.custom.procurement.goodsReceipt.GoodsReceiptController;GoodsReceiptController;class;23;31;2;0;0;7;7;117
tembo-backend41027290;ke.co.suncha.tembo.tenant.products.attributes.values.AttributeValueController;AttributeValueController;class;20;14;2;0;0;4;6;70
tembo-backend41027290;ke.co.suncha.tembo.tenant.prices.product.ProductPriceServiceImpl;ProductPriceServiceImpl;class;17;11;1;0;0;7;8;100
