file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.Author;Author;class;5;10;1;0;33;10;5;105
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.QueryContainer;QueryContainer;class;3;1;2;0;0;1;1;43
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.QueryView;QueryView;interface;3;21;1;0;210;21;0;138
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.Query;Query;interface;1;5;1;0;10;5;0;63
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.MockBeanQuery;MockBeanQuery;class;4;10;2;0;9;7;1;53
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.EntityQueryFactory;EntityQueryFactory;class;6;3;1;0;0;3;2;56
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.NestingBeanItem;NestingBeanItem;class;7;25;2;0;10;5;1;184
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.CompositeItemTest;CompositeItemTest;class;8;10;1;0;0;10;7;115
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.LazyQueryContainerPropertyIdsTest;LazyQueryContainerPropertyIdsTest;class;14;24;2;0;0;19;4;218
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.NaturalNumberIdsList;NaturalNumberIdsList;class;1;24;3;0;0;8;3;118
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.Company;Company;class;3;6;1;0;7;6;3;74
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.QueryItemStatusColumnGenerator;QueryItemStatusColumnGenerator;class;14;16;1;0;0;4;6;119
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.MockQuery;MockQuery;class;8;16;1;0;6;8;6;110
vaadin-lazyquerycontainer642308;com.vaadin.data.util.LazyNestedMethodProperty;LazyNestedMethodProperty;class;8;31;2;0;13;11;5;252
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.LazyQueryContainer;LazyQueryContainer;class;25;72;1;1;868;60;8;589
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.LazyIdList;LazyIdList;class;3;22;3;0;16;8;4;132
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.QueryDefinition;QueryDefinition;interface;1;36;1;0;630;36;0;234
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.MockQueryFactory;MockQueryFactory;class;11;23;1;0;5;7;7;115
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.MockBeanQueryWithFailingItemConstruction;MockBeanQueryWithFailingItemConstruction;class;4;9;2;0;3;6;1;46
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.EntityQuery;EntityQuery;class;33;106;1;0;0;13;6;441
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.LazyQueryViewPropertyIdsTest;LazyQueryViewPropertyIdsTest;class;8;17;2;0;0;14;3;212
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.example.mock.MockQuery;MockQuery;class;8;16;1;0;6;8;5;108
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.CompositeItem;CompositeItem;class;5;14;1;0;2;9;5;142
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.Task;Task;class;5;12;1;0;44;12;6;121
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.BeanQueryFactory;BeanQueryFactory;class;5;5;1;0;0;4;4;88
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.EntityContainerAttachedEntitiesTest;EntityContainerAttachedEntitiesTest;class;18;9;1;0;0;5;5;237
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.EntityContainerAttachedEntitiesPropertyIdsTest;EntityContainerAttachedEntitiesPropertyIdsTest;class;18;10;1;0;0;6;5;258
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.LazyQueryDefinition;LazyQueryDefinition;class;2;44;1;0;566;37;17;419
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.LazyQueryContainerTest;LazyQueryContainerTest;class;14;25;2;0;0;21;4;219
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.QueryFactory;QueryFactory;interface;2;1;1;0;0;1;0;30
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.EntityContainerDetachedEntitiesPropertyIdsTest;EntityContainerDetachedEntitiesPropertyIdsTest;class;16;9;1;0;0;5;5;245
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.example.jpa.Author;Author;class;5;8;1;0;18;8;4;89
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.QueryItemStatus;QueryItemStatus;enum;0;0;1;0;0;0;0;39
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.LazyQueryViewWithoutStatusColumnTest;LazyQueryViewWithoutStatusColumnTest;class;7;17;2;0;0;14;3;175
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.LazyQueryViewTest;LazyQueryViewTest;class;8;18;2;0;0;15;3;237
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.example.mock.VaadinApplication;VaadinApplication;class;18;28;2;0;0;3;15;221
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.BeanQueryTest;BeanQueryTest;class;13;9;1;0;36;9;0;126
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.LazyQueryView;LazyQueryView;class;15;104;1;0;182;29;22;577
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.example.jpa.VaadinApplication;VaadinApplication;class;24;27;2;0;0;3;15;249
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.AbstractBeanQuery;AbstractBeanQuery;class;9;31;1;2;110;17;4;248
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.example.jpa.Company;Company;class;3;6;1;0;7;6;3;74
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.example.jpa.Task;Task;class;5;20;1;0;160;20;10;185
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.example.mock.MockQueryFactory;MockQueryFactory;class;11;23;1;0;5;7;7;116
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.EntityContainerDetachedEntitiesTest;EntityContainerDetachedEntitiesTest;class;16;9;1;0;0;5;5;239
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.EntityQueryDefinition;EntityQueryDefinition;class;1;4;2;0;0;4;4;78
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.test.MockBean;MockBean;class;0;7;1;0;15;7;3;26
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.LazyEntityContainer;LazyEntityContainer;class;8;8;2;0;15;6;1;127
vaadin-lazyquerycontainer642308;org.vaadin.addons.lazyquerycontainer.EntityContainer;EntityContainer;class;8;8;2;0;15;6;1;131
