file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Claros48889989;org.claros.commons.mail.protocols.ImapProtocolImpl;ImapProtocolImpl;class;29;172;1;0;0;26;7;752;
Claros48889989;org.claros.commons.mail.models.ByteArrayDataSource;ByteArrayDataSource;class;1;7;1;0;4;5;2;35;
Claros48889989;org.claros.intouch.contacts.services.GetContactDetailsService;GetContactDetailsService;class;6;8;3;0;1;2;2;98;
Claros48889989;org.claros.intouch.contacts.utility.Utility;Utility;class;2;12;1;0;1;2;0;40;
Claros48889989;org.claros.commons.mail.models.ByteArrayDataSource;ByteArrayDataSource;class;1;7;1;0;4;5;2;35;
Claros48889989;org.claros.intouch.webdisk.services.ForwardFileService;ForwardFileService;class;5;8;3;0;0;1;1;61;
Claros48889989;org.claros.commons.utility.Formatter;Formatter;class;0;27;1;0;28;8;0;124;
Claros48889989;org.claros.intouch.contacts.services.DeleteContactService;DeleteContactService;class;3;2;3;0;0;1;1;39;
Claros48889989;org.claros.commons.mail.configuration.Initiator;Initiator;class;4;3;2;0;0;1;2;46;
Claros48889989;org.claros.intouch.common.services.BaseService;BaseService;class;10;28;2;58;36;9;2;136;
Claros48889989;org.claros.commons.mail.protocols.ImapProtocolImpl;ImapProtocolImpl;class;29;172;1;0;0;26;7;752;
Claros48889989;org.htmlcleaner.TagInfo;TagInfo;class;3;71;1;0;525;38;19;278;
Claros48889989;org.claros.commons.db.handler.ItemResultSetHandler;ItemResultSetHandler;class;1;4;1;0;0;1;0;31;
Claros48889989;org.claros.intouch.common.exceptions.UnableToImportException;UnableToImportException;class;0;2;3;0;1;2;1;22;
Claros48889989;org.htmlcleaner.CommandLine;CommandLine;class;1;48;1;0;3;3;0;159;
Claros48889989;org.claros.intouch.webmail.models.MsgDbObject;MsgDbObject;class;1;15;1;0;91;15;7;103;
Claros48889989;org.claros.commons.mail.protocols.DummySSLSocketFactory;DummySSLSocketFactory;class;4;11;3;0;0;10;1;54;
Claros48889989;org.claros.commons.constants.MimeTypes;MimeTypes;class;0;0;1;0;0;0;902;910;
Claros48889989;org.claros.intouch.notes.services.AddNotebookService;AddNotebookService;class;4;2;3;0;0;1;1;47;
Claros48889989;org.claros.intouch.notes.services.GetNotesByFolderService;GetNotesByFolderService;class;4;10;3;0;1;2;2;77;
Claros48889989;org.claros.intouch.webmail.factory.MailControllerFactory;MailControllerFactory;class;6;5;1;0;1;3;4;37;
Claros48889989;org.claros.commons.configuration.Paths;Paths;class;0;14;1;0;77;14;7;57;
Claros48889989;org.claros.commons.mail.exception.ProtocolNotAvailableException;ProtocolNotAvailableException;class;0;4;3;0;6;4;1;35;
Claros48889989;org.claros.commons.db.handler.ItemResultSetHandler;ItemResultSetHandler;class;1;4;1;0;0;1;0;31;
Claros48889989;org.claros.intouch.rss.models.NewsItem;NewsItem;class;0;14;1;0;77;14;7;97;
Claros48889989;org.claros.commons.mail.exception.MailSizeExceededException;MailSizeExceededException;class;0;4;3;0;6;4;1;16;
Claros48889989;org.claros.commons.mail.models.EmailSensitivity;EmailSensitivity;class;0;11;1;0;0;2;4;22;
Claros48889989;org.claros.commons.mail.protocols.Protocol;Protocol;interface;5;13;1;0;78;13;0;29;
