file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
CommJ16980198;universe.Event;Event;class;4;18;1;0;79;14;6;56;
CommJ16980198;universe.MessageType;MessageType;class;0;4;1;0;0;4;2;18;
CommJ16980198;utilities.CommunicationJoinPointRegistry;CommunicationJoinPointRegistry;class;3;7;1;0;0;4;2;34;
CommJ16980198;joinpoints.connection.ConnectEventJP;ConnectEventJP;class;4;14;1;0;79;14;8;60;
CommJ16980198;universe.CommunicationThread;CommunicationThread;class;4;11;1;0;33;11;2;37;
CommJ16980198;aspects.ms.Server_SM;Server_SM;class;5;5;2;0;6;4;0;24;
CommJ16980198;utilities.Encoder;Encoder;class;4;4;1;0;1;2;1;40;
CommJ16980198;universe.OtherEvent;OtherEvent;class;0;0;1;0;0;0;0;3;
CommJ16980198;patterns.Multistep;Multistep;class;2;2;2;0;1;2;0;12;
CommJ16980198;utilities.Session;Session;class;9;14;1;0;52;12;9;57;
CommJ16980198;utilities.statemachine.StateMachineTest;StateMachineTest;class;5;1;1;0;0;1;0;17;
CommJ16980198;universe.CommunicationReceiveEvent;CommunicationReceiveEvent;class;1;0;3;0;0;0;0;3;
CommJ16980198;joinpoints.communication.ReceiveEventJP;ReceiveEventJP;class;6;7;2;0;17;7;3;36;
CommJ16980198;utilities.statemachine.StateMachine;StateMachine;class;10;61;1;2;277;26;9;178;
CommJ16980198;patterns.CommunicationPattern;CommunicationPattern;class;1;9;1;3;3;7;2;32;
CommJ16980198;application.Client;Client;class;4;24;2;0;6;5;6;115;
CommJ16980198;joinpoints.communication.MultistepConversationJP;MultistepConversationJP;class;7;11;2;0;35;11;3;55;
CommJ16980198;application.Server;Server;class;6;32;2;0;24;8;4;171;
CommJ16980198;utilities.Message;Message;class;7;19;1;3;149;19;8;105;
CommJ16980198;utilities.TranslationMessage;TranslationMessage;class;2;14;2;0;49;14;6;58;
CommJ16980198;utilities.IMessageFactory;IMessageFactory;interface;2;1;1;0;0;1;0;4;
CommJ16980198;utilities.IMessageExt;IMessageExt;interface;1;1;1;0;0;1;0;4;
CommJ16980198;utilities.Constants;Constants;class;0;2;1;0;0;1;20;35;
CommJ16980198;universe.ProtocolRole;ProtocolRole;class;4;13;1;0;25;11;4;52;
CommJ16980198;aspects.ms.Client_SM;Client_SM;class;5;5;2;0;6;4;0;24;
CommJ16980198;joinpoints.communication.CommunicationEventJP;CommunicationEventJP;class;9;18;1;6;77;18;8;92;
CommJ16980198;universe.PatternManager;PatternManager;class;1;0;1;0;0;0;1;5;
CommJ16980198;universe.Role;Role;class;0;3;1;0;0;3;2;19;
CommJ16980198;patterns.OneWayMulticast;OneWayMulticast;class;2;2;2;0;1;2;0;12;
CommJ16980198;patterns.RequestReply;RequestReply;class;2;2;2;0;1;2;0;12;
CommJ16980198;universe.Timestamp;Timestamp;class;2;11;1;0;0;9;3;47;
CommJ16980198;universe.Message;Message;class;3;18;1;0;91;15;5;67;
CommJ16980198;universe.Node;Node;class;1;1;1;0;0;1;0;6;
CommJ16980198;utilities.TimeSpan;TimeSpan;class;0;0;1;0;0;0;0;3;
CommJ16980198;utilities.statemachine.Transition;Transition;class;2;14;1;0;22;12;6;60;
CommJ16980198;universe.PrimaryObject;PrimaryObject;class;0;0;1;1;0;0;0;4;
CommJ16980198;universe.CommunicationSendEvent;CommunicationSendEvent;class;3;4;4;0;0;4;1;27;
CommJ16980198;universe.Process;Process;class;1;3;1;0;1;3;1;13;
CommJ16980198;utilities.ConnectionJoinPointRegistry;ConnectionJoinPointRegistry;class;3;12;1;0;0;6;2;46;
CommJ16980198;joinpoints.connection.CloseEventJP;CloseEventJP;class;3;10;2;0;35;10;5;46;
CommJ16980198;utilities.statemachine.State;State;class;3;14;1;0;21;11;5;57;
CommJ16980198;universe.Conversation;Conversation;class;5;25;1;0;154;20;7;86;
CommJ16980198;universe.CommunicationEvent;CommunicationEvent;class;4;9;2;2;18;9;3;35;
CommJ16980198;utilities.TranslationRequestMessage;TranslationRequestMessage;class;2;10;2;0;25;10;4;41;
CommJ16980198;universe.CommunicationChannel;CommunicationChannel;class;1;6;1;0;1;6;2;26;
CommJ16980198;joinpoints.communication.SendEventJP;SendEventJP;class;6;7;2;0;9;7;2;34;
CommJ16980198;universe.ExceptionThrownEvent;ExceptionThrownEvent;class;0;0;1;0;0;0;0;3;
CommJ16980198;joinpoints.connection.ChannelJP;ChannelJP;class;7;12;2;0;56;12;6;51;
CommJ16980198;universe.Protocol;Protocol;class;1;11;1;0;13;11;4;50;
CommJ16980198;utilities.IMessage;IMessage;interface;5;11;1;0;55;11;0;18;
CommJ16980198;utilities.statemachine.IStateMachine;IStateMachine;interface;0;1;1;0;0;1;0;4;
CommJ16980198;joinpoints.communication.RequestReplyConversationJP;RequestReplyConversationJP;class;8;13;2;0;56;13;5;63;
CommJ16980198;universe.Pattern;Pattern;class;0;3;1;0;0;3;1;14;
CommJ16980198;utilities.TranslationResponseMessage;TranslationResponseMessage;class;2;6;2;0;0;6;3;28;
