file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
EDD68161361;MCP23017GpioExample;MCP23017GpioExample;class;6;3;1;0;1;1;0;111;
EDD68161361;net.kerfuffle.RaspiServer.Global;Global;class;0;1;1;0;0;1;28;63;
EDD68161361;WiringPiGpioInterruptExample2;WiringPiGpioInterruptExample2;class;2;7;1;0;4;3;1;91;
EDD68161361;odroid.xu4.SerialExample;SerialExample;class;5;8;1;0;1;1;0;155;
EDD68161361;net.kerfuffle.RaspiServer.Patient;Patient;class;1;6;2;0;1;6;4;33;
EDD68161361;PCF8574GpioExample;PCF8574GpioExample;class;6;3;1;0;1;1;0;102;
EDD68161361;GpioOutputExample;GpioOutputExample;class;7;3;1;0;1;1;0;144;
EDD68161361;MCP3008GpioExampleNonMonitored;MCP3008GpioExampleNonMonitored;class;4;3;1;0;0;1;0;106;
EDD68161361;GpioInputAllExample;GpioInputAllExample;class;4;4;1;0;0;1;0;100;
EDD68161361;MCP3004GpioExample;MCP3004GpioExample;class;6;4;1;0;1;1;0;111;
EDD68161361;ShutdownGpioExample;ShutdownGpioExample;class;2;1;1;0;0;1;0;65;
EDD68161361;bananapro.GpioInputExample;GpioInputExample;class;6;1;1;0;0;1;0;114;
EDD68161361;MCP3204GpioExampleNonMonitored;MCP3204GpioExampleNonMonitored;class;4;3;1;0;0;1;0;102;
EDD68161361;odroid.c1.SoftPwmExample;SoftPwmExample;class;5;1;1;0;0;1;0;114;
EDD68161361;I2CExample;I2CExample;class;3;1;1;0;0;1;7;117;
EDD68161361;WiringPiLcdExample;WiringPiLcdExample;class;0;6;1;0;0;1;3;83;
EDD68161361;odroid.c1.SerialExample;SerialExample;class;5;8;1;0;1;1;0;145;
EDD68161361;W1TempExample;W1TempExample;class;2;2;1;0;0;1;0;47;
EDD68161361;GpioListenAllExample;GpioListenAllExample;class;8;6;1;0;1;1;0;131;
EDD68161361;odroid.xu4.GpioOutputExample;GpioOutputExample;class;7;3;1;0;1;1;0;167;
EDD68161361;PiFaceExample;PiFaceExample;class;4;16;1;0;10;1;1;141;
EDD68161361;net.kerfuffle.GroupClient.PacketSuccess;PacketSuccess;class;6;35;7;0;59;22;10;185;
