file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
IMClient39126334;com.im.client.component.NewTabbedPane;NewTabbedPane;class;3;43;4;0;451;31;13;263;
IMClient39126334;com.im.client.utils.LimitedDocumentUtils;LimitedDocumentUtils;class;2;12;3;0;2;4;2;50;
IMClient39126334;com.im.common.dto.User;User;class;0;13;1;0;46;13;6;68;
IMClient39126334;com.im.client.utils.FontUtils;FontUtils;class;0;4;1;0;0;1;0;33;
IMClient39126334;com.im.client.utils.WeatherUtils;WeatherUtils;class;1;20;1;0;0;2;11;74;
IMClient39126334;com.im.common.dto.Weather;Weather;class;0;4;1;0;2;4;2;34;
IMClient39126334;com.im.client.utils.ImageManageUtils;ImageManageUtils;class;0;4;1;0;3;3;1;53;
IMClient39126334;com.im.common.dto.IconTreeNode;IconTreeNode;class;0;6;2;0;0;6;2;47;
IMClient39126334;com.im.client.utils.DateUtils;DateUtils;class;0;7;1;0;0;1;1;32;
IMClient39126334;com.im.client.utils.ScreenSizeUtils;ScreenSizeUtils;class;0;3;1;0;0;3;3;43;
IMClient39126334;com.im.common.dto.MessageType;MessageType;class;0;12;1;0;54;12;6;66;
IMClient39126334;com.im.client.component.NewTextField;NewTextField;class;0;7;6;0;6;3;5;78;
IMClient39126334;com.im.client.connection.IMClientConnectServer;IMClientConnectServer;class;1;5;1;0;0;1;0;51;
IMClient39126334;com.im.client.component.NewTreeUI;NewTreeUI;class;0;4;4;0;6;4;0;36;
IMClient39126334;com.im.client.component.NewButton;NewButton;class;0;4;6;0;6;4;0;39;
IMClient39126334;com.im.client.component.NewScrollBarUI;NewScrollBarUI;class;0;17;4;0;10;5;9;120;
IMClient39126334;com.im.client.utils.KeyboardUtils;KeyboardUtils;class;1;317;6;0;39;9;17;1145;
IMClient39126334;com.im.client.ui.Chat;Chat;class;3;160;6;0;6632;5;189;1762;
IMClient39126334;com.im.common.dto.GroupsAndFriends;GroupsAndFriends;class;1;4;1;0;2;4;2;37;
IMClient39126334;com.im.client.ui.Main;Main;class;9;133;6;0;3749;5;210;1962;
IMClient39126334;com.im.client.component.NewCheckbox;NewCheckbox;class;0;6;7;0;15;6;0;49;
IMClient39126334;com.im.client.component.NewTreeIconNodeRenderer;NewTreeIconNodeRenderer;class;2;7;6;0;0;1;3;69;
IMClient39126334;com.im.client.function.IMLoginManager;IMLoginManager;class;2;1;1;0;0;1;0;22;
IMClient39126334;com.im.client.component.NewPasswordField;NewPasswordField;class;2;8;7;0;8;3;11;104;
IMClient39126334;com.im.client.ui.MiniLogin;MiniLogin;class;12;77;6;0;1276;5;105;886;
