file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.TaskList;TaskList;class;1;3;1;0;1;3;2;26;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.Log;Log;class;0;9;1;0;0;4;2;57;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.Task;Task;class;1;13;1;0;0;3;7;71;
TaskManagerGroupCommunication6125315;utils.JGroupHelperTest;JGroupHelperTest;class;6;14;1;0;0;6;1;99;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.DeprecatedCalendar;DeprecatedCalendar;class;3;41;1;0;62;20;2;149;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.ObjectMarshaller;ObjectMarshaller;class;0;9;1;0;10;5;0;57;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.TaskManagerTCPServer;TaskManagerTCPServer;enum;2;10;1;0;4;4;2;92;
TaskManagerGroupCommunication6125315;utils.JaxbUtils;JaxbUtils;class;2;8;1;0;6;4;0;106;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.RequestParser;RequestParser;class;0;13;2;4;2;8;6;53;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.DeprecatedUser;DeprecatedUser;class;1;18;1;0;27;10;3;58;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.RequestParserGET;RequestParserGET;class;3;12;3;0;1;2;0;49;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.TaskClient;TaskClient;class;3;14;1;0;0;5;4;159;
TaskManagerGroupCommunication6125315;utils.JGroupHelper;JGroupHelper;class;26;26;2;0;16;12;2;233;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.RequestParserPOST;RequestParserPOST;class;2;3;3;0;1;2;0;28;
TaskManagerGroupCommunication6125315;utilzz.ChannelHelper;ChannelHelper;class;18;1;1;0;0;1;0;52;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.RequestParserPUT;RequestParserPUT;class;2;3;3;0;1;2;0;25;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.RequestParserDELETE;RequestParserDELETE;class;1;6;3;0;1;2;0;23;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.DeprecatedTask;DeprecatedTask;class;1;29;1;0;59;19;3;106;
TaskManagerGroupCommunication6125315;taskManagerGroupCommunication.TaskManagerTCPClient;TaskManagerTCPClient;class;3;95;1;0;35;14;7;396;
