file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
airhacks14174361;com.airhacks.vehicles.showrooom.boundary.VehicleStore;VehicleStore;class;5;3;1;0;0;3;3;34;
airhacks14174361;com.airhacks.Java8Test;Java8Test;class;1;9;1;0;34;9;1;62;
airhacks14174361;com.airhacks.StrategyIdeasTest;StrategyIdeasTest;class;4;8;1;0;9;6;1;60;
airhacks14174361;com.airhacks.workshops.business.registrations.entity.RegistrationIT;RegistrationIT;class;5;2;1;0;0;2;2;25;
airhacks14174361;com.airhacks.vehicles.showrooom.boundary.VehiclesResourceIT;VehiclesResourceIT;class;7;3;1;0;0;3;2;51;
airhacks14174361;twoinitialized.business.result.control.Translator;Translator;class;2;3;1;0;0;1;1;17;
airhacks14174361;com.airhacks.vehicles.validations.control.InvalidVehicleException;InvalidVehicleException;class;2;1;2;0;0;1;0;14;
airhacks14174361;twoinitialized.business.result.boundary.ResultsTranslator;ResultsTranslator;class;7;3;1;0;0;1;5;36;
airhacks14174361;com.airhacks.workshops.business.registrations.boundary.Registration;Registration;class;0;9;1;0;18;9;6;50;
airhacks14174361;twoinitialized.results.boundary.ResultsResourceIT;ResultsResourceIT;class;5;2;1;0;0;2;2;31;
airhacks14174361;com.airhacks.workshops.business.tracing.boundary.LoggerExposer;LoggerExposer;class;2;1;1;0;0;1;0;15;
airhacks14174361;com.airhacks.workshops.business.tracing.boundary.LoggerExposerIT;LoggerExposerIT;class;9;2;1;0;1;2;1;34;
airhacks14174361;com.airhacks.Engine;Engine;class;0;5;1;0;0;5;2;26;
airhacks14174361;com.airhacks.Index;Index;class;2;3;1;0;0;3;1;22;
airhacks14174361;com.airhacks.workshops.business.registrations.entity.Registration;Registration;class;5;8;1;0;16;8;8;58;
airhacks14174361;com.airhacks.workshops.business.registrations.boundary.RegistrationsResource;RegistrationsResource;class;16;6;1;0;0;4;2;57;
airhacks14174361;com.airhacks.workshops.business.registrations.boundary.Registrations;Registrations;class;9;6;1;0;7;6;4;71;
airhacks14174361;com.airhacks.workshops.business.registrations.boundary.RegistrationsBoundaryIT;RegistrationsBoundaryIT;class;8;3;1;0;0;3;3;67;
airhacks14174361;twoinitialized.business.batch.control.Monitor;Monitor;class;1;2;1;0;1;2;0;15;
airhacks14174361;twoinitialized.business.result.entity.ResultIT;ResultIT;class;5;2;1;0;0;2;2;38;
airhacks14174361;com.airhacks.workshops.business.registrations.control.VatCalculatorTest;VatCalculatorTest;class;3;3;1;0;0;3;1;32;
airhacks14174361;twoinitialized.business.result.control.Reporter;Reporter;class;4;1;1;0;0;1;2;22;
airhacks14174361;com.airhacks.logging.boundary.LogManager;LogManager;class;4;2;1;0;1;2;0;21;
airhacks14174361;com.airhacks.workshops.business.registrations.boundary.RegistrationsTest;RegistrationsTest;class;10;6;1;0;0;6;1;72;
airhacks14174361;twoinitialized.business.result.boundary.ResultsResource;ResultsResource;class;15;6;1;0;0;4;2;54;
airhacks14174361;com.airhacks.logging.boundary.LogLevel$Level;Level;enum;1;0;1;0;0;0;0;19;
airhacks14174361;com.airhacks.VehiclesResource;VehiclesResource;class;7;4;1;0;0;4;1;37;
airhacks14174361;twoinitialized.business.result.boundary.ResultStore;ResultStore;class;4;3;1;0;0;3;1;26;
airhacks14174361;com.airhacks.Calculator;Calculator;class;0;2;1;0;1;2;0;13;
airhacks14174361;com.airhacks.CallLogger;CallLogger;class;2;1;1;0;0;1;0;14;
airhacks14174361;twoinitialized.business.calculator.control.Calculator;Calculator;class;0;1;1;0;0;1;0;10;
airhacks14174361;com.airhacks.logging.boundary.ITLogger;ITLogger;interface;0;1;1;0;0;1;0;9;
airhacks14174361;com.airhacks.workshops.business.registrations.control.VatCalculator;VatCalculator;class;0;3;1;0;0;1;0;17;
airhacks14174361;twoinitialized.business.result.control.Store;Store;class;0;1;1;0;0;1;0;10;
airhacks14174361;com.airhacks.workshops.business.JAXRSConfiguration;JAXRSConfiguration;class;2;0;2;0;0;0;0;10;
airhacks14174361;twoinitialized.business.serializer.boundary.BinarySerializer;BinarySerializer;class;8;3;1;0;3;3;1;33;
airhacks14174361;com.airhacks.PaintingRobot;PaintingRobot;class;1;3;1;0;3;3;0;22;
airhacks14174361;twoinitialized.business.result.boundary.ResultsTranslatorTest;ResultsTranslatorTest;class;10;2;1;0;0;2;2;39;
airhacks14174361;com.airhacks.workshops.business.registrations.entity.RegistrationTest;RegistrationTest;class;2;2;1;0;0;2;1;35;
airhacks14174361;com.airhacks.vehicles.showrooom.control.VehicleValidator;VehicleValidator;class;1;1;1;1;0;1;0;11;
airhacks14174361;twoinitialized.business.result.entity.Result;Result;class;4;4;1;0;2;4;4;36;
airhacks14174361;com.airhacks.Vehicle;Vehicle;class;2;1;1;0;0;1;2;14;
airhacks14174361;com.airhacks.BasicsTest;BasicsTest;class;2;4;1;0;0;1;0;31;
airhacks14174361;com.airhacks.vehicles.showrooom.entity.Vehicle;Vehicle;class;1;5;1;0;0;5;2;31;
airhacks14174361;com.airhacks.vehicles.boundary.VehiclesResource;VehiclesResource;class;6;1;1;0;0;1;2;27;
airhacks14174361;com.airhacks.workshops.business.tracing.boundary.LoggerInjectionSupport;LoggerInjectionSupport;class;1;1;1;0;0;1;1;14;
airhacks14174361;com.airhacks.WeldingRobot;WeldingRobot;class;3;3;1;0;3;3;1;26;
airhacks14174361;com.airhacks.vehicles.configuration.boundary.Configurator;Configurator;class;6;5;1;0;3;3;1;38;
airhacks14174361;twoinitialized.business.result.control.ResultFetcher;ResultFetcher;class;0;1;1;0;0;1;0;10;
airhacks14174361;twoinitialized.business.result.boundary.TranslationsResource;TranslationsResource;class;7;1;1;0;0;1;1;20;
airhacks14174361;com.airhacks.vehicles.showrooom.boundary.VehiclesResource;VehiclesResource;class;10;2;1;0;0;2;1;33;
airhacks14174361;com.airhacks.vehicles.ems.boundary.Alerting;Alerting;class;1;1;1;0;0;1;0;11;
airhacks14174361;com.airhacks.JAXRSConfiguration;JAXRSConfiguration;class;2;0;2;0;0;0;0;12;
airhacks14174361;com.airhacks.StreamTest;StreamTest;class;2;2;1;0;1;2;0;41;
airhacks14174361;com.airhacks.vehicles.configuration.boundary.ConfigurationCache;ConfigurationCache;class;3;1;1;0;0;1;0;20;
airhacks14174361;com.airhacks.vehicles.validations.control.EnterpriseVehicleValidator;EnterpriseVehicleValidator;class;4;3;2;0;0;1;0;18;
airhacks14174361;com.airhacks.ExceptionsTest;ExceptionsTest;class;1;4;1;0;3;3;0;22;
airhacks14174361;com.airhacks.VehicleFactory;VehicleFactory;class;5;4;1;0;4;4;1;34;
