file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
auction-house9857471;mediator.INetMediator;INetMediator;interface;2;5;1;0;10;5;0;16;
auction-house9857471;network.NetClient;NetClient;class;3;25;1;0;0;6;4;151;
auction-house9857471;control.AcceptOffer;AcceptOffer;class;4;18;1;0;0;2;1;85;
auction-house9857471;mediator.UserThread;UserThread;class;5;25;2;0;13;6;2;102;
auction-house9857471;wsc.WebServiceClient;WebServiceClient;class;4;12;1;0;1;2;1;72;
auction-house9857471;control.StatusManager;StatusManager;class;2;2;1;0;1;2;0;10;
auction-house9857471;gui.BuyerTableView;BuyerTableView;class;3;1;6;0;0;1;0;14;
auction-house9857471;network.Network;Network;class;4;13;1;0;6;2;3;66;
auction-house9857471;gui.StateView;StateView;interface;2;1;1;0;0;1;0;9;
auction-house9857471;gui.SellerTableView;SellerTableView;class;3;1;6;0;0;1;0;14;
auction-house9857471;types.UserType;UserType;enum;0;0;1;0;0;0;0;7;
auction-house9857471;gui.TableState;TableState;class;6;5;1;0;0;1;0;44;
auction-house9857471;types.User;User;class;2;2;1;0;0;2;4;22;
auction-house9857471;gui.TableView;TableView;class;8;51;11;0;0;13;14;244;
auction-house9857471;types.ClientToServerProtocol;ClientToServerProtocol;enum;0;9;1;0;36;9;0;52;
auction-house9857471;mediator.IWSCMediator;IWSCMediator;interface;0;0;1;0;0;0;0;6;
auction-house9857471;types.Product;Product;class;1;1;1;0;0;1;6;18;
auction-house9857471;simulator.WorkerSimulator;WorkerSimulator;class;4;42;1;0;5;4;7;190;
auction-house9857471;gui.LoginState;LoginState;class;5;1;1;0;0;1;0;18;
auction-house9857471;network.INetwork;INetwork;interface;1;1;1;0;0;1;0;9;
auction-house9857471;types.Packet;Packet;class;2;13;1;0;0;11;17;111;
auction-house9857471;gui.MainWindow;MainWindow;class;6;38;6;0;99;14;6;185;
auction-house9857471;types.Status;Status;enum;0;11;1;0;55;11;0;71;
auction-house9857471;network.INetClient;INetClient;interface;0;5;1;0;10;5;0;10;
auction-house9857471;control.TransferProgress;TransferProgress;class;0;10;1;0;0;2;1;39;
auction-house9857471;mediator.IGUIMediator;IGUIMediator;interface;3;6;1;0;15;6;0;19;
auction-house9857471;types.TransferPacket;TransferPacket;class;0;1;1;0;0;1;9;19;
auction-house9857471;network.Client;Client;class;2;34;1;0;0;7;4;190;
auction-house9857471;control.ActionsController;ActionsController;class;1;1;1;0;0;1;1;38;
auction-house9857471;control.Command;Command;interface;1;1;1;0;0;1;0;10;
auction-house9857471;control.DropRequest;DropRequest;class;4;17;1;0;0;2;1;100;
auction-house9857471;mediator.Mediator;Mediator;class;21;34;1;0;52;16;8;214;
auction-house9857471;types.PacketType;PacketType;enum;0;5;1;0;10;5;0;28;
auction-house9857471;gui.CustomPopupMenu;CustomPopupMenu;class;1;6;5;0;0;2;4;61;
auction-house9857471;control.DropAuction;DropAuction;class;4;6;1;0;0;2;1;47;
auction-house9857471;control.MakeOffer;MakeOffer;class;5;25;1;0;0;2;1;104;
auction-house9857471;wsc.IWebServiceClient;IWebServiceClient;interface;2;2;1;0;1;2;0;10;
auction-house9857471;gui.LoginPanel;LoginPanel;class;3;18;5;0;5;6;8;121;
auction-house9857471;gui.ConcreteUserView;ConcreteUserView;class;3;2;1;0;0;2;1;18;
auction-house9857471;gui.DefaultTableModelSer;DefaultTableModelSer;class;0;1;3;0;0;1;1;9;
auction-house9857471;network.Server;Server;class;13;54;1;0;26;8;7;231;
auction-house9857471;control.LaunchRequest;LaunchRequest;class;4;15;1;0;0;2;1;101;
auction-house9857471;simulator.SimulateAuctionHouse;SimulateAuctionHouse;class;4;14;1;0;0;4;1;102;
auction-house9857471;types.UserPublicInfo;UserPublicInfo;class;1;2;1;0;0;2;3;15;
auction-house9857471;control.ViewBestOffer;ViewBestOffer;class;3;12;1;0;0;2;1;57;
auction-house9857471;gui.IMainWindow;IMainWindow;interface;2;12;1;0;66;12;0;22;
auction-house9857471;types.ServerToClientProtocol;ServerToClientProtocol;enum;0;0;1;0;0;0;0;10;
auction-house9857471;network.ClientInformation;ClientInformation;class;2;5;1;0;0;5;3;32;
auction-house9857471;control.RefuseOffer;RefuseOffer;class;4;10;1;0;0;2;1;69;
