file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
dUta4090152;ar.edu.itba.pdc.duta.admin.AdminFilter;AdminFilter;class;24;17;2;0;15;6;2;97;
dUta4090152;ar.edu.itba.pdc.duta.net.Server;Server;class;10;42;1;0;11;14;9;198;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.config.DeleteFilterEndpoint;DeleteFilterEndpoint;class;3;8;2;0;0;1;1;36;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.SimpleParser;SimpleParser;class;3;9;1;0;0;4;1;38;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.DenyIpEndpoint;DenyIpEndpoint;class;2;1;3;0;0;1;0;9;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.http.ImageRotationFilter;ImageRotationFilter;class;12;12;2;0;4;5;2;90;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.ChunkedParser;ChunkedParser;class;4;25;1;0;0;3;5;89;
dUta4090152;ar.edu.itba.pdc.duta.net.buffer.internal.DynamicDataBuffer;DynamicDataBuffer;class;4;52;2;0;0;8;3;194;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.ClientChannelsEndpoint;ClientChannelsEndpoint;class;1;1;3;0;0;1;0;8;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.Filters;Filters;class;4;19;1;0;0;3;6;86;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.BytesEndpoint;BytesEndpoint;class;1;1;3;0;0;1;0;8;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.http.URIFilter;URIFilter;class;9;9;2;0;13;6;1;46;
dUta4090152;ar.edu.itba.pdc.duta.proxy.ClientHandler;ClientHandler;class;8;12;2;0;16;8;2;55;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.ClientBytesEndpoint;ClientBytesEndpoint;class;1;1;3;0;0;1;0;8;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.ParseException;ParseException;class;0;9;3;0;0;5;1;30;
dUta4090152;ar.edu.itba.pdc.duta.net.Reactor;Reactor;class;5;33;1;0;0;10;6;139;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.ServerBytesEndpoint;ServerBytesEndpoint;class;1;1;3;0;0;1;0;8;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.Http10Parser;Http10Parser;class;3;4;1;0;0;3;2;27;
dUta4090152;ar.edu.itba.pdc.duta.http.model.MessageHeader;MessageHeader;class;0;15;1;2;0;11;3;64;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.MessageParser;MessageParser;class;4;46;1;2;0;5;7;146;
dUta4090152;ar.edu.itba.pdc.duta.http.model.MediaType;MediaType;class;2;45;1;0;0;13;30;254;
dUta4090152;ar.edu.itba.pdc.duta.http.MessageFactory;MessageFactory;class;5;10;1;0;21;7;0;50;
dUta4090152;ar.edu.itba.pdc.duta.net.buffer.internal.AbstractDataBuffer;AbstractDataBuffer;class;1;8;1;2;20;8;4;41;
dUta4090152;ar.edu.itba.pdc.duta.admin.Stats;Stats;class;2;17;1;0;60;13;8;60;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.ChannelsEndpoint;ChannelsEndpoint;class;1;1;3;0;0;1;0;8;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.HttpTokenizer;HttpTokenizer;class;1;27;1;0;0;6;2;75;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.http.SizeFilter;SizeFilter;class;8;15;2;0;9;7;2;62;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.L33tEndpoint;L33tEndpoint;class;2;1;3;0;0;1;0;9;
dUta4090152;ar.edu.itba.pdc.duta.proxy.operation.OperationFilter;OperationFilter;class;2;3;1;0;0;3;2;18;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.DenyAllEndpoint;DenyAllEndpoint;class;2;1;3;0;0;1;0;9;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.Endpoint;Endpoint;class;1;1;1;1;0;1;0;5;
dUta4090152;ar.edu.itba.pdc.duta.http.model.Message;Message;class;2;9;1;0;2;5;2;28;
dUta4090152;ar.edu.itba.pdc.duta.http.model.RequestHeader;RequestHeader;class;1;6;2;0;0;6;2;31;
dUta4090152;ar.edu.itba.pdc.duta.proxy.AbstractChannelHandler;AbstractChannelHandler;class;10;48;1;2;59;15;8;160;
dUta4090152;ar.edu.itba.pdc.duta.http.Grammar;Grammar;class;0;8;1;0;6;4;2;51;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.ServerChannelsEndpoint;ServerChannelsEndpoint;class;1;1;3;0;0;1;0;8;
dUta4090152;ar.edu.itba.pdc.duta.http.model.ResponseHeader;ResponseHeader;class;1;5;2;0;0;5;2;28;
dUta4090152;ar.edu.itba.pdc.duta.proxy.ConnectionPool;ConnectionPool;class;3;19;1;0;0;6;2;76;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.DenySizeEndpoint;DenySizeEndpoint;class;2;1;3;0;0;1;0;9;
dUta4090152;ar.edu.itba.pdc.duta.proxy.operation.Operation;Operation;class;15;76;1;0;4;13;11;227;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.config.AddFilterEndpoint;AddFilterEndpoint;class;18;52;2;0;0;3;1;155;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.DenyUrlEndpoint;DenyUrlEndpoint;class;2;1;3;0;0;1;0;9;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.EmptyParser;EmptyParser;class;1;2;1;0;1;2;0;12;
dUta4090152;ar.edu.itba.pdc.duta.net.ChannelHandler;ChannelHandler;interface;3;8;1;0;28;8;0;17;
dUta4090152;ar.edu.itba.pdc.duta.net.buffer.internal.InternalDataBuffer;InternalDataBuffer;interface;1;12;1;0;66;12;0;18;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.BodyParser;BodyParser;interface;0;2;1;0;1;2;0;6;
dUta4090152;ar.edu.itba.pdc.duta.proxy.operation.RequestLog;RequestLog;class;4;8;1;0;0;2;2;37;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.Interest;Interest;class;0;4;1;0;0;4;3;21;
dUta4090152;ar.edu.itba.pdc.duta.net.OutputChannel;OutputChannel;interface;1;1;1;0;0;1;0;5;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.http.MediaTypeFilter;MediaTypeFilter;class;9;9;2;0;13;6;1;44;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.Filter;Filter;interface;1;3;1;0;3;3;0;6;
dUta4090152;ar.edu.itba.pdc.duta.net.ReactorPool;ReactorPool;class;3;13;1;0;0;4;5;53;
dUta4090152;ar.edu.itba.pdc.duta.net.buffer.internal.FileDataBuffer;FileDataBuffer;class;5;8;2;0;0;6;3;52;
dUta4090152;ar.edu.itba.pdc.duta.net.buffer.DataBuffer;DataBuffer;class;7;33;1;0;0;21;6;147;
dUta4090152;ar.edu.itba.pdc.duta.proxy.operation.ChannelProxy;ChannelProxy;class;6;9;1;0;0;5;4;40;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.http.BlockFilter;BlockFilter;class;8;6;2;0;10;5;0;36;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.http.L33tFilter;L33tFilter;class;12;15;2;0;4;5;2;74;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.RotateEndpoint;RotateEndpoint;class;2;1;3;0;0;1;0;9;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.http.HttpFilter;HttpFilter;class;11;14;3;0;28;8;1;63;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.http.IPFilter;IPFilter;class;8;9;2;0;13;6;1;46;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.AbstractStatsEndpoint;AbstractStatsEndpoint;class;3;4;2;13;1;2;0;18;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.RequestParser;RequestParser;class;4;10;2;0;0;2;3;38;
dUta4090152;ar.edu.itba.pdc.duta.proxy.ServerHandler;ServerHandler;class;8;22;2;0;23;10;3;78;
dUta4090152;ar.edu.itba.pdc.duta.http.parser.ResponseParser;ResponseParser;class;4;9;2;0;0;2;3;40;
dUta4090152;ar.edu.itba.pdc.duta.admin.endpoint.stats.DenyTypeEndpoint;DenyTypeEndpoint;class;2;1;3;0;0;1;0;9;
dUta4090152;ar.edu.itba.pdc.duta.http.model.Connection;Connection;enum;2;8;1;0;0;2;1;22;
dUta4090152;ar.edu.itba.pdc.duta.proxy.filter.FilterPart;FilterPart;class;4;4;1;0;6;4;0;16;
dUta4090152;ar.edu.itba.pdc.duta.proxy.operation.MessageHandler;MessageHandler;class;15;80;1;0;0;15;11;217;
