file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
hub-common55809417;com.blackducksoftware.integration.hub.notification.processor.event.NotificationEvent;NotificationEvent;class;1;16;1;0;11;7;4;74;
hub-common55809417;com.blackducksoftware.integration.hub.api.user.UserRequestService;UserRequestService;class;3;2;3;0;1;2;1;41;
hub-common55809417;com.blackducksoftware.integration.hub.dataservice.ItemTransform;ItemTransform;interface;2;1;1;0;0;1;0;28;
hub-common55809417;com.blackducksoftware.integration.hub.api.version.BomComponentVersionPolicyStatus;BomComponentVersionPolicyStatus;class;2;1;3;0;0;1;1;32;
hub-common55809417;com.blackducksoftware.integration.hub.dataservice.notification.NotificationDataService;NotificationDataService;class;24;5;2;0;0;5;8;115;
hub-common55809417;com.blackducksoftware.integration.hub.dataservice.notification.NotificationResults;NotificationResults;class;1;7;1;0;2;5;2;54;
hub-common55809417;com.blackducksoftware.integration.hub.dataservice.notification.transformer.PolicyViolationClearedTransformer;PolicyViolationClearedTransformer;class;18;14;3;0;10;5;0;124;
hub-common55809417;com.blackducksoftware.integration.hub.request.HubRequest;HubRequest;class;10;36;1;0;85;19;5;173;
hub-common55809417;com.blackducksoftware.integration.hub.notification.processor.NotificationCategoryEnum;NotificationCategoryEnum;enum;0;0;1;0;0;0;0;33;
hub-common55809417;com.blackducksoftware.integration.hub.api.notification.RuleViolationNotificationItem;RuleViolationNotificationItem;class;2;1;4;0;0;1;1;30;
hub-common55809417;com.blackducksoftware.integration.hub.api.nonpublic.HubRegistrationRequestService;HubRegistrationRequestService;class;3;2;2;0;1;2;1;44;
hub-common55809417;com.blackducksoftware.integration.hub.api.report.risk.RiskCategories;RiskCategories;class;2;50;1;0;0;9;5;120;
hub-common55809417;com.blackducksoftware.integration.hub.api.vulnerability.VulnerabilityItem;VulnerabilityItem;class;1;16;3;0;120;16;16;91;
hub-common55809417;com.blackducksoftware.integration.hub.api.component.version.ComplexLicense;ComplexLicense;class;5;6;3;0;15;6;6;52;
hub-common55809417;com.blackducksoftware.integration.hub.notification.processor.MockProcessor;MockProcessor;class;11;3;2;0;1;2;0;53;
hub-common55809417;com.blackducksoftware.integration.hub.buildtool.FilePathGavExtractor;FilePathGavExtractor;class;1;14;1;0;1;2;0;65;
hub-common55809417;com.blackducksoftware.integration.hub.buildtool.Gav;Gav;class;0;9;1;0;8;9;4;68;
hub-common55809417;com.blackducksoftware.integration.hub.scan.HubScanConfig;HubScanConfig;class;4;27;1;0;154;20;15;158;
hub-common55809417;com.blackducksoftware.integration.hub.dataservice.notification.model.VulnerabilityContentItem;VulnerabilityContentItem;class;4;4;2;0;0;4;3;55;
hub-common55809417;com.blackducksoftware.integration.hub.api.component.ComponentRequestService;ComponentRequestService;class;5;8;3;0;3;3;1;57;
hub-common55809417;com.blackducksoftware.integration.hub.notification.processor.MapProcessorCacheTest;MapProcessorCacheTest;class;3;17;1;0;10;5;0;139;
hub-common55809417;com.blackducksoftware.integration.hub.api.notification.RuleViolationClearedNotificationContent;RuleViolationClearedNotificationContent;class;2;11;1;0;45;11;5;71;
hub-common55809417;com.blackducksoftware.integration.hub.service.HubServicesFactory;HubServicesFactory;class;38;35;1;0;0;35;2;191;
hub-common55809417;com.blackducksoftware.integration.hub.api.notification.PolicyOverrideNotificationContent;PolicyOverrideNotificationContent;class;1;21;1;0;190;21;10;111;
hub-common55809417;com.blackducksoftware.integration.hub.api.report.ReportRequestService;ReportRequestService;class;15;23;3;0;14;8;4;161;
hub-common55809417;com.blackducksoftware.integration.hub.global.HubProxyInfoFieldEnum;HubProxyInfoFieldEnum;enum;0;2;1;0;0;2;1;38;
hub-common55809417;com.blackducksoftware.integration.hub.api.notification.NotificationType;NotificationType;enum;0;2;1;0;0;2;1;37;
hub-common55809417;com.blackducksoftware.integration.hub.api.policy.PolicyExpression;PolicyExpression;class;3;35;1;0;4;8;3;97;
hub-common55809417;com.blackducksoftware.integration.hub.api.project.ProjectRequestService;ProjectRequestService;class;7;13;3;0;3;6;1;78;
hub-common55809417;com.blackducksoftware.integration.hub.validator.HubServerConfigValidator;HubServerConfigValidator;class;14;63;2;0;375;31;17;288;
hub-common55809417;com.blackducksoftware.integration.hub.global.GlobalFieldKey;GlobalFieldKey;interface;0;0;1;0;0;0;0;26;
hub-common55809417;com.blackducksoftware.integration.hub.util.HostnameHelper;HostnameHelper;class;0;9;1;0;0;1;0;65;
hub-common55809417;com.blackducksoftware.integration.hub.api.user.UserType;UserType;enum;0;0;1;0;0;0;0;27;
hub-common55809417;com.blackducksoftware.integration.hub.validator.HubCredentialsValidator;HubCredentialsValidator;class;4;12;2;0;16;8;2;68;
hub-common55809417;com.blackducksoftware.integration.hub.notification.processor.SubProcessorCache;SubProcessorCache;interface;1;4;1;0;6;4;0;33;
hub-common55809417;com.blackducksoftware.integration.hub.api.report.VersionReport;VersionReport;class;3;41;1;0;0;11;2;146;
hub-common55809417;com.blackducksoftware.integration.hub.notification.processor.MockEventProcessor;MockEventProcessor;class;13;38;2;0;105;15;1;205;
hub-common55809417;com.blackducksoftware.integration.hub.api.scan.ScanLocationItem;ScanLocationItem;class;3;90;1;0;78;21;9;206;
hub-common55809417;com.blackducksoftware.integration.hub.dataservice.notification.transformer.AbstractNotificationTransformer;AbstractNotificationTransformer;class;13;18;1;2;39;11;6;127;
hub-common55809417;com.blackducksoftware.integration.hub.meta.MetaAllowEnum;MetaAllowEnum;enum;0;0;1;0;0;0;0;27;
hub-common55809417;com.blackducksoftware.integration.hub.api.item.ParameterizedListType;ParameterizedListType;class;1;19;1;0;3;6;1;63;
hub-common55809417;com.blackducksoftware.integration.hub.api.policy.PolicyRule;PolicyRule;class;2;9;3;0;36;9;9;64;
hub-common55809417;com.blackducksoftware.integration.hub.StreamRedirectThread;StreamRedirectThread;class;0;6;2;0;0;2;2;53;
hub-common55809417;com.blackducksoftware.integration.hub.api.policy.PolicyRequestService;PolicyRequestService;class;3;2;3;0;1;2;1;41;
hub-common55809417;com.blackducksoftware.integration.hub.api.project.ProjectItem;ProjectItem;class;2;5;3;0;10;5;5;52;
hub-common55809417;com.blackducksoftware.integration.hub.dataservice.parallel.ParallelResourceProcessorResults;ParallelResourceProcessorResults;class;1;9;1;0;2;5;2;56;
hub-common55809417;com.blackducksoftware.integration.hub.api.report.UserData;UserData;class;1;30;1;0;0;7;2;92;
hub-common55809417;com.blackducksoftware.integration.hub.notification.processor.MapProcessorCache;MapProcessorCache;class;2;11;1;0;0;7;1;68;
