file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
incode-module-commchannel43349170;org.incode.module.commchannel.integtests.emailaddress.EmailAddress_update_IntegTest;EmailAddress_update_IntegTest;class;16;6;13;0;0;6;5;86;
incode-module-commchannel43349170;org.incode.module.commchannel.dom.CommChannelModule;CommChannelModule;class;1;3;1;0;1;3;11;56;
incode-module-commchannel43349170;org.incode.module.commchannel.dom.impl.ownerlink.CommunicationChannelOwnerLink;CommunicationChannelOwnerLink;class;33;16;14;1;39;10;4;205;
incode-module-commchannel43349170;org.incode.module.commchannel.fixture.scripts.CommChannelDemoObjectsFixtureScriptsSpecificationProvider;CommChannelDemoObjectsFixtureScriptsSpecificationProvider;class;5;1;1;0;0;1;0;40;
incode-module-commchannel43349170;org.incode.module.commchannel.dom.impl.channel.T_communicationChannels;T_communicationChannels;class;11;2;2;0;0;2;2;56;
incode-module-commchannel43349170;org.incode.module.commchannel.integtests.CommChannelModuleIntegTest;CommChannelModuleIntegTest;class;26;12;2;11;28;7;4;112;
incode-module-commchannel43349170;org.incode.module.commchannel.dom.impl.gmap3.LocationDereferencingServiceForCommunicationChannels;LocationDereferencingServiceForCommunicationChannels;class;7;5;1;0;1;3;1;50;
incode-module-commchannel43349170;org.incode.module.commchannel.fixture.dom.CommunicationChannelPurposeRepositoryForDemo;CommunicationChannelPurposeRepositoryForDemo;class;3;5;1;0;0;1;0;42;
incode-module-commchannel43349170;org.incode.module.commchannel.fixture.dom.CommChannelDemoObject;CommChannelDemoObject;class;7;6;1;0;8;5;3;80;
incode-module-commchannel43349170;org.incode.module.commchannel.integtests.phoneorfaxnumber.PhoneOrFaxNumber_update_IntegTest;PhoneOrFaxNumber_update_IntegTest;class;16;8;19;0;0;8;5;107;
incode-module-commchannel43349170;org.incode.module.commchannel.dom.api.GeocodedAddress;GeocodedAddress;class;9;43;1;0;0;16;2;161;
incode-module-commchannel43349170;org.incode.module.commchannel.dom.impl.postaladdress.PostalAddress;PostalAddress;class;28;5;27;0;0;2;11;196;
