file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
myassist17657335;org.sjitech.myassist.test.testunit.dto.PersonInfo;PersonInfo;class;2;8;1;0;20;8;4;37;
myassist17657335;org.sjitech.myassist.core.db.object.TableObject;TableObject;class;1;7;1;0;3;7;3;84;
myassist17657335;org.sjitech.myassist.core.unit.Params;Params;class;0;4;1;0;2;4;2;41;
myassist17657335;org.sjitech.myassist.view.views.UnitSuiteView;UnitSuiteView;class;1;1;2;0;0;1;0;20;
myassist17657335;org.sjitech.myassist.core.db.inspect.AbstractConnectionInspect;AbstractConnectionInspect;class;3;11;1;1;0;6;2;79;
myassist17657335;org.sjitech.myassist.test.testdb.TestDriver;TestDriver;class;9;9;1;0;0;4;2;56;
myassist17657335;org.sjitech.myassist.view.menus.PerspectiveMenu;PerspectiveMenu;class;1;12;1;0;6;4;3;65;
myassist17657335;org.sjitech.myassist.test.testunit.dto.OurLive;OurLive;class;1;0;2;0;0;0;0;3;
myassist17657335;org.sjitech.myassist.test.testunit.dto.MyLive;MyLive;class;2;1;1;1;0;1;0;11;
myassist17657335;org.sjitech.myassist.core.unit.UnitCase;UnitCase;class;2;18;1;0;135;18;9;154;
myassist17657335;org.sjitech.myassist.view.views.PanelMetaData;PanelMetaData;class;1;0;2;0;0;0;0;11;
myassist17657335;org.sjitech.myassist.Application;Application;class;20;18;1;0;58;14;5;208;
myassist17657335;org.sjitech.myassist.core.i18n.Messages;Messages;class;1;5;1;0;0;1;0;25;
myassist17657335;org.sjitech.myassist.test.testunit.dto.Live;Live;interface;1;1;1;0;0;1;0;4;
myassist17657335;org.sjitech.myassist.test.testunit.dto.Address;Address;class;1;6;1;0;9;6;3;28;
myassist17657335;org.sjitech.myassist.core.db.ConnectionInspect;ConnectionInspect;interface;2;9;1;0;36;9;0;63;
myassist17657335;org.sjitech.myassist.Main;Main;class;1;6;1;0;1;2;0;44;
myassist17657335;org.sjitech.myassist.view.views.BeanTable;BeanTable;class;2;2;2;0;1;2;1;26;
myassist17657335;org.sjitech.myassist.core.db.object.SchemaObject;SchemaObject;class;0;5;1;1;0;5;2;55;
myassist17657335;org.sjitech.myassist.view.TopToolBar;TopToolBar;class;4;2;5;0;1;2;1;67;
myassist17657335;org.sjitech.myassist.view.swing.JToggleButtonEx;JToggleButtonEx;class;0;20;6;0;37;10;3;108;
myassist17657335;org.sjitech.myassist.core.db.inspect.OracleConnectionInspect;OracleConnectionInspect;class;1;1;3;0;0;1;0;13;
myassist17657335;org.sjitech.myassist.core.db.TableInspect;TableInspect;interface;1;0;1;0;0;0;0;10;
myassist17657335;org.sjitech.myassist.test.testunit.bo.IPerson;IPerson;interface;1;2;1;0;1;2;0;6;
myassist17657335;org.sjitech.myassist.core.db.object.ColumnObject;ColumnObject;class;0;17;1;0;88;17;8;176;
myassist17657335;org.sjitech.myassist.test.testunit.TestUnitCase;TestUnitCase;class;12;11;1;0;6;4;1;90;
myassist17657335;org.sjitech.myassist.view.swing.JSplitButton;JSplitButton;class;2;69;7;0;412;33;11;396;
myassist17657335;org.sjitech.myassist.core.unit.Result;Result;class;0;6;1;0;9;6;3;57;
myassist17657335;org.sjitech.myassist.view.swing.JRolloverButton;JRolloverButton;class;0;16;6;1;37;10;3;104;
myassist17657335;org.sjitech.myassist.view.images.IconSet;IconSet;class;1;10;1;0;1;2;1;50;
myassist17657335;org.sjitech.myassist.view.FrameMain;FrameMain;class;2;3;2;0;1;2;1;53;
myassist17657335;org.sjitech.myassist.core.db.config.ConfigConnection;ConfigConnection;class;1;14;1;0;77;14;7;122;
myassist17657335;org.sjitech.myassist.core.db.inspect.CommonConnectionInspect;CommonConnectionInspect;class;4;18;2;2;10;5;0;120;
myassist17657335;org.sjitech.myassist.view.views.UnitCasesView;UnitCasesView;class;1;3;2;0;0;1;0;22;
myassist17657335;org.sjitech.myassist.view.views.ConsoleView;ConsoleView;class;5;4;2;0;0;4;2;56;
myassist17657335;org.sjitech.myassist.core.db.config.DBType;DBType;enum;3;3;1;0;0;3;2;48;
myassist17657335;org.sjitech.myassist.view.menus.WindowMenu;WindowMenu;class;2;2;7;0;0;2;1;38;
myassist17657335;org.sjitech.myassist.core.utils.ClassUtils;ClassUtils;class;8;13;1;0;8;4;1;104;
myassist17657335;org.sjitech.myassist.core.db.inspect.DB2ConnectionInspect;DB2ConnectionInspect;class;1;1;3;0;0;1;0;14;
myassist17657335;org.sjitech.myassist.core.db.ObjectInspect;ObjectInspect;interface;0;0;1;0;0;0;0;10;
myassist17657335;org.sjitech.myassist.view.utils.ResourceUtils;ResourceUtils;class;0;8;1;0;1;2;0;45;
myassist17657335;org.sjitech.myassist.view.views.PanelConnection;PanelConnection;class;1;0;2;0;0;0;0;11;
myassist17657335;org.sjitech.myassist.core.db.DriverInspectManager;DriverInspectManager;class;6;8;1;0;0;1;1;62;
myassist17657335;org.sjitech.myassist.view.docks.Minimizer;Minimizer;class;23;49;4;0;82;16;9;287;
myassist17657335;org.sjitech.myassist.view.views.DBTable;DBTable;class;1;7;2;0;21;7;1;39;
myassist17657335;org.sjitech.myassist.test.testunit.bo.PersonBO;PersonBO;class;5;3;1;0;3;3;0;24;
myassist17657335;org.sjitech.myassist.view.menus.FileMenu;FileMenu;class;1;5;7;0;1;3;1;40;
myassist17657335;org.sjitech.myassist.core.ApplicationException;ApplicationException;class;0;4;4;0;6;4;1;36;
myassist17657335;org.sjitech.myassist.view.menus.ViewMenu;ViewMenu;class;4;21;13;0;0;12;3;114;
