file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.settings.ThumbnailSizes;ThumbnailSizes;class;0;0;1;0;0;0;5;18;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.AlbumGridView;AlbumGridView;class;18;28;3;3;77;14;9;174;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.ListItemView;ListItemView;class;10;14;3;1;15;7;3;75;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.LoadMoreButton;LoadMoreButton;class;6;8;1;0;0;6;4;63;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.ApiCache;ApiCache;class;9;21;1;0;0;11;3;224;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.GridItem;GridItem;class;11;38;3;0;136;25;11;233;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.ApiRequestTask;ApiRequestTask;class;4;6;2;0;0;3;6;85;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.ListItem;ListItem;class;14;50;3;0;184;25;24;295;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.model.CategoryModel;CategoryModel;class;0;0;1;0;0;0;6;19;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.HomeView;HomeView;class;13;14;2;0;0;4;6;92;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.PopularReleasesView;PopularReleasesView;class;3;3;3;0;3;3;2;40;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.model.TrackModel;TrackModel;class;2;8;2;0;1;3;2;58;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.ArtistInfoView;ArtistInfoView;class;10;23;4;0;6;9;4;138;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.AlbumView;AlbumView;class;16;16;2;0;0;5;7;134;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.SearchView;SearchView;class;24;57;3;0;69;14;14;281;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.QueryPager;QueryPager;class;1;10;1;0;2;9;3;68;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.ViewManager;ViewManager;interface;2;6;1;0;15;6;0;59;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.settings.ApiEndpoint;ApiEndpoint;class;0;18;1;0;91;14;5;161;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.NewReleasesView;NewReleasesView;class;3;3;3;0;3;3;2;39;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.model.ArtistModel;ArtistModel;class;2;2;2;0;1;2;0;28;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.utils.CategoryBarUtils;CategoryBarUtils;class;3;7;1;0;15;5;0;44;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.model.GenreModel;GenreModel;class;1;4;1;0;0;3;2;46;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.MenuItem;MenuItem;class;5;17;2;0;29;10;9;111;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.settings.Placeholders;Placeholders;class;6;12;1;0;3;3;3;85;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.LineSeparator;LineSeparator;class;2;6;2;0;15;6;0;40;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.ArtistView;ArtistView;class;14;23;2;0;8;12;9;181;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.InitializableView;InitializableView;interface;0;1;1;0;0;1;0;14;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.ArtistsListView;ArtistsListView;class;13;8;3;0;2;5;2;74;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.Main;Main;class;9;27;2;0;31;11;3;168;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.model.AlbumModel;AlbumModel;class;12;26;3;0;21;10;4;140;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.model.PerformerModel;PerformerModel;class;1;3;1;0;0;2;2;40;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.JSONResponseHandler;JSONResponseHandler;class;4;3;1;0;0;1;0;36;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.GridLayout;GridLayout;class;7;37;2;0;91;18;14;241;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.data.model.GenericProductModel;GenericProductModel;class;5;22;1;1;1;7;11;152;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.SimilarArtistsView;SimilarArtistsView;class;9;5;3;0;0;4;1;57;
nokia-asha-music-explorer11813470;com.nokia.example.musicexplorer.ui.GenresListView;GenresListView;class;13;14;3;0;11;6;6;100;
