file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
thzcomm49751140;eu.selfhost.reiling.THZComm;THZComm;class;11;91;1;0;122;20;17;445;
thzcomm49751140;org.json.HTTPTokener;HTTPTokener;class;2;13;2;0;1;2;0;68;
thzcomm49751140;org.json.JSONML;JSONML;class;4;121;1;0;21;7;0;416;
thzcomm49751140;org.json.JSONStringer;JSONStringer;class;1;3;2;0;1;2;0;70;
thzcomm49751140;eu.selfhost.reiling.THZCommTest;THZCommTest;class;2;7;1;0;21;7;0;88;
thzcomm49751140;org.json.JSONArray;JSONArray;class;4;135;1;0;1135;50;1;916;
thzcomm49751140;org.json.JSONObject;JSONObject;class;6;331;1;0;2285;70;2;1581;
thzcomm49751140;org.json.HTTP;HTTP;class;3;12;1;0;1;2;1;144;
thzcomm49751140;org.json.XML;XML;class;4;133;1;0;21;7;9;428;
thzcomm49751140;org.json.CDL;CDL;class;4;57;1;0;45;10;0;262;
thzcomm49751140;eu.selfhost.reiling.THZReader;THZReader;class;6;115;1;0;15;10;7;463;
thzcomm49751140;org.json.JSONString;JSONString;interface;0;1;1;0;0;1;0;18;
thzcomm49751140;org.json.XMLTokener;XMLTokener;class;3;102;2;0;21;7;1;330;
thzcomm49751140;org.json.JSONException;JSONException;class;0;3;4;0;1;3;2;39;
thzcomm49751140;org.json.Property;Property;class;1;8;1;0;1;2;0;64;
thzcomm49751140;org.json.CookieList;CookieList;class;2;8;1;0;1;2;0;80;
thzcomm49751140;org.json.JSONTokener;JSONTokener;class;4;87;1;1;127;18;7;396;
thzcomm49751140;org.json.Cookie;Cookie;class;3;27;1;0;6;4;0;156;
thzcomm49751140;org.json.JSONWriter;JSONWriter;class;3;51;1;0;35;14;6;296;
