file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.UserDaoImpl;UserDaoImpl;class;7;8;1;0;0;8;3;88;
-SWE573-SoftwarePractice51458387;com.foodcoop.jdbc.UserRowMapper;UserRowMapper;class;3;1;1;0;0;1;0;20;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.CustomUserDetailsService;CustomUserDetailsService;class;15;11;1;0;1;2;2;58;
-SWE573-SoftwarePractice51458387;com.foodcoop.jdbc.UserRoleRowMapper;UserRoleRowMapper;class;3;1;1;0;0;1;0;15;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.UserService;UserService;interface;1;8;1;0;28;8;0;13;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.ProducerService;ProducerService;interface;1;5;1;0;10;5;0;10;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.UnitService;UnitService;interface;1;5;1;0;10;5;0;10;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.Producer;Producer;class;1;12;1;0;54;12;6;47;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.StockService;StockService;interface;1;4;1;0;6;4;0;9;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.UnitDaoImpl;UnitDaoImpl;class;7;5;1;0;0;5;3;57;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.StockServiceImpl;StockServiceImpl;class;6;5;1;0;0;4;2;34;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.LoginLogoutController;LoginLogoutController;class;6;5;1;0;3;3;1;37;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.UserRoleServiceImpl;UserRoleServiceImpl;class;4;5;1;0;0;5;1;30;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.GlobalExceptionHandlingController;GlobalExceptionHandlingController;class;6;2;1;0;1;2;1;26;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.SaleDaoImpl;SaleDaoImpl;class;9;3;1;0;0;3;3;47;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.UserRoleService;UserRoleService;interface;1;5;1;0;10;5;0;11;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.CategoryController;CategoryController;class;8;4;1;0;1;2;1;23;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.UserRoleDaoImpl;UserRoleDaoImpl;class;8;8;1;0;0;6;3;70;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.Product;Product;class;1;28;1;0;350;28;14;104;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.ProductServiceImpl;ProductServiceImpl;class;9;7;1;0;0;5;3;53;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.SaleDetailDaoImpl;SaleDetailDaoImpl;class;7;3;1;0;0;3;3;43;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.UserRoleDao;UserRoleDao;interface;1;6;1;0;15;6;0;11;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.Unit;Unit;class;0;6;1;0;9;6;3;24;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.SaleDao;SaleDao;interface;1;3;1;0;3;3;0;8;
-SWE573-SoftwarePractice51458387;SalesTest;SalesTest;class;8;3;1;0;0;3;3;43;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.ProducerDao;ProducerDao;interface;1;5;1;0;10;5;0;10;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.Category;Category;class;0;6;1;0;9;6;4;26;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.CategoryDaoImpl;CategoryDaoImpl;class;7;5;1;0;0;5;3;57;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.ProducerDaoImpl;ProducerDaoImpl;class;7;5;1;0;0;5;3;57;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.UserServiceImpl;UserServiceImpl;class;8;22;1;0;0;8;2;117;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.UnitServiceImpl;UnitServiceImpl;class;4;5;1;0;0;5;1;29;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.HttpExceptionHandler;HttpExceptionHandler;class;4;2;1;0;1;2;0;15;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.User;User;class;0;30;1;0;405;30;16;115;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.Role;Role;class;0;0;1;0;0;0;0;3;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.CategoryDao;CategoryDao;interface;1;5;1;0;10;5;0;10;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.ProductDao;ProductDao;interface;1;5;1;0;10;5;0;10;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.ProductDaoImpl;ProductDaoImpl;class;7;5;1;0;0;5;3;57;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.CustomGenericException;CustomGenericException;class;0;5;4;0;0;5;3;22;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.CategoryService;CategoryService;interface;1;5;1;0;10;5;0;10;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.Stock;Stock;class;1;10;1;0;35;10;5;38;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.ProductService;ProductService;interface;1;5;1;0;10;5;0;10;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.StockController;StockController;class;10;2;1;0;0;1;3;34;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.UserDao;UserDao;interface;1;8;1;0;28;8;0;14;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.ProductCotroller;ProductCotroller;class;19;14;1;0;9;7;5;111;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.StockDao;StockDao;interface;1;4;1;0;6;4;0;9;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.ProducerController;ProducerController;class;16;13;1;0;9;7;2;87;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.SaleDetail;SaleDetail;class;0;12;1;0;54;12;6;45;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.CategoryServiceImpl;CategoryServiceImpl;class;4;5;1;0;0;5;1;29;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.SaleServiceImpl;SaleServiceImpl;class;6;10;1;0;7;7;2;62;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.HomePageController;HomePageController;class;10;14;1;0;0;12;2;97;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.UnitController;UnitController;class;8;4;1;0;1;2;1;23;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.UnitDao;UnitDao;interface;1;5;1;0;10;5;0;10;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.StockDaoImpl;StockDaoImpl;class;7;4;1;0;0;4;3;51;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.ProducerServiceImpl;ProducerServiceImpl;class;4;5;1;0;0;5;1;29;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.UserRole;UserRole;class;0;8;1;0;20;8;5;33;
-SWE573-SoftwarePractice51458387;com.foodcoop.controller.SaleController;SaleController;class;10;4;1;0;1;3;2;45;
-SWE573-SoftwarePractice51458387;com.foodcoop.dao.SaleDetailDao;SaleDetailDao;interface;1;3;1;0;3;3;0;8;
-SWE573-SoftwarePractice51458387;com.foodcoop.domain.Sale;Sale;class;1;18;1;0;135;18;9;69;
-SWE573-SoftwarePractice51458387;com.foodcoop.services.SaleService;SaleService;interface;2;6;1;0;15;6;0;12;
