file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.exercises.lecture5.SmartAIStrategyTest;SmartAIStrategyTest;class;4;4;1;0;0;2;1;35
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.solutions.lecture5.CalculatorUnitTest;CalculatorUnitTest;class;4;6;1;0;0;6;1;39
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.exercises.lecture2.Player;Player;class;0;4;1;0;2;4;2;18
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.examples.lecture3.lawofdemeter.C;C;class;1;2;1;0;0;2;1;11
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.demos.lecture4.TestSQLInjection;TestSQLInjection;class;9;115;2;0;64;12;23;879
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.examples.lecture3.lawofdemeter.X;X;class;1;2;1;0;0;2;1;10
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.examples.lecture7.hamcrest.CollectionMatcherDemoTest;CollectionMatcherDemoTest;class;1;5;1;0;1;2;0;25
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.solutions.lecture6.fizzbuzz.FizzBuzz;FizzBuzz;class;1;9;1;0;1;2;0;15
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.exercises.lecture5.helper.PlayerHelper;PlayerHelper;class;3;6;1;0;6;4;0;27
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.examples.lecture7.mockito.FakeImplementationDemoTest;FakeImplementationDemoTest;class;7;9;1;0;3;6;3;61
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.solutions.lecture6.fizzbuzz.FizzBuzzTest;FizzBuzzTest;class;3;8;1;0;8;8;1;56
AgileSoftwareDevelopmentInPractice11178461;de.kimminich.agile.examples.lecture2.MeaningfulNames;MeaningfulNames;class;0;0;1;0;0;0;8;15
