file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
AllBinary-Platform1953077;org.allbinary.graphics.form.item.ImageStringItem;ImageStringItem;class;0;0;1;0;0;0;0;4
AllBinary-Platform1953077;org.allbinary.logic.util.cache.AbstractArrayListPool;AbstractArrayListPool;class;4;6;1;2;8;5;2;48
AllBinary-Platform1953077;org.allbinary.game.layer.special.SpecialDownGameInputProcessor;SpecialDownGameInputProcessor;class;4;2;3;0;1;2;0;29
AllBinary-Platform1953077;org.allbinary.image.opengles.OpenGLImageSpecificFactory;OpenGLImageSpecificFactory;class;2;3;1;0;1;3;2;33
AllBinary-Platform1953077;org.allbinary.game.combat.damage.DamageUtil;DamageUtil;class;4;5;1;0;3;3;0;58
AllBinary-Platform1953077;org.allbinary.logic.system.hardware.HardwareFactory;HardwareFactory;class;5;6;1;0;3;3;1;46
AllBinary-Platform1953077;org.allbinary.media.graphics.geography.map.GeographicMapCellPosition;GeographicMapCellPosition;class;3;4;3;0;0;4;2;53
AllBinary-Platform1953077;org.allbinary.input.automation.actions.script.condition.AlwaysActionScriptCondition;AlwaysActionScriptCondition;class;6;17;4;0;35;10;3;110
AllBinary-Platform1953077;org.allbinary.game.displayable.canvas.PreGameLockableFormPaintableFactory;PreGameLockableFormPaintableFactory;class;5;2;3;0;0;2;1;32
AllBinary-Platform1953077;org.allbinary.animation.NullRotationAnimationFactory;NullRotationAnimationFactory;class;5;4;1;0;4;4;2;36
AllBinary-Platform1953077;org.allbinary.animation.VectorRotationGenerator;VectorRotationGenerator;class;9;8;1;0;6;5;3;88
AllBinary-Platform1953077;org.allbinary.graphics.form.item.CustomItemCommandListener;CustomItemCommandListener;interface;0;0;1;0;0;0;0;4
AllBinary-Platform1953077;views.business.context.modules.storefront.customizer.includes.globals.EditGlobalsValidationView;EditGlobalsValidationView;class;5;11;5;0;10;5;0;69
AllBinary-Platform1953077;org.allbinary.input.automation.module.configuration.InputAutomationModuleConfiguration;InputAutomationModuleConfiguration;class;4;16;1;0;48;12;3;127
AllBinary-Platform1953077;org.allbinary.graphics.form.item.TextFieldItem;TextFieldItem;class;4;5;4;0;10;5;0;23
AllBinary-Platform1953077;org.allbinary.thirdparty.store.ThirdPartyStoreFactory;ThirdPartyStoreFactory;class;2;2;1;0;1;2;1;32
AllBinary-Platform1953077;org.allbinary.input.motion.button.BasicTouchInputFactory;BasicTouchInputFactory;class;4;8;1;0;0;5;14;86
AllBinary-Platform1953077;bundle.input.automation.module.configuration.InputAutomationConfigurationModuleChangeListener;InputAutomationConfigurationModuleChangeListener;interface;1;2;1;0;1;2;0;22
AllBinary-Platform1953077;org.allbinary.game.part.weapon.BasicWeaponPartFactoryInterface;BasicWeaponPartFactoryInterface;interface;1;1;1;0;0;1;0;21
AllBinary-Platform1953077;admin.tags.PaymentProcessTag;PaymentProcessTag;class;3;14;10;0;3;3;0;84
AllBinary-Platform1953077;org.allbinary.logic.communication.log.PreLogUtil;PreLogUtil;class;0;7;1;0;4;5;2;89
AllBinary-Platform1953077;org.allbinary.business.user.modules.admin.store.customer.CustomerStoreAdminUser;CustomerStoreAdminUser;class;2;4;2;0;6;4;0;37
AllBinary-Platform1953077;org.allbinary.business.init.db.DbConnectionInfo;DbConnectionInfo;class;1;23;1;1;192;21;12;160
AllBinary-Platform1953077;org.allbinary.logic.basic.NotImplemented;NotImplemented;class;0;0;1;0;0;0;1;18
AllBinary-Platform1953077;org.allbinary.game.ai.ReverseVelocityBoundsVisitor;ReverseVelocityBoundsVisitor;class;4;15;1;0;0;7;2;85
AllBinary-Platform1953077;org.allbinary.logic.basic.util.event.handler.BasicEventHandlerInterface;BasicEventHandlerInterface;interface;3;5;1;0;10;5;0;25
AllBinary-Platform1953077;org.allbinary.midlet.MidletFactoryInterface;MidletFactoryInterface;class;1;1;1;0;0;1;0;21
AllBinary-Platform1953077;org.allbinary.logic.control.validate.ValidatorBase;ValidatorBase;class;3;6;1;2;15;6;1;61
AllBinary-Platform1953077;org.allbinary.logic.system.hardware.components.interfaces.HardwareComponentInterface;HardwareComponentInterface;interface;1;2;1;0;1;2;0;19
AllBinary-Platform1953077;org.allbinary.logic.communication.http.request.session.WeblisketSession;WeblisketSession;class;10;36;1;0;0;26;1;242
AllBinary-Platform1953077;tags.admin.DateRangeOrderHistoryTag;DateRangeOrderHistoryTag;class;1;10;10;0;3;3;1;105
AllBinary-Platform1953077;org.allbinary.graphics.form.item.CommandTextItemArrayFactory;CommandTextItemArrayFactory;class;7;10;1;0;0;2;2;79
AllBinary-Platform1953077;org.allbinary.logic.visual.transform.info.CustomizerTransformInfoData;CustomizerTransformInfoData;class;0;1;1;0;0;1;1;21
AllBinary-Platform1953077;org.allbinary.business.user.commerce.money.payment.gateway.modules.processor.echo.response.EchoResponseTypeThreeData;EchoResponseTypeThreeData;class;0;1;1;0;0;1;1;21
AllBinary-Platform1953077;org.allbinary.logic.visual.transform.info.TransformInfoFactory;TransformInfoFactory;class;1;2;1;0;1;2;0;25
AllBinary-Platform1953077;org.allbinary.logic.visual.media.MediaData;MediaData;class;1;13;1;0;24;9;4;74
AllBinary-Platform1953077;org.allbinary.game.layer.VehicleProperties;VehicleProperties;class;2;4;1;0;0;4;2;39
AllBinary-Platform1953077;org.allbinary.logic.communication.sql.AbSqlTableUtil;AbSqlTableUtil;class;11;50;1;0;0;6;26;287
AllBinary-Platform1953077;org.allbinary.logic.communication.sql.AbSqlData;AbSqlData;class;0;1;1;0;0;1;6;26
AllBinary-Platform1953077;org.allbinary.logic.visual.dhtml.html.input.HtmlSubmitInput;HtmlSubmitInput;class;1;1;4;0;0;1;0;21
AllBinary-Platform1953077;views.generic.shipping.ValidationView;ValidationView;class;5;5;5;0;10;5;0;40
AllBinary-Platform1953077;org.allbinary.graphics.form.item.StringComponent;StringComponent;class;1;4;1;0;6;4;0;15
AllBinary-Platform1953077;org.allbinary.animation.image.AllBinaryImageAnimation;AllBinaryImageAnimation;class;4;11;3;1;47;11;2;77
AllBinary-Platform1953077;org.allbinary.math.AngleIncrementInfo;AngleIncrementInfo;class;3;13;1;0;0;5;7;79
AllBinary-Platform1953077;org.allbinary.media.graphics.geography.map.drop.BaseDropCellPositionGenerator;BaseDropCellPositionGenerator;class;5;4;1;2;6;4;0;43
AllBinary-Platform1953077;org.allbinary.business.user.modules.configuration.UserConfigurationData;UserConfigurationData;class;0;1;1;0;0;1;3;24
AllBinary-Platform1953077;views.admin.inventory.download.AddFileValidationView;AddFileValidationView;class;13;94;5;0;19;7;2;439
AllBinary-Platform1953077;org.allbinary.game.configuration.GameOptionsFormFactory;GameOptionsFormFactory;class;4;4;1;0;3;3;1;52
AllBinary-Platform1953077;org.allbinary.logic.system.os.NoOperatingSystem;NoOperatingSystem;class;1;1;2;0;0;1;0;25
AllBinary-Platform1953077;org.allbinary.game.ai.ScrollOverXImmediateYStopAI;ScrollOverXImmediateYStopAI;class;5;10;3;0;1;2;0;56
AllBinary-Platform1953077;org.allbinary.input.motion.gyro.action.DownOrientationInputToGameKeyEventAction;DownOrientationInputToGameKeyEventAction;class;2;2;3;0;1;2;1;30
AllBinary-Platform1953077;org.allbinary.game.input.PlatformFormInputMappingFactory;PlatformFormInputMappingFactory;class;3;4;1;0;0;1;2;52
AllBinary-Platform1953077;org.allbinary.logic.visual.dhtml.html.head.meta.HtmlMetaAttributeData;HtmlMetaAttributeData;class;1;5;1;0;0;3;2;39
AllBinary-Platform1953077;org.allbinary.media.AllBinaryVibration;AllBinaryVibration;class;3;6;2;0;4;4;1;42
AllBinary-Platform1953077;org.allbinary.layer.Layer;Layer;class;1;19;1;1;69;15;7;115
AllBinary-Platform1953077;views.generic.user.UpdateValidationUserView;UpdateValidationUserView;class;6;24;4;0;9;6;1;102
AllBinary-Platform1953077;org.allbinary.math.NoDecimalTrigTable;NoDecimalTrigTable;class;4;41;1;0;1;7;5;1252
AllBinary-Platform1953077;org.allbinary.game.displayable.canvas.ImmediateCommandFormInputProcessor;ImmediateCommandFormInputProcessor;class;7;17;5;0;0;5;1;106
AllBinary-Platform1953077;org.allbinary.animation.compound.SimultaneousCompoundRotationAnimationInterfaceFactory;SimultaneousCompoundRotationAnimationInterfaceFactory;class;4;5;1;0;0;4;1;45
AllBinary-Platform1953077;org.allbinary.game.score.NoHighScoresFactory;NoHighScoresFactory;class;4;3;1;1;1;3;2;31
AllBinary-Platform1953077;org.allbinary.data.tables.user.commerce.money.payment.PaymentEntityInterface;PaymentEntityInterface;interface;2;7;1;0;21;7;0;28
AllBinary-Platform1953077;org.allbinary.graphics.canvas.transition.progress.AndroidTitleProgressBar;AndroidTitleProgressBar;class;9;26;5;0;0;15;6;193
AllBinary-Platform1953077;views.generic.address.billing.DeleteValidationView;DeleteValidationView;class;7;9;5;0;8;5;1;59
AllBinary-Platform1953077;org.allbinary.animation.image.sprite.AdjustedSpriteIndexedAnimationFactory;AdjustedSpriteIndexedAnimationFactory;class;6;3;2;0;1;3;2;44
AllBinary-Platform1953077;org.allbinary.game.layer.pickup.points.PointsLayerCircularStaticPool;PointsLayerCircularStaticPool;class;5;2;3;0;1;2;0;30
AllBinary-Platform1953077;org.allbinary.game.layer.hud.basic.notification.GameNotificationHudCompositeInterface;GameNotificationHudCompositeInterface;interface;1;1;1;0;0;1;0;18
AllBinary-Platform1953077;org.allbinary.game.displayable.canvas.EndLevelIntermissionProcessor;EndLevelIntermissionProcessor;class;2;2;2;0;0;2;1;27
AllBinary-Platform1953077;org.allbinary.business.time.modified.TimeLastModified;TimeLastModified;class;1;2;2;0;1;2;0;26
AllBinary-Platform1953077;org.allbinary.view.StaticViewPosition;StaticViewPosition;class;1;4;3;0;6;4;0;33
AllBinary-Platform1953077;admin.taghelpers.OrderItemsHelper;OrderItemsHelper;class;3;25;1;0;8;5;1;114
AllBinary-Platform1953077;org.allbinary.business.quoterequest.QuoteRequestData;QuoteRequestData;class;1;2;1;0;1;2;7;30
AllBinary-Platform1953077;org.allbinary.time.LicenseStupidTimerFactory;LicenseStupidTimerFactory;class;1;1;1;0;0;1;1;22
AllBinary-Platform1953077;org.allbinary.logic.communication.http.request.AbResponseHandler;AbResponseHandler;class;8;29;1;0;15;6;0;137
AllBinary-Platform1953077;admin.tags.DownloadItemsTag;DownloadItemsTag;class;4;9;5;0;1;2;0;55
AllBinary-Platform1953077;org.allbinary.game.layer.pickup.PickupProcessorInterface;PickupProcessorInterface;interface;1;1;1;0;0;1;0;18
AllBinary-Platform1953077;org.allbinary.business.installer.DeleteCloud;DeleteCloud;class;2;11;1;0;1;2;0;85
AllBinary-Platform1953077;org.allbinary.game.layer.special.SpecialStrafeRightGameInputInterfaceProcessor;SpecialStrafeRightGameInputInterfaceProcessor;class;4;2;3;0;1;2;0;29
AllBinary-Platform1953077;org.allbinary.game.midlet.LicenseLoadingType;LicenseLoadingType;class;0;1;1;0;0;1;0;22
AllBinary-Platform1953077;tags.admin.inventory.InventoryTag;InventoryTag;class;1;18;10;0;1;2;0;84
AllBinary-Platform1953077;views.admin.inventory.UpdateFileValidationView;UpdateFileValidationView;class;11;55;5;0;19;7;1;228
AllBinary-Platform1953077;views.business.context.modules.storefront.customizer.bodies.generic.title.TitleBodyCustomizerView;TitleBodyCustomizerView;class;7;9;4;0;4;4;2;75
AllBinary-Platform1953077;org.allbinary.thirdparty.store.ThirdPartyStore;ThirdPartyStore;class;1;5;1;0;6;5;2;56
AllBinary-Platform1953077;org.allbinary.image.opengles.OpenGLESGL10Image;OpenGLESGL10Image;class;5;7;3;0;2;5;5;264
AllBinary-Platform1953077;org.allbinary.business.user.commerce.money.payment.gateway.PaymentGatewayInterfaceFactory;PaymentGatewayInterfaceFactory;class;5;14;1;0;6;4;0;84
AllBinary-Platform1953077;org.allbinary.game.input.PreGameSelectionGameInputProcessor;PreGameSelectionGameInputProcessor;class;11;17;2;0;20;8;6;117
AllBinary-Platform1953077;org.allbinary.input.motion.button.TouchButtonsBuilderFactory;TouchButtonsBuilderFactory;class;1;1;1;0;0;1;0;21
AllBinary-Platform1953077;org.allbinary.graphics.displayable.MyCanvas;MyCanvas;class;9;23;2;2;140;20;4;165
AllBinary-Platform1953077;org.allbinary.logic.system.hardware.components.linux.Usb;Usb;class;2;3;1;0;1;3;1;32
AllBinary-Platform1953077;org.allbinary.game.collision.CollidableNeverCollideBehaviorFactory;CollidableNeverCollideBehaviorFactory;class;1;1;1;0;0;1;1;22
AllBinary-Platform1953077;tags.generic.order.history.OrderHistoryTag;OrderHistoryTag;class;3;16;10;0;4;4;1;143
AllBinary-Platform1953077;org.allbinary.data.tables.context.module.storefronts.StoreFrontsEntity;StoreFrontsEntity;class;6;21;6;0;34;9;1;189
AllBinary-Platform1953077;org.allbinary.input.automation.module.game.BasicGameInputAutomationActionInterface;BasicGameInputAutomationActionInterface;interface;1;2;1;0;1;2;0;22
AllBinary-Platform1953077;org.allbinary.game.layer.drop.DropLayerInterface;DropLayerInterface;interface;2;1;1;0;0;1;0;20
AllBinary-Platform1953077;org.allbinary.media.graphics.geography.map.drop.DropCellPositionGeneratorInterface;DropCellPositionGeneratorInterface;interface;4;4;1;0;6;4;0;30
AllBinary-Platform1953077;org.allbinary.media.image.comparison.ImageComparisonWorker;ImageComparisonWorker;class;10;13;2;0;7;6;5;121
