file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.plugin.UnsupportedServerVersionException;UnsupportedServerVersionException;class;1;3;2;0;1;3;2;40
BaseBukkitPlugin1508994;com.iminurnetz.util.YamlLoadTest;YamlLoadTest;class;2;1;2;0;0;1;0;12
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.Item;Item;class;6;24;1;0;34;13;2;98
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.KnownMob;KnownMob;enum;4;14;1;0;6;4;2;89
BaseBukkitPlugin1508994;com.iminurnetz.util.StringUtils;StringUtils;class;0;41;1;0;55;11;0;137
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.permissions.PermissionHandler;PermissionHandler;interface;1;3;1;0;3;3;0;30
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.plugin.BaseBukkitPlugin;BaseBukkitPlugin;class;1;1;3;0;0;1;0;30
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.BlockLocation;BlockLocation;class;3;12;1;0;5;10;5;77
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.permissions.NijikokunPermissions;NijikokunPermissions;class;3;4;1;0;0;4;1;43
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.MaterialInstance;MaterialInstance;class;3;7;1;0;0;7;2;54
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.plugin.BukkitPlugin;BukkitPlugin;class;12;97;2;0;573;35;10;360
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.SerializableItemStack;SerializableItemStack;class;3;14;1;0;4;12;5;81
BaseBukkitPlugin1508994;com.iminurnetz.util.BasicFormatter;BasicFormatter;class;0;2;2;0;1;2;0;53
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.permissions.GroupManagerPermissions;GroupManagerPermissions;class;7;15;1;0;0;8;1;78
BaseBukkitPlugin1508994;com.iminurnetz.util.PersistentProperty;PersistentProperty;class;0;64;1;0;0;27;5;209
BaseBukkitPlugin1508994;com.iminurnetz.util.Version;Version;class;1;16;1;0;9;7;1;63
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.plugin.BukkitPermissionHandler;BukkitPermissionHandler;class;3;4;1;0;0;4;1;45
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.BukkitVersion;BukkitVersion;class;2;13;1;0;3;6;2;66
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.MaterialUtils;MaterialUtils;class;11;253;1;0;2701;74;3;726
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.SerializableBlockType;SerializableBlockType;class;2;7;1;0;15;7;3;54
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.permissions.DefaultPermissions;DefaultPermissions;class;2;7;1;0;7;7;2;53
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.plugin.util.ConfigurationService;ConfigurationService;class;2;22;1;0;93;18;9;112
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.plugin.util.MessageUtilsTest;MessageUtilsTest;class;2;2;2;0;1;2;0;37
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.TimeOfDayTest;TimeOfDayTest;class;2;8;2;0;0;1;0;57
BaseBukkitPlugin1508994;com.iminurnetz.util.StringUtilsTest;StringUtilsTest;class;1;5;2;0;10;5;0;64
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.ItemsByIdComparator;ItemsByIdComparator;class;1;1;1;0;0;1;0;32
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.MaterialUtilsTest;MaterialUtilsTest;class;4;27;2;0;36;9;0;107
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.permissions.PermissionHandlerService;PermissionHandlerService;class;12;9;1;0;0;2;1;72
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.LocationUtil;LocationUtil;class;7;71;1;0;66;12;0;234
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.TimeOfDay;TimeOfDay;enum;1;34;1;0;32;9;2;94
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.SerializableItemStackTest;SerializableItemStackTest;class;3;1;2;0;0;1;0;39
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.TimeUtils;TimeUtils;class;0;0;1;0;0;0;0;26
BaseBukkitPlugin1508994;com.iminurnetz.util.VersionTest;VersionTest;class;2;4;2;0;6;4;0;26
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.plugin.BukkitPluginSelfUpdateTest;BukkitPluginSelfUpdateTest;class;6;5;4;0;4;5;1;28
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.BukkitVersionTest;BukkitVersionTest;class;2;2;2;0;1;2;0;16
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.permissions.PermissionsExPermissions;PermissionsExPermissions;class;4;4;1;0;0;4;1;48
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.InventoryUtil;InventoryUtil;class;13;72;1;0;105;15;0;232
BaseBukkitPlugin1508994;com.iminurnetz.util.DownloadUtils;DownloadUtils;class;1;14;1;0;6;4;0;104
BaseBukkitPlugin1508994;com.iminurnetz.util.EnumUtil;EnumUtil;class;1;2;1;0;1;2;0;32
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.plugin.util.MessageUtils;MessageUtils;class;3;11;1;0;15;6;0;61
BaseBukkitPlugin1508994;com.iminurnetz.bukkit.util.ArmorUtil;ArmorUtil;class;7;32;1;0;24;8;2;131
