file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
BoostSRL76990217;edu.wisc.cs.will.Utils.NamedInputStream;NamedInputStream;class;1;11;2;0;0;11;2;50
BoostSRL76990217;edu.wisc.cs.will.ILP.InitializeILPsearchSpace;InitializeILPsearchSpace;class;19;144;2;0;97;15;5;328
BoostSRL76990217;edu.wisc.cs.will.FOPC.visitors.ReplacePredicatesVisitor;ReplacePredicatesVisitor;class;7;6;2;0;1;2;1;37
BoostSRL76990217;edu.wisc.cs.will.ILP.CrossValidationFoldResult;CrossValidationFoldResult;class;3;23;1;0;73;15;6;124
BoostSRL76990217;edu.wisc.cs.will.FOPC.LiteralAsTerm;LiteralAsTerm;class;10;34;3;0;0;16;1;104
BoostSRL76990217;edu.wisc.cs.will.Utils.parameters.ParameterBuilder;ParameterBuilder;class;0;0;1;0;0;0;0;15
BoostSRL76990217;edu.wisc.cs.will.FOPC.visitors.DefaultSentenceVisitor;DefaultSentenceVisitor;class;9;22;1;0;24;9;1;79
BoostSRL76990217;edu.wisc.cs.will.FOPC.TermToDoubleTypeConverter;TermToDoubleTypeConverter;class;5;5;1;0;6;4;1;28
BoostSRL76990217;edu.wisc.cs.will.FOPC.Clause;Clause;class;15;456;3;2;1701;83;7;1028
BoostSRL76990217;edu.wisc.cs.will.ILP.LearnOneClause;LearnOneClause;class;82;1137;2;0;20225;211;138;3499
BoostSRL76990217;edu.wisc.cs.will.FOPC.NamedTerm;NamedTerm;class;3;30;1;0;0;4;7;55
BoostSRL76990217;edu.wisc.cs.will.Boosting.Common.RunBoostedModels;RunBoostedModels;class;8;58;1;4;112;20;6;191
BoostSRL76990217;edu.wisc.cs.will.stdAIsearch.StateBasedSearchInputStream;StateBasedSearchInputStream;interface;1;1;1;0;0;1;0;12
BoostSRL76990217;edu.wisc.cs.will.Boosting.RDN.JointModelSampler;JointModelSampler;class;21;141;2;0;153;19;5;589
BoostSRL76990217;edu.wisc.cs.will.ResThmProver.DefaultHornClausebase;DefaultHornClausebase;class;25;231;1;0;1577;62;13;762
BoostSRL76990217;edu.wisc.cs.will.ILP.StoppingCondition;StoppingCondition;interface;1;1;1;0;0;1;0;20
BoostSRL76990217;edu.wisc.cs.will.MLN_Inference.AllOfInference;AllOfInference;class;0;4;1;5;0;4;17;50
BoostSRL76990217;edu.wisc.cs.will.ILP.CVMaximumObtainableAverageCoverageStoppingCondition;CVMaximumObtainableAverageCoverageStoppingCondition;class;8;38;1;0;24;17;5;230
BoostSRL76990217;edu.wisc.cs.will.Utils.parameters.DoubleParameter;DoubleParameter;class;3;17;2;0;10;5;0;61
BoostSRL76990217;edu.wisc.cs.will.FOPC.Function;Function;class;19;310;3;0;205;59;6;537
BoostSRL76990217;edu.wisc.cs.will.FOPC.RecordReferenceMap;RecordReferenceMap;class;3;9;1;0;0;5;3;37
BoostSRL76990217;edu.wisc.cs.will.ResThmProver.HornClauseContext;HornClauseContext;interface;9;14;1;0;91;14;0;128
BoostSRL76990217;edu.wisc.cs.will.FOPC.DoBuiltInMath;DoBuiltInMath;class;15;208;2;0;21;10;3;487
BoostSRL76990217;edu.wisc.cs.will.ILP.Regression.RegressionVectorInfoHolderForRDN;RegressionVectorInfoHolderForRDN;class;9;24;3;0;78;13;0;112
BoostSRL76990217;edu.wisc.cs.will.stdAIsearch.ClosedList;ClosedList;class;2;8;1;0;26;8;1;32
BoostSRL76990217;edu.wisc.cs.will.Boosting.Trees.RegressionMLNModel;RegressionMLNModel;class;8;30;3;0;22;9;2;196
BoostSRL76990217;edu.wisc.cs.will.FOPC.AbstractUserDefinedFunctionAsLiteral;AbstractUserDefinedFunctionAsLiteral;class;10;49;2;0;31;11;3;266
BoostSRL76990217;edu.wisc.cs.will.FOPC.TreeStructuredTheoryInteriorNode;TreeStructuredTheoryInteriorNode;class;11;104;3;0;270;32;10;271
BoostSRL76990217;edu.wisc.cs.will.Boosting.Trees.FeatureTree;FeatureTree;class;7;22;2;0;10;5;0;77
BoostSRL76990217;edu.wisc.cs.will.stdAIsearch.ChildrenNodeGenerator;ChildrenNodeGenerator;class;2;5;1;0;8;5;1;33
BoostSRL76990217;edu.wisc.cs.will.MLN_Task.Block;Block;class;7;149;1;0;152;36;15;515
BoostSRL76990217;edu.wisc.cs.will.MLN_Inference.Inference;Inference;class;5;52;2;1;49;11;8;133
BoostSRL76990217;edu.wisc.cs.will.ResThmProver.LazyGroundClauseIndex;LazyGroundClauseIndex;class;9;83;4;0;0;12;8;278
BoostSRL76990217;edu.wisc.cs.will.FOPC.DoBuiltInListProcessing;DoBuiltInListProcessing;class;11;72;2;0;24;9;14;199
BoostSRL76990217;edu.wisc.cs.will.ILP.TuneParametersForILP;TuneParametersForILP;class;17;367;1;0;626;49;44;954
BoostSRL76990217;edu.wisc.cs.will.Boosting.RDN.Models.DependencyNode;DependencyNode;class;1;15;1;1;63;15;3;82
BoostSRL76990217;edu.wisc.cs.will.DataSetUtils.RegressionExample;RegressionExample;class;7;24;5;0;45;14;7;109
BoostSRL76990217;edu.wisc.cs.will.FOPC.RecordReference;RecordReference;class;4;6;4;0;13;6;4;50
