file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Camelry8853228;me.alanfoster.camelry.camel.dom.AbstractKeyStoreParametersFactoryBean;AbstractKeyStoreParametersFactoryBean;interface;5;4;1;0;6;4;0;29
Camelry8853228;me.alanfoster.camelry.camel.simple.language.tooling.highlighter.SimpleSyntaxHighlighterFactory;SimpleSyntaxHighlighterFactory;class;6;1;2;0;0;1;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.AbstractJsseUtilFactoryBean;AbstractJsseUtilFactoryBean;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.CamelServiceExporterDefinition;CamelServiceExporterDefinition;interface;6;4;1;0;6;4;0;29
Camelry8853228;me.alanfoster.camelry.blueprint.language.psi.InjectionElementType;InjectionElementType;class;3;1;2;0;0;1;0;14
Camelry8853228;me.alanfoster.camelry.camel.dom.CatchDefinition;CatchDefinition;interface;63;62;1;0;1891;62;0;149
Camelry8853228;me.alanfoster.camelry.camel.dom.FinallyDefinition;FinallyDefinition;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleMemberAccess;SimpleMemberAccess;interface;4;2;1;0;1;2;0;10
Camelry8853228;me.alanfoster.camelry.blueprint.language.InjectionParser;InjectionParser;class;7;28;1;0;10;5;1;84
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleRightHandSide;SimpleRightHandSide;interface;4;2;1;0;1;2;0;10
Camelry8853228;foo.bar.Address;Address;class;0;0;1;0;0;0;3;16
Camelry8853228;me.alanfoster.camelry.camel.dom.RoutesDefinition;RoutesDefinition;interface;5;2;1;0;1;2;0;21
Camelry8853228;me.alanfoster.camelry.blueprint.model.BlueprintManagerImpl;BlueprintManagerImpl;class;23;33;2;0;78;13;1;190
Camelry8853228;me.alanfoster.camelry.camel.dom.SortDefinition;SortDefinition;interface;5;1;1;0;0;1;0;20
Camelry8853228;me.alanfoster.camelry.camel.dom.ContextScanDefinition;ContextScanDefinition;interface;1;2;1;0;1;2;0;19
Camelry8853228;me.alanfoster.camelry.camel.dom.CamelEndpointFactoryBean;CamelEndpointFactoryBean;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.ExchangePattern;ExchangePattern;enum;0;2;1;0;0;2;1;24
Camelry8853228;me.alanfoster.camelry.camel.dom.ConverterEntry;ConverterEntry;interface;4;1;1;0;0;1;0;20
Camelry8853228;me.alanfoster.camelry.camel.dom.MethodCallExpression;MethodCallExpression;interface;14;4;1;0;6;4;0;38
Camelry8853228;me.alanfoster.camelry.camel.dom.InOutDefinition;InOutDefinition;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.PollEnrichDefinition;PollEnrichDefinition;interface;6;4;1;0;6;4;0;29
Camelry8853228;me.alanfoster.camelry.camel.dom.ThrowExceptionDefinition;ThrowExceptionDefinition;interface;9;1;1;0;0;1;0;22
Camelry8853228;me.alanfoster.camelry.camel.livetemplates.CamelContextTemplateContext;CamelContextTemplateContext;class;5;2;3;0;1;2;2;26
Camelry8853228;me.alanfoster.camelry.blueprint.dom.impl.BlueprintImpl;BlueprintImpl;class;3;3;1;0;0;1;0;31
Camelry8853228;me.alanfoster.camelry.camel.dom.GroovyExpression;GroovyExpression;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.CamelProxyFactoryDefinition;CamelProxyFactoryDefinition;interface;6;4;1;0;6;4;0;29
Camelry8853228;me.alanfoster.camelry.camel.dom.CamelRouteContextFactoryBean;CamelRouteContextFactoryBean;interface;3;1;1;0;0;1;0;18
Camelry8853228;me.alanfoster.camelry.blueprint.language.psi.InjectionPropertyDefinition;InjectionPropertyDefinition;interface;4;6;1;0;15;6;0;15
Camelry8853228;me.alanfoster.camelry.camel.simple.language.impl.SimpleNumericLiteralImpl;SimpleNumericLiteralImpl;class;6;4;2;0;1;2;0;16
Camelry8853228;me.alanfoster.camelry.camel.dom.OnCompletionDefinition;OnCompletionDefinition;interface;66;64;1;0;2016;64;0;159
Camelry8853228;me.alanfoster.camelry.camel.dom.SSLContextParametersFactoryBean;SSLContextParametersFactoryBean;interface;13;12;1;0;66;12;0;35
Camelry8853228;me.alanfoster.camelry.camel.dom.MvelExpression;MvelExpression;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.XMLSecurityDataFormat;XMLSecurityDataFormat;interface;6;7;1;0;21;7;0;38
Camelry8853228;me.alanfoster.camelry.camel.simple.file.SimpleFileTypeFactory;SimpleFileTypeFactory;class;3;1;2;0;0;1;0;19
Camelry8853228;me.alanfoster.camelry.camel.dom.TokenizerExpression;TokenizerExpression;interface;8;8;1;0;28;8;0;42
Camelry8853228;me.alanfoster.camelry.camel.dom.LoadBalancerDefinition;LoadBalancerDefinition;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.liveTemplates.RouteTemplateContextTests;RouteTemplateContextTests;class;2;5;4;0;10;5;0;27
Camelry8853228;me.alanfoster.camelry.blueprint.language.psi.impl.BlueprintInjectionPropertyDefinitionImpl;BlueprintInjectionPropertyDefinitionImpl;class;5;2;2;0;1;2;0;21
Camelry8853228;me.alanfoster.camelry.camel.dom.CastorDataFormat;CastorDataFormat;interface;6;5;1;0;10;5;0;32
Camelry8853228;me.alanfoster.camelry.camel.dom.FilterParametersDefinition;FilterParametersDefinition;interface;1;2;1;0;1;2;0;19
Camelry8853228;me.alanfoster.camelry.camel.dom.AliasEntry;AliasEntry;interface;4;2;1;0;1;2;0;23
Camelry8853228;me.alanfoster.camelry.camel.simple.language.impl.SimpleSingleStringCharactersImpl;SimpleSingleStringCharactersImpl;class;6;4;2;0;1;2;0;16
Camelry8853228;me.alanfoster.camelry.blueprint.language.impl.InjectionPropertyDefinitionImpl;InjectionPropertyDefinitionImpl;class;10;10;3;0;28;8;0;39
Camelry8853228;me.alanfoster.camelry.blueprint.language.psi.InjectionTokenType;InjectionTokenType;class;3;2;2;0;1;2;0;18
Camelry8853228;me.alanfoster.camelry.camel.dom.RecipientListDefinition;RecipientListDefinition;interface;7;10;1;0;45;10;0;47
Camelry8853228;me.alanfoster.camelry.camel.dom.LoggingLevel;LoggingLevel;enum;0;2;1;0;0;2;1;22
Camelry8853228;me.alanfoster.camelry.camel.dom.SimpleExpression;SimpleExpression;interface;5;1;1;0;0;1;0;20
Camelry8853228;me.alanfoster.camelry.blueprint.language.psi.InjectionVisitor;InjectionVisitor;class;5;3;2;0;3;3;0;15
Camelry8853228;me.alanfoster.camelry.camel.dom.ManagementStatisticsLevel;ManagementStatisticsLevel;enum;0;2;1;0;0;2;1;19
Camelry8853228;me.alanfoster.camelry.common.ConnectionFactory;ConnectionFactory;class;2;13;1;0;66;13;6;57
Camelry8853228;me.alanfoster.camelry.camel.dom.RouteDefinition;RouteDefinition;interface;71;72;1;0;2556;72;0;183
Camelry8853228;me.alanfoster.camelry.camel.dom.PropertiesDefinition;PropertiesDefinition;interface;2;1;1;0;0;1;0;18
Camelry8853228;me.alanfoster.camelry.blueprint.language.lexer.InjectionLexer;InjectionLexer;class;5;66;1;0;194;24;33;414
Camelry8853228;me.alanfoster.camelry.camel.dom.ThreadsDefinition;ThreadsDefinition;interface;10;9;1;0;36;9;0;44
Camelry8853228;me.alanfoster.camelry.blueprint.language.injector.BlueprintInjectionLanguageInjector;BlueprintInjectionLanguageInjector;class;10;3;1;0;0;1;1;49
Camelry8853228;me.alanfoster.camelry.blueprint.dom.model.BlueprintBeanPointer;BlueprintBeanPointer;interface;10;2;1;0;1;2;0;37
Camelry8853228;me.alanfoster.camelry.camel.dom.RedeliveryPolicyDefinition;RedeliveryPolicyDefinition;interface;6;18;1;0;153;18;0;71
Camelry8853228;me.alanfoster.camelry.camel.converters.ComponentDefinitionReferenceConverter;ComponentDefinitionReferenceConverter;class;15;13;2;0;6;4;1;88
Camelry8853228;me.alanfoster.camelry.configuration.CamelryConfigurationService;CamelryConfigurationService;class;7;4;1;0;0;4;1;39
Camelry8853228;me.alanfoster.camelry.camel.tooling.CreateCamelFile;CreateCamelFile;class;5;4;2;0;6;4;0;53
Camelry8853228;me.alanfoster.camelry.blueprint.language.highlight.InjectionSyntaxHighlighterColors;InjectionSyntaxHighlighterColors;class;1;0;1;0;0;0;4;14
Camelry8853228;me.alanfoster.camelry.camel.dom.ThreadPoolRejectedPolicy;ThreadPoolRejectedPolicy;enum;0;2;1;0;0;2;1;20
Camelry8853228;me.alanfoster.camelry.camel.dom.TrustManagersParametersFactoryBean;TrustManagersParametersFactoryBean;interface;3;1;1;0;0;1;0;18
Camelry8853228;me.alanfoster.camelry.camel.dom.DynamicRouterDefinition;DynamicRouterDefinition;interface;6;2;1;0;1;2;0;23
Camelry8853228;me.alanfoster.camelry.camel.simple.language.impl.SimpleSimpleExpressionBodyImpl;SimpleSimpleExpressionBodyImpl;class;8;6;2;0;6;4;0;32
Camelry8853228;me.alanfoster.camelry.camel.dom.CamelProducerTemplateFactoryBean;CamelProducerTemplateFactoryBean;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.blueprint.language.CompletionCodeInsightTest;CompletionCodeInsightTest;class;1;4;3;0;6;4;0;42
Camelry8853228;me.alanfoster.camelry.camel.dom.ExpressionDefinition;ExpressionDefinition;interface;6;4;1;0;6;4;0;35
Camelry8853228;me.alanfoster.camelry.camel.dom.SqlExpression;SqlExpression;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.simple.language.impl.SimpleIdentifierImpl;SimpleIdentifierImpl;class;6;4;2;0;1;2;0;16
Camelry8853228;me.alanfoster.camelry.camel.dom.SerializationDataFormat;SerializationDataFormat;interface;2;0;1;0;0;0;0;17
Camelry8853228;foo.bar.PersonDatabase;PersonDatabase;class;1;0;1;0;0;0;1;23
Camelry8853228;me.alanfoster.camelry.blueprint.dom.inspectors.BlueprintDOMInspection;BlueprintDOMInspection;class;3;1;2;0;0;1;0;12
Camelry8853228;me.alanfoster.camelry.camel.dom.BindyDataFormat;BindyDataFormat;interface;8;4;1;0;6;4;0;30
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleTokenType;SimpleTokenType;class;3;1;2;0;0;1;0;16
Camelry8853228;me.alanfoster.camelry.blueprint.dom.inspection.DuplicatedBeanIdInspectionTest;DuplicatedBeanIdInspectionTest;class;2;8;3;0;28;5;0;65
Camelry8853228;me.alanfoster.camelry.camel.simple.language.impl.SimpleSimpleImpl;SimpleSimpleImpl;class;11;8;2;0;15;6;0;36
Camelry8853228;me.alanfoster.camelry.blueprint.language.psi.BlueprintInjectionPropertyDefinition;BlueprintInjectionPropertyDefinition;interface;2;0;1;0;0;0;0;9
Camelry8853228;me.alanfoster.camelry.camel.dom.OmitFieldEntry;OmitFieldEntry;interface;4;2;1;0;1;2;0;21
Camelry8853228;me.alanfoster.camelry.camel.dom.SSLContextClientParametersFactoryBean;SSLContextClientParametersFactoryBean;interface;8;5;1;0;10;5;0;24
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleMemberAccessKey;SimpleMemberAccessKey;interface;5;4;1;0;6;4;0;14
Camelry8853228;foo.bar.Manager;Manager;class;2;0;2;0;0;0;2;19
Camelry8853228;me.alanfoster.camelry.camel.dom.KeyManagersParametersFactoryBean;KeyManagersParametersFactoryBean;interface;3;1;1;0;0;1;0;18
Camelry8853228;me.alanfoster.camelry.camel.simple.language.tooling.autocomplete.SimpleCompletionContributor;SimpleCompletionContributor;class;6;4;2;0;3;2;1;39
Camelry8853228;me.alanfoster.camelry.karaf.dom.KarafBundle;KarafBundle;interface;3;1;1;0;0;1;0;12
Camelry8853228;me.alanfoster.camelry.blueprint.language.BlueprintInjectionLanguage;BlueprintInjectionLanguage;class;2;1;2;0;0;1;2;13
Camelry8853228;me.alanfoster.camelry.camel.dom.BeanDefinition;BeanDefinition;interface;12;3;1;0;3;3;0;39
Camelry8853228;me.alanfoster.camelry.camel.dom.TopicLoadBalancerDefinition;TopicLoadBalancerDefinition;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.PythonExpression;PythonExpression;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.RoutingSlipDefinition;RoutingSlipDefinition;interface;6;2;1;0;1;2;0;23
Camelry8853228;me.alanfoster.camelry.camel.dom.BatchResequencerConfig;BatchResequencerConfig;interface;7;5;1;0;10;5;0;32
Camelry8853228;me.alanfoster.camelry.camel.dom.ResequenceDefinition;ResequenceDefinition;interface;85;83;1;0;3403;83;0;197
Camelry8853228;me.alanfoster.camelry.camel.dom.JavaScriptExpression;JavaScriptExpression;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.RouteBuilderDefinition;RouteBuilderDefinition;interface;6;1;1;0;0;1;0;21
Camelry8853228;me.alanfoster.camelry.camel.dom.AbstractCamelProducerTemplateFactoryBean;AbstractCamelProducerTemplateFactoryBean;interface;6;2;1;0;1;2;0;23
Camelry8853228;me.alanfoster.camelry.camel.dom.EnrichDefinition;EnrichDefinition;interface;5;3;1;0;3;3;0;26
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleSingleStringCharacters;SimpleSingleStringCharacters;interface;1;0;1;0;0;0;0;5
Camelry8853228;me.alanfoster.camelry.blueprint.language.contributors.InjectionPsiReferenceContributor;InjectionPsiReferenceContributor;class;10;2;2;0;1;1;0;25
Camelry8853228;me.alanfoster.camelry.camel.dom.CamelJMXAgentDefinition;CamelJMXAgentDefinition;interface;7;12;1;0;66;12;0;53
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleElementType;SimpleElementType;class;3;1;2;0;0;1;0;16
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleNumericLiteral;SimpleNumericLiteral;interface;1;0;1;0;0;0;0;5
Camelry8853228;me.alanfoster.camelry.camel.dom.SoapJaxbDataFormat;SoapJaxbDataFormat;interface;6;3;1;0;3;3;0;27
Camelry8853228;me.alanfoster.camelry.camel.dom.SyslogDataFormat;SyslogDataFormat;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.simple.language.impl.SimpleStringLiteralImpl;SimpleStringLiteralImpl;class;7;5;2;0;3;3;0;21
Camelry8853228;me.alanfoster.camelry.camel.dom.FilterDefinition;FilterDefinition;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.XmlJsonDataFormat;XmlJsonDataFormat;interface;6;12;1;0;66;12;0;53
Camelry8853228;me.alanfoster.camelry.camel.dom.ThrottleDefinition;ThrottleDefinition;interface;7;4;1;0;6;4;0;29
Camelry8853228;me.alanfoster.camelry.camel.converters.BeanPointerMethodConverter;BeanPointerMethodConverter;class;10;9;2;2;10;5;0;78
Camelry8853228;me.alanfoster.camelry.camel.livetemplates.CamelryTemplateContext;CamelryTemplateContext;class;10;8;2;1;6;4;0;62
Camelry8853228;me.alanfoster.camelry.blueprint.language.support.InjectionFoldingBuilder;InjectionFoldingBuilder;class;12;8;3;0;4;5;1;63
Camelry8853228;me.alanfoster.camelry.camel.dom.ImplicitCollectionList;ImplicitCollectionList;interface;2;1;1;0;0;1;0;18
Camelry8853228;me.alanfoster.camelry.karaf.dom.KarafFeaturesFileDescription;KarafFeaturesFileDescription;class;4;2;2;0;1;2;1;28
Camelry8853228;me.alanfoster.camelry.camel.dom.InOnlyDefinition;InOnlyDefinition;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.blueprint.language.IgnoredInjectionParsing;IgnoredInjectionParsing;class;3;4;2;0;6;4;0;28
Camelry8853228;me.alanfoster.camelry.camel.dom.CamelRedeliveryPolicyFactoryBean;CamelRedeliveryPolicyFactoryBean;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.ELExpression;ELExpression;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.ImplicitCollectionEntry;ImplicitCollectionEntry;interface;4;2;1;0;1;2;0;21
Camelry8853228;me.alanfoster.camelry.camel.dom.MulticastDefinition;MulticastDefinition;interface;7;8;1;0;28;8;0;41
Camelry8853228;me.alanfoster.camelry.blueprint.language.psi.InjectionPsiImplUtil;InjectionPsiImplUtil;class;12;14;1;0;15;6;0;63
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleSimple;SimpleSimple;interface;6;4;1;0;6;4;0;14
Camelry8853228;me.alanfoster.camelry.camel.dom.TryDefinition;TryDefinition;interface;2;0;1;0;0;0;0;17
Camelry8853228;me.alanfoster.camelry.camel.dom.FromDefinition;FromDefinition;interface;10;2;1;0;1;2;0;26
Camelry8853228;me.alanfoster.camelry.karaf.dom.KarafDomValidation;KarafDomValidation;class;6;2;2;0;1;2;0;18
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleRelationalExpression;SimpleRelationalExpression;interface;5;3;1;0;3;3;0;12
Camelry8853228;me.alanfoster.camelry.camel.simple.language.psi.SimpleStringLiteral;SimpleStringLiteral;interface;3;1;1;0;0;1;0;8
Camelry8853228;me.alanfoster.camelry.camel.dom.XStreamDataFormat;XStreamDataFormat;interface;5;4;1;0;6;4;0;31
Camelry8853228;me.alanfoster.camelry.karaf.dom.KarafRepository;KarafRepository;class;0;0;1;0;0;0;0;7
Camelry8853228;me.alanfoster.camelry.camel.converters.CamelBeanMethodConverter;CamelBeanMethodConverter;class;3;2;3;0;1;2;0;16
Camelry8853228;me.alanfoster.camelry.blueprint.dom.model.BeanProperty;BeanProperty;interface;7;1;1;0;0;1;0;28
Camelry8853228;me.alanfoster.camelry.camel.dom.AbstractCamelRedeliveryPolicyFactoryBean;AbstractCamelRedeliveryPolicyFactoryBean;interface;7;18;1;0;153;18;0;71
Camelry8853228;me.alanfoster.camelry.camel.dom.PGPDataFormat;PGPDataFormat;interface;6;5;1;0;10;5;0;32
Camelry8853228;me.alanfoster.camelry.common.CustomException;CustomException;class;0;0;3;0;0;0;0;6
