file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Cuboids2958340;net.playblack.cuboids.commands.CmodTpTo;CmodTpTo;class;4;10;2;0;1;2;0;44
Cuboids2958340;net.playblack.cuboids.commands.Cfloor;Cfloor;class;4;8;2;0;1;2;0;39
Cuboids2958340;net.playblack.cuboids.datasource.CuboidDeserializer;CuboidDeserializer;class;11;23;1;0;1;7;7;119
Cuboids2958340;net.playblack.cuboids.commands.CBaseCommand;CBaseCommand;class;1;9;1;46;0;7;3;55
Cuboids2958340;net.playblack.cuboids.generators.CuboidGenerator;CuboidGenerator;class;6;13;2;0;2;5;3;71
Cuboids2958340;net.playblack.cuboids.ShowTask;ShowTask;class;5;5;2;0;0;2;3;43
Cuboids2958340;net.playblack.cuboids.history.HistoryObject;HistoryObject;class;3;12;1;0;0;12;2;125
Cuboids2958340;net.playblack.cuboids.commands.Cwalls;Cwalls;class;5;22;2;0;0;2;1;90
Cuboids2958340;net.playblack.cuboids.CuboidSaveTask;CuboidSaveTask;class;0;1;1;0;0;1;0;16
Cuboids2958340;net.playblack.cuboids.commands.Cundo;Cundo;class;4;19;2;0;1;2;0;71
Cuboids2958340;net.playblack.cuboids.commands.Cdiag;Cdiag;class;3;7;2;0;1;2;0;32
Cuboids2958340;net.playblack.cuboids.actions.operators.SelectionOperator;SelectionOperator;class;6;47;1;0;21;7;0;158
Cuboids2958340;net.playblack.cuboids.commands.CmodAllowItem;CmodAllowItem;class;2;4;2;0;1;2;0;22
Cuboids2958340;net.playblack.cuboids.loaders.cuboidf.CuboidFShell;CuboidFShell;class;5;40;1;0;0;30;1;157
Cuboids2958340;net.playblack.cuboids.datasource.BaseData;BaseData;interface;1;5;1;0;10;5;0;43
Cuboids2958340;net.playblack.cuboids.commands.CmodShowCmdBlacklist;CmodShowCmdBlacklist;class;2;4;2;0;1;2;0;21
Cuboids2958340;net.playblack.cuboids.impl.canarymod.PlayerListener;PlayerListener;class;9;14;1;0;4;4;3;83
Cuboids2958340;net.playblack.cuboids.impl.canarymod.BlockListener;BlockListener;class;27;55;1;0;0;12;5;168
Cuboids2958340;net.playblack.cuboids.selections.SelectionManager;SelectionManager;class;3;8;1;0;0;4;2;36
Cuboids2958340;net.playblack.cuboids.commands.Cbackup;Cbackup;class;6;12;2;0;1;2;0;59
Cuboids2958340;net.playblack.cuboids.loaders.legacyregion.XmlRegionLegacyLoader;XmlRegionLegacyLoader;class;4;3;1;0;1;2;0;21
Cuboids2958340;net.playblack.cuboids.actions.operators.DamageOperator;DamageOperator;class;3;15;1;0;3;3;0;42
Cuboids2958340;net.playblack.cuboids.commands.Ccopy;Ccopy;class;6;6;2;0;1;2;0;46
Cuboids2958340;net.playblack.cuboids.selections.PlayerSelection;PlayerSelection;class;3;7;2;0;17;7;2;53
Cuboids2958340;net.playblack.cuboids.exceptions.InvalidApiHookException;InvalidApiHookException;class;0;1;3;0;0;1;1;10
Cuboids2958340;net.playblack.cuboids.commands.Cpaste;Cpaste;class;5;14;2;0;1;2;0;59
Cuboids2958340;net.playblack.cuboids.loaders.CuboidShell;CuboidShell;interface;2;29;1;0;406;29;0;49
Cuboids2958340;net.playblack.cuboids.exceptions.InvalidInputException;InvalidInputException;class;0;1;4;0;0;1;1;10
Cuboids2958340;net.playblack.cuboids.commands.Protect;Protect;class;4;12;2;0;1;2;0;47
Cuboids2958340;net.playblack.cuboids.commands.Credo;Credo;class;4;23;2;0;1;2;0;76
Cuboids2958340;net.playblack.cuboids.commands.CmodAdd;CmodAdd;class;4;10;2;0;1;2;0;47
Cuboids2958340;net.playblack.cuboids.regions.CuboidInterface;CuboidInterface;class;11;153;1;0;372;28;2;622
Cuboids2958340;net.playblack.cuboids.commands.Cfill;Cfill;class;5;16;2;0;1;2;0;67
Cuboids2958340;net.playblack.cuboids.commands.CmodMove;CmodMove;class;2;4;2;0;1;2;0;21
Cuboids2958340;net.playblack.cuboids.loaders.Loader;Loader;interface;1;2;1;0;1;2;0;20
Cuboids2958340;net.playblack.cuboids.exceptions.DeserializeException;DeserializeException;class;0;1;3;0;0;1;1;7
Cuboids2958340;net.playblack.cuboids.datasource.da.RegionExtraDataAccess;RegionExtraDataAccess;class;3;2;2;0;1;2;3;24
Cuboids2958340;net.playblack.cuboids.commands.CmodRemove;CmodRemove;class;2;4;2;0;1;2;0;21
Cuboids2958340;net.playblack.cuboids.Config;Config;class;10;43;1;0;163;27;8;303
Cuboids2958340;net.playblack.cuboids.HMobTask;HMobTask;class;7;18;1;0;1;3;2;72
Cuboids2958340;net.playblack.cuboids.commands.CmodShow;CmodShow;class;2;4;2;0;1;2;0;21
Cuboids2958340;net.playblack.cuboids.commands.Cdel;Cdel;class;5;14;2;0;1;2;0;62
Cuboids2958340;net.playblack.cuboids.commands.CmodSave;CmodSave;class;2;6;2;0;1;2;0;26
Cuboids2958340;net.playblack.cuboids.actions.operators.PlayerMovementOperator;PlayerMovementOperator;class;3;7;1;0;3;3;0;32
Cuboids2958340;net.playblack.cuboids.commands.CmodRemoveFlag;CmodRemoveFlag;class;3;12;2;0;1;2;0;45
Cuboids2958340;net.playblack.cuboids.generators.PyramidGenerator;PyramidGenerator;class;8;18;2;0;9;6;3;105
Cuboids2958340;net.playblack.cuboids.exceptions.SelectionIncompleteException;SelectionIncompleteException;class;0;1;3;0;0;1;1;10
Cuboids2958340;net.playblack.cuboids.generators.OffsetGenerator;OffsetGenerator;class;7;35;2;0;5;6;2;148
Cuboids2958340;net.playblack.cuboids.commands.CmodListFlags;CmodListFlags;class;3;13;2;0;1;2;0;54
Cuboids2958340;net.playblack.cuboids.datasource.legacy.XmlDataLegacy;XmlDataLegacy;class;11;79;1;0;45;11;4;293
Cuboids2958340;net.playblack.cuboids.loaders.legacyregion.MysqlRegionLegacyLoader;MysqlRegionLegacyLoader;class;4;3;1;0;1;2;0;22
Cuboids2958340;net.playblack.cuboids.generators.WallsGenerator;WallsGenerator;class;7;23;2;0;13;7;4;109
Cuboids2958340;net.playblack.cuboids.commands.CmodLoad;CmodLoad;class;2;4;2;0;1;2;0;21
Cuboids2958340;net.playblack.cuboids.RegionSessionInfo;RegionSessionInfo;class;6;38;1;0;0;9;2;108
Cuboids2958340;net.playblack.cuboids.exceptions.InvalidPlayerException;InvalidPlayerException;class;0;1;4;0;0;1;1;7
Cuboids2958340;net.playblack.cuboids.commands.CmodPriority;CmodPriority;class;2;6;2;0;1;2;0;29
Cuboids2958340;net.playblack.cuboids.datasource.da.RegionInformationDataAccess;RegionInformationDataAccess;class;5;19;2;0;0;4;12;106
Cuboids2958340;net.playblack.mcutils.Vector;Vector;class;3;4;1;0;6;4;0;55
Cuboids2958340;net.playblack.cuboids.Bootstrapper;Bootstrapper;class;10;9;1;0;0;2;1;60
Cuboids2958340;net.playblack.cuboids.exceptions.SerializerException;SerializerException;class;0;0;3;0;0;0;1;7
Cuboids2958340;net.playblack.cuboids.impl.canarymod.commands.CmodCommands;CmodCommands;class;28;79;1;0;351;27;0;488
