file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
IDE26441943;eu.netide.workbenchconfigurationeditor.model.CompositionModel;CompositionModel;class;0;8;1;0;0;8;3;35
IDE26441943;parameters.util.ParametersSwitch;ParametersSwitch;class;12;34;2;0;43;10;1;202
IDE26441943;eu.netide.configuration.launcher.Activator;Activator;class;3;4;2;0;0;4;2;41
IDE26441943;parameters.Parameter;Parameter;interface;2;4;1;0;6;4;0;71
IDE26441943;eu.netide.workbenchconfigurationeditor.model.ShimModel;ShimModel;class;0;10;1;0;5;10;4;42
IDE26441943;parameters.impl.ParametersFactoryImpl;ParametersFactoryImpl;class;20;29;2;0;105;15;0;181
IDE26441943;eu.netide.parameters.templates.RenderHandler;RenderHandler;class;9;9;2;0;3;3;0;57
IDE26441943;parameters.impl.CompositeTypeImpl;CompositeTypeImpl;class;7;13;3;0;19;7;1;118
IDE26441943;eu.netide.SysReqRuntimeModule;SysReqRuntimeModule;class;1;0;2;0;0;0;0;9
IDE26441943;eu.netide.configuration.design.Activator;Activator;class;4;7;2;0;0;4;3;57
IDE26441943;parameters.BasicType;BasicType;interface;2;2;1;0;1;2;0;48
IDE26441943;eu.netide.deployment.topologyimport.Activator;Activator;class;3;4;2;0;0;4;2;41
IDE26441943;eu.netide.zmq.hub.ui.views.ZmqLogDialog;ZmqLogDialog;class;12;4;2;0;4;4;2;50
IDE26441943;eu.netide.parameters.templates.Activator;Activator;class;3;4;2;0;0;4;2;41
IDE26441943;eu.netide.ui.SysReqUiModule;SysReqUiModule;class;2;1;2;0;0;1;0;13
IDE26441943;eu.netide.configuration.launcher.dummygui.DummyGUI;DummyGUI;class;19;21;2;0;89;6;8;183
IDE26441943;parameters.impl.ParametersPackageImpl;ParametersPackageImpl;class;17;28;2;0;116;21;10;340
IDE26441943;eu.netide.workbenchconfigurationeditor.wizards.Configuration_Wizard;Configuration_Wizard;class;12;21;2;0;13;7;2;112
IDE26441943;eu.netide.parameters.templates.copy.CopyHandler;CopyHandler;class;8;6;2;0;3;3;0;47
IDE26441943;eu.netide.toolpanel.views.ReplayPanel;ReplayPanel;class;26;14;2;0;0;5;8;120
IDE26441943;eu.netide.workbenchconfigurationeditor.util.RunningBoolToStringConverter;RunningBoolToStringConverter;class;1;6;2;0;1;2;0;19
IDE26441943;eu.netide.zmq.hub.Activator;Activator;class;4;5;2;0;4;5;2;52
IDE26441943;eu.netide.debug.views.DebugView;DebugView;class;26;22;4;0;171;17;5;169
IDE26441943;eu.netide.perspective.Activator;Activator;class;4;5;2;0;4;5;2;52
IDE26441943;eu.netide.toolpanel.views.ToolPanel;ToolPanel;class;31;26;2;0;80;8;13;250
IDE26441943;eu.netide.workbenchconfigurationeditor.model.UiStatusModel;UiStatusModel;class;6;62;1;0;763;50;19;238
IDE26441943;eu.netide.deployment.topologyimport.ui.Activator;Activator;class;3;4;2;0;0;4;2;41
IDE26441943;eu.netide.workbenchconfigurationeditor.util.RunningStringToBoolConverter;RunningStringToBoolConverter;class;1;8;2;0;1;2;0;19
IDE26441943;eu.netide.workbenchconfigurationeditor.model.LaunchConfigurationModel;LaunchConfigurationModel;class;1;37;1;0;133;27;11;115
IDE26441943;parameters.impl.TypeImpl;TypeImpl;class;11;27;2;0;39;11;3;199
IDE26441943;parameters.BasicTypes;BasicTypes;enum;1;15;1;0;6;8;9;235
IDE26441943;parameters.ParameterSpecification;ParameterSpecification;interface;5;2;1;0;1;2;0;54
IDE26441943;eu.netide.configuration.utils.Activator;Activator;class;3;4;2;0;0;4;2;41
IDE26441943;eu.netide.workbenchconfigurationeditor.model.SshProfileModel;SshProfileModel;class;1;54;1;0;473;46;21;181
