file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Jago52065940;jagoclient.board.LabelAction;LabelAction;class;4;6;2;0;0;3;1;35
Jago52065940;jagoclient.dialogs.FunctionKeyEdit;FunctionKeyEdit;class;7;5;10;0;0;3;1;40
Jago52065940;jagoclient.igs.SingleFilterEdit;SingleFilterEdit;class;14;79;11;0;0;17;14;269
Jago52065940;rene.gui.KeyboardPanel;KeyboardPanel;class;6;31;5;0;49;14;5;177
Jago52065940;jagoclient.partner.EndGameQuestion;EndGameQuestion;class;2;5;7;0;0;3;1;27
Jago52065940;jagoclient.partner.PartnerGoFrame;PartnerGoFrame;class;7;126;8;0;136;24;12;248
Jago52065940;rene.gui.DoActionListener;DoActionListener;interface;0;2;1;0;1;2;0;5
Jago52065940;rene.gui.ListAction;ListAction;class;2;10;3;0;1;2;0;19
Jago52065940;jagoclient.igs.games.GamesFrame;GamesFrame;class;18;60;6;0;0;8;8;175
Jago52065940;jagoclient.igs.MessageDistributor;MessageDistributor;class;5;23;2;0;0;3;4;62
Jago52065940;rene.gui.KeyboardInterface;KeyboardInterface;interface;0;3;1;0;3;3;0;18
Jago52065940;jagoclient.gui.TextFieldActionListener;TextFieldActionListener;class;1;2;1;0;0;2;2;23
Jago52065940;jagoclient.igs.ReceiveThread;ReceiveThread;class;4;58;2;0;0;3;7;152
Jago52065940;jagoclient.CloseConnection;CloseConnection;class;0;7;2;0;0;2;2;18
Jago52065940;rene.gui.ChoiceAction;ChoiceAction;class;2;7;3;0;1;3;3;29
Jago52065940;rene.gui.Keyboard;Keyboard;class;4;73;1;0;8;8;2;224
Jago52065940;jagoclient.gui.BigLabel;BigLabel;class;0;14;4;0;9;6;6;47
Jago52065940;rene.gui.CheckboxAction;CheckboxAction;class;2;8;3;0;4;4;3;32
Jago52065940;jagoclient.board.BoardCommentPanel;BoardCommentPanel;class;1;2;4;0;0;2;2;25
Jago52065940;jagoclient.CloseMainQuestion;CloseMainQuestion;class;3;2;7;0;1;2;1;18
Jago52065940;rene.dialogs.SearchFileDialog;SearchFileDialog;class;12;61;8;0;137;27;16;241
Jago52065940;rene.util.regexp.RegExp;RegExp;class;26;252;25;0;3196;92;41;853
Jago52065940;jagoclient.gui.TextFieldAction;TextFieldAction;class;2;4;4;0;0;4;1;42
Jago52065940;jagoclient.igs.MessageDialog;MessageDialog;class;9;35;6;0;26;11;6;128
Jago52065940;rene.util.list.ListClass;ListClass;class;1;26;1;0;0;10;1;95
Jago52065940;jagoclient.StopThread;StopThread;class;0;2;2;0;0;2;1;13
Jago52065940;jagoclient.board.Board;Board;class;17;912;3;1;2932;149;39;2536
Jago52065940;rene.gui.MyLabel;MyLabel;class;0;9;3;0;3;3;0;23
Jago52065940;jagoclient.gui.MyPanel;MyPanel;class;0;4;4;0;1;2;0;14
Jago52065940;jagoclient.dialogs.HelpDialog;HelpDialog;class;7;9;6;0;4;4;2;73
Jago52065940;rene.gui.IntField;IntField;class;2;13;5;0;15;6;0;48
Jago52065940;rene.gui.MyList;MyList;class;0;10;3;0;6;4;0;20
Jago52065940;rene.util.xml.XmlTagPI;XmlTagPI;class;1;1;2;0;0;1;1;7
Jago52065940;jagoclient.datagram.DatagramMessage;DatagramMessage;class;1;14;1;0;0;4;3;65
Jago52065940;rene.util.FileList;FileList;class;4;67;2;0;126;20;7;182
Jago52065940;rene.viewer.Lister;Lister;class;6;96;5;1;428;31;7;283
Jago52065940;rene.gui.FormTextField;FormTextField;class;3;3;5;0;3;3;0;20
Jago52065940;rene.util.sort.SortStringNoCase;SortStringNoCase;class;1;2;2;0;0;2;1;11
Jago52065940;jagoclient.igs.connection.Connection;Connection;class;1;31;1;0;0;3;6;42
Jago52065940;rene.util.regexp.PositionRange;PositionRange;class;0;3;1;0;0;3;1;12
Jago52065940;jagoclient.partner.ClosePartnerQuestion;ClosePartnerQuestion;class;2;4;7;0;1;2;0;18
Jago52065940;rene.dialogs.GetParameter;GetParameter;class;6;16;6;0;12;8;4;58
Jago52065940;rene.util.xml.XmlTagRoot;XmlTagRoot;class;1;1;2;0;0;1;1;7
